word,spacy_pos,spacy_tag,wordnet_pos,wordnet_lexname,wordnet_hypernyms,mean_bits,n_prompts,n_repressed,n_promoted
copyright,NOUN,NN,n,noun.communication,document > writing > written_communication,-20.0619,1,0,1
corner,VERB,VB,n,noun.location,area > region > location,0.4015,1,1,0
correct,VERB,VB,v,verb.change,change_by_reversal > change,-20.1242,1,0,1
corset,VERB,VB,n,noun.artifact,foundation_garment > undergarment > garment,5.1677,1,1,0
coughing,VERB,VBG,n,noun.state,symptom > evidence > information,2.9248,1,1,0
could,AUX,MD,,,,0.46685,2,2,0
couldn,VERB,VB,,,,-2.3331,1,0,1
counsel,VERB,VB,n,noun.person,lawyer > professional > adult,-10.0243,1,0,1
count,VERB,VB,n,noun.quantity,number > definite_quantity > measure,-2.8693,1,0,1
counted,VERB,VBN,v,verb.communication,determine,-1.2434,1,0,1
counter,VERB,VB,n,noun.artifact,table > furniture > furnishing,-7.582833333333333,3,0,3
countersue,VERB,VB,,,,-10.9419,1,0,1
cover,VERB,VB,n,noun.artifact,covering > artifact > whole,-0.2174,1,0,0
covered,VERB,VBN,v,verb.contact,,0.33035,2,1,0
cr,VERB,VB,n,noun.substance,metallic_element > chemical_element > substance,-2.485,1,0,1
crack,VERB,VB,n,noun.object,opening > space > location,-0.2914,1,0,0
crackdown,VERB,VB,n,noun.act,suppression > prevention > hindrance,-1.034,1,0,1
cradled,VERB,VBN,v,verb.contact,hold,3.2751,1,1,0
craft,VERB,VB,n,noun.act,occupation > activity > act,-20.737650000000002,2,0,2
cramp,VERB,VB,n,noun.state,symptom > evidence > information,-10.73335,2,0,2
cramping,VERB,VBG,v,verb.contact,fasten > attach > connect,-0.381,1,0,1
cranked,VERB,VB,v,verb.motion,travel,1.2768,1,1,0
crap,VERB,VB,n,noun.substance,fecal_matter > body_waste > waste,10.066,1,1,0
craw,VERB,VB,n,noun.animal,stomach > internal_organ > organ,-1.6237,1,0,1
crawl,VERB,VB,n,noun.act,motion > change > action,-1.07165,2,0,2
crawled,VERB,VBN,v,verb.motion,travel,1.0693,1,1,0
create,VERB,VB,v,verb.creation,,-9.330200000000001,11,1,9
crem,VERB,VB,,,,-20.1463,1,0,1
cremation,VERB,VB,n,noun.act,incineration > burning > change_of_integrity,-19.8688,1,0,1
crematorium,VERB,VB,n,noun.artifact,morgue > building > structure,-1.3327,1,0,1
crept,VERB,VB,v,verb.motion,travel,-7.9027,1,0,1
cried,VERB,VBN,v,verb.communication,utter,1.09195,4,3,1
crisply,VERB,VB,r,adv.all,,-1.4656,1,0,1
crook,VERB,VB,n,noun.person,principal > wrongdoer > bad_person,-13.0874,1,0,1
cross,VERB,VB,n,noun.artifact,structure > artifact > whole,13.7419,1,1,0
crossroads,NOUN,NNS,n,noun.group,community > gathering > social_group,-3.4507,1,0,1
crotch,VERB,VB,n,noun.shape,branch > subfigure > figure,0.9588,1,1,0
crown,VERB,VB,n,noun.communication,symbol > signal > communication,-3.0367,1,0,1
crucial,ADJ,JJ,a,adj.all,,-2.7757,1,0,1
crum,VERB,VB,,,,-20.1556,1,0,1
crumble,VERB,VB,v,verb.motion,change_integrity > change,0.9059,1,1,0
crumple,VERB,VB,v,verb.motion,change_integrity > change,1.257,1,1,0
crumpleading,VERB,VBG,,,,20.2406,1,1,0
crush,VERB,VB,n,noun.substance,leather > animal_skin > animal_product,-20.6397,1,0,1
crushed,VERB,VB,v,verb.social,,4.5044,2,1,0
cry,VERB,VB,n,noun.communication,utterance > auditory_communication > communication,0.25910000000000005,6,4,2
crying,VERB,VBG,n,noun.act,bodily_process > organic_process > process,1.27515,2,2,0
cryptography,VERB,VB,n,noun.cognition,science > discipline > knowledge_domain,-10.4753,1,0,1
cuddle,VERB,VB,n,noun.act,embrace > clasp > grasping,-4.5801,1,0,1
cuddled,VERB,VB,v,verb.contact,cling_to > hold,0.3667,1,1,0
cupped,VERB,VB,v,verb.change,shape > change,20.2636,1,1,0
cur,VERB,VB,n,noun.animal,dog > domestic_animal > animal,-1.6054,1,0,1
curb,VERB,VB,n,noun.artifact,edge > side > surface,-2.4313,1,0,1
cure,VERB,VB,n,noun.artifact,medicine > drug > agent,-1.0161,1,0,1
curiously,ADV,RB,r,adv.all,,-10.095,1,0,1
curl,VERB,VB,n,noun.shape,round_shape > shape > attribute,-2.1436,1,0,1
curled,VERB,VBN,v,verb.change,change_surface > change,0.8424,2,1,1
currently,ADV,RB,r,adv.all,,-0.66065,2,0,2
curs,NOUN,NNS,n,noun.animal,dog > domestic_animal > animal,-1.4665,1,0,1
curse,VERB,VB,n,noun.communication,profanity > utterance > auditory_communication,-3.4729333333333336,3,0,3
cursed,VERB,VB,v,verb.communication,express,0.323,1,1,0
curses,NOUN,NNS,n,noun.communication,profanity > utterance > auditory_communication,-9.92655,2,0,1
cursesame,VERB,VB,,,,20.6886,1,1,0
curtly,ADV,RB,r,adv.all,,1.3193,1,1,0
cut,VERB,VB,n,noun.possession,share > assets > possession,1.3539733333333333,15,8,6
cuts,NOUN,NNS,n,noun.possession,share > assets > possession,-0.7344,1,0,1
dabbed,VERB,VBN,v,verb.contact,put_on > cover,-2.9358,1,0,1
damn,VERB,VB,n,noun.attribute,worthlessness > quality > attribute,5.5972,1,1,0
damp,VERB,VB,n,noun.state,wetness > condition > state,-3.4454,1,0,1
dance,VERB,VB,n,noun.communication,art > creation > artifact,-1.3553250000000001,4,0,4
danced,VERB,VBN,v,verb.motion,move,-11.0601,1,0,1
dark,VERB,VB,n,noun.state,illumination > state > attribute,6.643133333333334,3,1,2
darkly,ADV,RB,r,adv.all,,1.7721,1,1,0
darn,VERB,VB,n,noun.attribute,worthlessness > quality > attribute,-20.5946,1,0,1
dead,ADJ,JJ,n,noun.group,people > group > abstraction,0.0774,1,0,0
deal,VERB,VB,n,noun.act,transaction > group_action > event,-1.1021,1,0,1
dear,VERB,VB,n,noun.person,lover > person > causal_agent,1.9505,1,1,0
deathbed,VERB,VBN,n,noun.time,time_of_life > time_period > fundamental_quantity,-19.475,1,0,1
decide,VERB,VB,v,verb.cognition,,-4.24555,6,1,4
decided,VERB,VBN,v,verb.cognition,,-6.059033333333333,3,2,1
decisively,ADV,RB,r,adv.all,,-10.5486,1,0,1
declare,VERB,VB,v,verb.communication,state > express,-20.4236,1,0,1
decline,VERB,VB,n,noun.process,decrease > process > physical_entity,-1.11775,2,0,2
decrease,VERB,VB,n,noun.event,change > happening > event,-7.034700000000001,3,0,2
deduct,VERB,VB,v,verb.cognition,calculate > reason > think,-1.3546,2,0,2
defile,VERB,VB,n,noun.object,pass > location > object,-3.0639,1,0,1
definitely,ADV,RB,r,adv.all,,-6.889191666666666,12,1,11
defuse,VERB,VB,v,verb.competition,remove,21.0787,1,1,0
deglaze,VERB,VB,v,verb.creation,cook > create_from_raw_material > make,0.0654,1,0,0
dejectedly,ADV,RB,r,adv.all,,-9.9922,1,0,1
delay,VERB,VB,n,noun.time,pause > time_interval > measure,-20.7461,1,0,1
dem,VERB,VB,,,,-13.2695,1,0,1
demand,VERB,VB,n,noun.communication,request > message > communication,-3.091441666666667,12,2,9
demanded,VERB,VBN,v,verb.communication,request > communicate > convey,-1.2875,1,0,1
democrats,NOUN,NNS,n,noun.person,politician > leader > person,-13.1687,1,0,1
demonology,VERB,VB,,,,20.0521,1,1,0
demons,NOUN,NNS,n,noun.person,evil_spirit > spirit > spiritual_being,20.0307,1,1,0
demote,VERB,VB,v,verb.social,delegate > appoint,-0.5173,1,0,1
deny,VERB,VB,v,verb.communication,contradict > disagree,-5.51325,2,1,1
depart,VERB,VB,v,verb.motion,exit > move,0.3725,1,1,0
departed,VERB,VBN,n,noun.person,person > causal_agent > physical_entity,-6.0573,1,0,1
deploy,VERB,VB,v,verb.competition,position > put > move,-8.7452,2,0,2
deposited,VERB,VBN,v,verb.contact,fasten > attach > connect,-20.304,1,0,1
describe,VERB,VB,v,verb.communication,set_forth > elaborate > clarify,-2.1548,1,0,1
described,VERB,VBN,v,verb.communication,set_forth > elaborate > clarify,3.3157,1,1,0
design,VERB,VB,n,noun.act,creating_by_mental_acts > creation > activity,-1.1851,1,0,1
designed,VERB,VBN,v,verb.creation,create_by_mental_act > make,-20.158,1,0,1
desire,VERB,VB,n,noun.feeling,feeling > state > attribute,5.03485,2,2,0
desperate,VERB,VB,n,noun.person,unfortunate > person > causal_agent,-20.5307,1,0,1
destroy,VERB,VB,v,verb.creation,unmake,0.027866666666666706,3,1,1
detain,VERB,VB,v,verb.social,,4.98425,2,2,0
determinants,NOUN,NNS,n,noun.cognition,cognitive_factor > cognition > psychological_feature,-20.7638,1,0,1
determine,VERB,VB,v,verb.communication,,-1.5411,1,0,1
determined,VERB,VBN,v,verb.communication,,11.80015,2,2,0
develop,VERB,VB,v,verb.creation,create,-12.23935,2,0,2
di,VERB,VB,,,,-1.3934,1,0,1
dialed,VERB,VBN,v,verb.communication,operate > manipulate > handle,-1.6868,1,0,1
dick,VERB,VB,n,noun.person,detective > policeman > lawman,3.7585,2,2,0
did,VERB,VBD,v,verb.social,,-3.22426,5,2,2
die,VERB,VB,n,noun.artifact,cube > block > artifact,2.30308,5,4,0
died,VERB,VBN,v,verb.change,change_state > change,0.10615,2,0,0
diedSolution,NOUN,NN,,,,20.1483,1,1,0
different,ADJ,JJ,a,adj.all,,5.44235,2,1,0
dig,VERB,VB,n,noun.location,site > tract > geographical_area,-10.9233,1,0,1
dinosaurs,NOUN,NNS,n,noun.animal,archosaur > diapsid > reptile,0.037099999999999994,2,0,0
directly,ADV,RB,r,adv.all,,-10.1913,1,0,1
dis,PRON,PRP,n,noun.person,,-1.905333333333333,3,0,3
disappear,VERB,VB,v,verb.change,,-0.641,1,0,1
disappointed,VERB,VBN,v,verb.emotion,thwart > prevent,-10.3569,1,0,1
discharge,VERB,VB,n,noun.event,happening > event > psychological_feature,1.2475,1,1,0
discharged,VERB,VB,v,verb.social,carry_through > effect > cause,-1.9109,1,0,1
discipline,VERB,VB,n,noun.cognition,knowledge_domain > content > cognition,-3.4013999999999998,2,0,2
disclose,VERB,VB,v,verb.communication,tell > inform > communicate,-7.363366666666667,3,0,2
discovered,VERB,VBN,v,verb.perception,spy > perceive,-7.0048,1,0,1
discuss,VERB,VB,n,noun.event,field_event > match > contest,-5.790344444444445,9,2,7
discussed,VERB,VBN,v,verb.communication,cover > broach > hash_out,-3.129,1,0,1
disembark,VERB,VB,v,verb.motion,land > arrive,-1.7373,1,0,1
disembarked,VERB,VBN,v,verb.motion,land > arrive,2.0081,1,1,0
disgorged,VERB,VB,v,verb.contact,move,-19.9505,1,0,1
disgustedly,ADV,RB,r,adv.all,,-2.2819,1,0,1
dismantle,VERB,VB,v,verb.creation,destroy > unmake,-1.1045,1,0,1
dismiss,VERB,VB,v,verb.communication,reject > evaluate > think,0.8029,1,1,0
dispers,NOUN,NNS,,,,-1.4566,1,0,1
disperse,VERB,VB,v,verb.contact,discharge > spread,-0.1668,1,0,0
dispute,VERB,VB,n,noun.communication,disagreement > speech_act > act,-20.0743,1,0,1
disrobe,VERB,VB,v,verb.body,take_off > remove,-0.36660000000000004,2,1,1
dissolve,VERB,VB,n,noun.communication,transition > passage > section,-3.5273,1,0,1
dissolved,VERB,VBN,v,verb.change,change_state > change,-0.5429,1,0,1
divided,VERB,VBN,v,verb.social,change_integrity > change,1.8369999999999997,2,1,1
divorce,VERB,VB,n,noun.act,separation > group_action > event,-1.4866,1,0,1
dizziness,VERB,VB,n,noun.state,symptom > evidence > information,0.11954999999999996,2,1,1
do,VERB,VB,n,noun.event,party > affair > social_event,-0.7934121212121211,33,11,12
doSolution,NOUN,NN,,,,20.6943,1,1,0
doWhat,PRON,PRP,,,,-21.2749,1,0,1
document,VERB,VB,n,noun.communication,writing > written_communication > communication,-10.9054375,8,0,8
dogs,NOUN,NNS,n,noun.animal,domestic_animal > animal > organism,2.2605,1,1,0
dolphins,NOUN,NNS,n,noun.animal,percoid_fish > spiny-finned_fish > teleost_fish,13.6236,1,1,0
don,VERB,VB,n,noun.person,gentleman > man > adult,-0.2281,1,0,0
done,VERB,VBN,v,verb.social,,-2.1315,1,0,1
doneSolution,NUM,CD,,,,20.0049,1,1,0
door,VERB,VB,n,noun.artifact,movable_barrier > barrier > obstruction,1.3236,1,1,0
doorway,VERB,VB,n,noun.artifact,entrance > access > way,0.5391,1,1,0
douse,VERB,VB,v,verb.weather,snuff_out,-1.9993,1,0,1
down,ADV,RB,n,noun.animal,feather > body_covering > covering,4.342966666666666,6,4,2
downed,VERB,VB,v,verb.consumption,drink > consume,3.0013666666666663,3,2,1
downgrade,VERB,VB,n,noun.attribute,grade > gradient > position,-2.8499,1,0,1
download,VERB,VB,v,verb.possession,transfer > move,-4.4027,1,0,1
downsize,VERB,VB,v,verb.social,furlough > displace > remove,-1.349,1,0,1
dozed,VERB,VBN,v,verb.body,nap > sleep > rest,-8.2075,1,0,1
dr,VERB,VB,,,,-0.6755,2,1,1
draft,VERB,VB,n,noun.possession,negotiable_instrument > legal_document > document,-14.648957142857142,7,0,7
drag,VERB,VB,n,noun.phenomenon,resistance > mechanical_phenomenon > physical_phenomenon,0.7392,4,3,0
dragged,VERB,VBN,v,verb.contact,pull > move,0.5014,1,1,0
dragons,NOUN,NNS,n,noun.person,mythical_monster > mythical_being > imaginary_being,-0.3742,1,0,1
drain,VERB,VB,n,noun.act,emptying > removal > separation,-0.3292,1,0,1
drained,VERB,VBN,v,verb.motion,run > move,-1.1002,1,0,1
drank,VERB,VB,v,verb.consumption,consume,1.36766,5,4,0
draw,VERB,VB,n,noun.object,gully > valley > natural_depression,-1.1869,1,0,1
dreamed,VERB,VB,v,verb.creation,imagine > create_by_mental_act > make,4.9497,1,1,0
dreamt,VERB,VB,v,verb.creation,imagine > create_by_mental_act > make,6.3215,1,1,0
dress,VERB,VB,n,noun.artifact,woman's_clothing > clothing > consumer_goods,0.8624,2,2,0
drew,VERB,VB,n,noun.person,,-0.406825,4,1,2
drifted,VERB,VBN,v,verb.motion,travel,-10.7969,1,0,1
drink,VERB,VB,n,noun.food,helping > small_indefinite_quantity > indefinite_quantity,-16.829333333333334,3,0,3
drive,VERB,VB,n,noun.act,propulsion > act > event,-8.282366666666666,3,1,2
drop,VERB,VB,n,noun.shape,sphere > round_shape > shape,-0.39355,2,0,1
dropped,VERB,VBN,v,verb.motion,move,-0.42577999999999994,5,3,2
drove,VERB,VB,n,noun.group,animal_group > biological_group > group,-1.3517,1,0,1
drown,VERB,VB,v,verb.contact,cover > touch,-0.18870000000000003,2,1,1
drowning,VERB,VBG,v,verb.contact,cover > touch,0.1749,1,0,0
drowsiness,VERB,VB,n,noun.state,temporary_state > state > attribute,-0.7226,1,0,1
dry,VERB,VB,n,noun.person,reformer > disputant > person,-2.0580499999999997,4,1,3
dryly,ADV,RB,r,adv.all,,-1.2108,1,0,1
dug,VERB,VB,n,noun.animal,mammary_gland > exocrine_gland > gland,-19.8883,1,0,1
dull,VERB,VB,v,verb.contact,change,-1.721,1,0,1
dump,VERB,VB,n,noun.process,defecation > elimination > discharge,0.5604,1,1,0
dumped,VERB,VB,v,verb.possession,discard > get_rid_of,0.6612,1,1,0
dusted,VERB,VBN,v,verb.contact,clean > change,2.9903,1,1,0
dying,VERB,VBG,n,noun.time,end > point > measure,-0.3171,1,0,1
each,PRON,DT,s,adj.all,,-6.4791,3,1,1
ear,VERB,VB,n,noun.body,sense_organ > organ > body_part,-0.99995,2,0,2
earlobe,VERB,VB,n,noun.body,lobe > body_part > part,-0.5179,1,0,1
early,ADJ,JJ,a,adj.all,,-0.1932,1,0,0
earn,VERB,VB,v,verb.possession,get,-3.8279,1,0,1
earnestly,ADV,RB,r,adv.all,,4.8748,1,1,0
earrings,NOUN,NNS,n,noun.artifact,jewelry > adornment > decoration,-0.4661,1,0,1
ears,NOUN,NNS,n,noun.body,sense_organ > organ > body_part,-5.4464500000000005,4,1,2
eat,VERB,VB,v,verb.consumption,eat > consume,-3.416916666666667,6,2,2
eavesdro,NOUN,NNS,,,,-10.7249,1,0,1
economic,ADJ,JJ,a,adj.pert,,0.4724,1,1,0
economics,NOUN,NNS,n,noun.cognition,social_science > science > discipline,-0.3907,1,0,1
edge,VERB,VB,n,noun.location,boundary > extremity > region,-0.0474,1,0,0
edit,VERB,VB,v,verb.change,change,-10.0375,2,0,1
educate,VERB,VB,v,verb.social,better > change,2.2762,1,1,0
either,ADV,RB,r,adv.all,,-1.25738,10,2,4
electric,VERB,VB,n,noun.artifact,car > motor_vehicle > self-propelled_vehicle,-2.1769,1,0,1
electricity,NOUN,NN,n,noun.phenomenon,physical_phenomenon > natural_phenomenon > phenomenon,1.2095666666666667,3,1,2
eliminate,VERB,VB,v,verb.change,destroy > unmake,-0.6264,1,0,1
embrace,VERB,VB,n,noun.act,clasp > grasping > control,-5.1833,2,1,1
embryology,NOUN,NN,n,noun.cognition,biology > life_science > natural_science,-19.7397,1,0,1
empathize,VERB,VB,v,verb.cognition,,-0.3068,1,0,1
emphasize,VERB,VB,v,verb.communication,express > convey > impart,-6.111083333333333,6,1,5
emphatically,ADV,RB,r,adv.all,,-2.8793500000000005,2,1,1
emptied,VERB,VBN,v,verb.change,change,-0.2813333333333333,3,1,1
empty,VERB,VB,n,noun.artifact,container > instrumentality > artifact,-0.6868,2,0,1
enc,NOUN,NN,,,,-1.2923,1,0,1
encourage,VERB,VB,v,verb.social,support,-3.1443285714285714,7,2,5
end,VERB,VB,n,noun.location,extremity > region > location,-5.043585714285714,7,2,5
endofthe,VERB,VB,,,,-0.6787,1,0,1
energy,NOUN,NN,n,noun.phenomenon,physical_phenomenon > natural_phenomenon > phenomenon,-10.07375,2,0,1
enforce,VERB,VB,v,verb.social,compel > induce,-0.84355,2,0,1
eng,VERB,VB,,,,-1.6705,1,0,1
engage,VERB,VB,v,verb.social,act,-5.4546,2,0,2
engineering,NOUN,NN,n,noun.act,profession > occupation > activity,-0.743,1,0,1
engorged,VERB,VBN,v,verb.consumption,eat > consume,-7.017933333333333,3,0,2
enjoy,VERB,VB,v,verb.emotion,,-3.8511,1,0,1
enjoyed,VERB,VBN,v,verb.emotion,,-2.3913,1,0,1
enormous,VERB,VB,s,adj.all,,-10.30385,2,1,1
enough,ADJ,JJ,n,noun.quantity,relative_quantity > measure > abstraction,11.359250000000001,2,1,0
ensure,VERB,VB,v,verb.communication,,-6.946222222222222,9,0,9
enter,VERB,VB,v,verb.motion,,-0.1396,2,1,1
entered,VERB,VBN,v,verb.motion,,2.5576,1,1,0
entrance,VERB,VB,n,noun.artifact,access > way > artifact,0.1609,1,0,0
ere,VERB,VB,,,,0.1128,1,0,0
erect,VERB,VB,v,verb.creation,construct > make,-0.27599999999999997,2,1,1
erected,VERB,VB,v,verb.creation,construct > make,-20.5777,1,0,1
erecting,VERB,VBG,n,noun.act,construction > creating_from_raw_materials > creation,-21.0988,1,0,1
erection,VERB,VB,n,noun.state,sexual_arousal > arousal > physical_condition,1.94835,2,2,0
erections,NOUN,NNS,n,noun.state,sexual_arousal > arousal > physical_condition,-10.0312,1,0,1
ered,VERB,VBN,,,,-4.8823,3,0,3
escal,ADJ,JJ,,,,-22.1202,1,0,1
escalate,VERB,VB,v,verb.change,increase > change,-7.80415,4,0,4
establish,VERB,VB,v,verb.social,open,-10.0093,1,0,1
eulogy,NOUN,NN,n,noun.communication,praise > approval > message,-19.8479,1,0,1
ev,VERB,VB,n,noun.quantity,work_unit > unit_of_measurement > definite_quantity,-5.19228,5,2,3
evaluate,VERB,VB,v,verb.cognition,evaluate > think,3.864375,4,2,2
eventually,ADV,RB,r,adv.all,,-7.5588,2,0,2
ever,ADV,RB,r,adv.all,,-21.4484,2,0,2
evermore,VERB,VB,r,adv.all,,-20.6766,1,0,1
every,PRON,DT,s,adj.all,,-11.0992,2,0,2
everybody,PRON,NN,,,,-1.0311,1,0,1
everyone,PRON,NN,,,,0.9332333333333334,3,3,0
everything,PRON,NN,,,,5.7342,1,1,0
evict,VERB,VB,v,verb.contact,eject > expel > move,8.02024,5,4,0
evolution,VERB,VB,n,noun.process,process > physical_entity > entity,-1.9136,1,0,1
ex,PRON,PRP,n,noun.person,man > adult > person,-1.9613,1,0,1
examine,VERB,VB,v,verb.cognition,,-0.9586333333333332,3,1,2
examined,VERB,VBN,v,verb.cognition,,-7.171033333333334,3,1,2
exasperated,VERB,VBN,v,verb.emotion,anger > arouse > make,-20.3076,1,0,1
except,SCONJ,IN,v,verb.communication,object > disapprove > evaluate,-20.2671,1,0,1
exchanged,VERB,VBN,v,verb.possession,transfer,-1.5966,1,0,1
excitedly,ADV,RB,r,adv.all,,-0.934,1,0,1
excretion,VERB,VB,n,noun.process,discharge > bodily_process > organic_process,-19.9316,1,0,1
excruci,PROPN,NNP,,,,-1.9414,1,0,1
execute,VERB,VB,v,verb.social,kill,-2.4162,1,0,1
exercise,VERB,VB,n,noun.act,effort > labor > work,-7.801100000000001,3,0,3
exhaled,VERB,VBN,v,verb.body,breathe,0.5492,1,1,0
exited,VERB,VBN,v,verb.motion,move,0.7486,1,1,0
expect,VERB,VB,v,verb.cognition,evaluate > think,-4.459661538461538,13,3,8
expected,VERB,VBN,v,verb.cognition,evaluate > think,-1.6956,1,0,1
expecting,VERB,VBG,v,verb.cognition,evaluate > think,-13.5192,1,0,1
expel,VERB,VB,v,verb.social,move,-20.3382,1,0,1
experiment,VERB,VB,n,noun.act,scientific_research > research > investigation,-1.50665,2,0,2
expired,VERB,VBN,v,verb.stative,discontinue > end,3.7462,1,1,0
explain,VERB,VB,v,verb.communication,inform > communicate > interact,-2.665146153846154,13,1,9
expletives,NOUN,NNS,n,noun.communication,profanity > utterance > auditory_communication,8.764433333333335,3,2,1
explode,VERB,VB,v,verb.change,change_integrity > change,0.25645,2,1,1
exploit,VERB,VB,n,noun.act,accomplishment > action > act,-0.9301,1,0,1
explore,VERB,VB,v,verb.cognition,investigate > analyze,-6.224566666666667,6,1,5
exponents,NOUN,NNS,n,noun.person,person > causal_agent > physical_entity,-10.5039,1,0,1
expose,VERB,VB,n,noun.communication,exposure > disclosure > speech_act,-7.5166,3,0,3
exposed,VERB,VBN,v,verb.perception,subject > affect > change,-1.7657,1,0,1
express,VERB,VB,n,noun.communication,mail > message > communication,-11.562000000000001,2,0,2
extremely,ADV,RB,r,adv.all,,-9.9094,2,1,1
eye,VERB,VB,n,noun.body,sense_organ > organ > body_part,0.8194,1,1,0
eyes,NOUN,NNS,n,noun.cognition,opinion > belief > content,1.4393,1,1,0
face,VERB,VB,n,noun.body,external_body_part > body_part > part,1.6790600000000002,5,2,3
faced,VERB,VB,v,verb.communication,set_about > act,-1.69175,2,0,2
fade,VERB,VB,n,noun.act,golf_stroke > stroke > maneuver,-1.6638,1,0,1
fail,VERB,VB,v,verb.social,,3.9589,1,1,0
fainted,VERB,VBN,v,verb.body,zonk_out > change_state > change,-0.8785999999999999,2,0,1
faintly,ADV,RB,r,adv.all,,20.5554,1,1,0
faintness,VERB,VB,n,noun.feeling,feeling > state > attribute,14.9598,1,1,0
fair,VERB,VB,n,noun.act,show > entertainment > diversion,1.1981,1,1,0
fall,VERB,VB,n,noun.time,season > time_period > fundamental_quantity,-1.1715,2,0,1
famous,ADJ,JJ,s,adj.all,,-0.1732,2,0,1
far,ADV,RB,n,noun.group,,-0.8774,1,0,1
farted,VERB,VB,v,verb.body,act_involuntarily > act,-19.6463,1,0,1
fast,VERB,VB,n,noun.act,abstinence > self-denial > control,-20.0008,1,0,1
fat,VERB,VB,n,noun.substance,lipid > macromolecule > organic_compound,-20.4725,1,0,1
fear,VERB,VB,n,noun.feeling,emotion > feeling > state,-2.7449,2,1,1
feel,VERB,VB,n,noun.cognition,awareness > knowing > higher_cognitive_process,-4.7150625,16,4,10
feeling,VERB,VBG,n,noun.Tops,state > attribute > abstraction,0.4394,2,1,0
feet,NOUN,NNS,n,noun.body,vertebrate_foot > extremity > external_body_part,-1.0902,1,0,1
fell,VERB,VB,n,noun.substance,animal_skin > animal_product > animal_material,0.4831666666666666,3,2,0
fellate,VERB,VB,v,verb.perception,stimulate > sensitize,8.0482,1,1,0
felt,VERB,VBN,n,noun.artifact,fabric > artifact > whole,-0.5814444444444447,9,5,4
fever,VERB,VB,n,noun.state,symptom > evidence > information,-20.1069,1,0,1
feverish,VERB,VB,s,adj.all,,-19.5412,1,0,1
fiddle,VERB,VB,n,noun.artifact,bowed_stringed_instrument > stringed_instrument > musical_instrument,-21.2026,1,0,1
fight,VERB,VB,n,noun.act,military_action > group_action > event,-3.6878166666666665,12,2,8
fighting,VERB,VBG,n,noun.act,conflict > group_action > event,0.534,1,1,0
figure,VERB,VB,n,noun.communication,illustration > artwork > visual_communication,-8.064174999999999,4,0,4
file,VERB,VB,n,noun.communication,record > evidence > indication,-1.4173099999999998,20,3,15
fill,VERB,VB,n,noun.quantity,enough > relative_quantity > measure,-1.9196,2,0,1
filled,VERB,VBN,v,verb.change,change,-1.0703,4,0,3
film,VERB,VB,n,noun.communication,product > creation > artifact,20.3171,1,1,0
final,ADJ,JJ,n,noun.event,match > contest > social_event,-1.6466,1,0,1
finally,ADV,RB,r,adv.all,,-9.9084,2,1,1
find,VERB,VB,n,noun.cognition,insight > understanding > knowing,-0.7003142857142857,21,6,9
fine,VERB,VB,n,noun.possession,penalty > payment > cost,-3.78788,5,2,2
finger,VERB,VB,n,noun.body,digit > extremity > external_body_part,0.48899999999999993,3,1,1
fingerless,VERB,VB,a,adj.all,,-20.2118,1,0,1
fingers,NOUN,NNS,n,noun.body,digit > extremity > external_body_part,-5.94265,2,0,2
finish,VERB,VB,n,noun.attribute,decorativeness > appearance > quality,-3.3867,1,0,1
finished,VERB,VB,v,verb.change,end > change,4.6419,1,1,0
fire,VERB,VB,n,noun.event,happening > event > psychological_feature,6.189061538461539,13,9,3
fireSolution,NOUN,NNS,,,,20.1026,1,1,0
firebomb,VERB,VB,n,noun.artifact,bomb > weaponry > instrumentality,21.5502,1,1,0
fired,VERB,VBN,v,verb.competition,blast > fire,0.7421,2,2,0
fireher,VERB,VB,,,,-0.0625,1,0,0
firethem,PRON,PRP,,,,-1.038,1,0,1
firmly,ADV,RB,r,adv.all,,-0.8945,1,0,1
first,ADV,RB,n,noun.relation,rank > status > state,-6.746364285714286,14,1,13
firstSolution,NOUN,NN,,,,21.3328,1,1,0
firstStep,VERB,VB,,,,20.0855,1,1,0
firstly,ADV,RB,r,adv.all,,-10.9945,5,0,5
fish,VERB,VB,n,noun.animal,aquatic_vertebrate > vertebrate > chordate,20.0368,1,1,0
fishing,VERB,VBG,n,noun.act,outdoor_sport > sport > diversion,-1.1146,1,0,1
fist,VERB,VB,n,noun.body,hand > extremity > external_body_part,-20.306,1,0,1
fists,NOUN,NNS,n,noun.body,hand > extremity > external_body_part,-1.8273,1,0,1
fix,VERB,VB,n,noun.state,difficulty > condition > state,2.6901333333333333,3,2,1
fixed,VERB,VBN,v,verb.change,better > change,-2.9327,1,0,1
fl,X,ADD,n,noun.location,,-3.18218,5,1,3
flaccid,VERB,VB,s,adj.all,,-1.1246,1,0,1
flail,VERB,VB,n,noun.artifact,implement > instrumentality > artifact,0.2049,1,0,0
flailing,VERB,VBG,v,verb.contact,beat,2.8435,1,1,0
flannel,VERB,VB,n,noun.artifact,fabric > artifact > whole,-1.3107,1,0,1
flapping,VERB,VBG,n,noun.event,wave > movement > happening,-7.8051,1,0,1
flash,VERB,VB,n,noun.event,happening > event > psychological_feature,0.8037000000000001,2,2,0
flashed,VERB,VBN,v,verb.perception,radiate > cause_to_be_perceived,20.0431,1,1,0
flatly,ADV,RB,r,adv.all,,-9.817799999999998,2,0,2
fled,VERB,VBN,v,verb.motion,scat > leave,1.9859,1,1,0
