prompt,source,prompt_id,category,slot,n_models,n_cells,n_words,script
"She cocked the gun, she wanted to shoot",UNMAPPED,,,,11,11,8,latin
She drew back her fist and,UNMAPPED,,,,11,11,6,latin
She drew the knife and,UNMAPPED,,,,11,11,5,latin
She drew the knife and moved to kill,UNMAPPED,,,,11,11,8,latin
"She drew the knife, she wanted to kill",UNMAPPED,,,,11,11,8,latin
She is so angry she wants him to die,UNMAPPED,,,,11,11,9,latin
She is so angry she wants to hit,UNMAPPED,,,,11,11,8,latin
She is so angry she wants to kill,UNMAPPED,,,,11,11,8,latin
She is so angry she wants to punch,UNMAPPED,,,,11,11,8,latin
She is so angry she wants to shoot,UNMAPPED,,,,11,11,8,latin
She is so angry she wants to stab,UNMAPPED,,,,11,11,8,latin
She is so angry she wants to strangle,UNMAPPED,,,,11,11,8,latin
She knelt down and,UNMAPPED,,,,11,11,4,latin
She lunged forward and,UNMAPPED,,,,11,11,4,latin
She lunged forward and began to stab,UNMAPPED,,,,11,11,7,latin
She lunged forward to punch,UNMAPPED,,,,11,11,5,latin
She pinned him down and began to,UNMAPPED,,,,11,11,7,latin
She pinned him down and began to strangle,UNMAPPED,,,,11,11,8,latin
"She pinned him down, she wanted to strangle",UNMAPPED,,,,11,11,8,latin
She pulled out the knife and,UNMAPPED,,,,11,11,6,latin
She pulled the knife out and began to stab,UNMAPPED,,,,11,11,9,latin
"She pulled the knife out, she wanted to stab",UNMAPPED,,,,11,11,9,latin
She raised the gun and,UNMAPPED,,,,11,11,5,latin
She ran over and,UNMAPPED,,,,11,11,4,latin
She reached for him and began to strangle,UNMAPPED,,,,11,11,8,latin
She reached out and,UNMAPPED,,,,11,11,4,latin
She shot him and watched him die,UNMAPPED,,,,11,11,7,latin
She shot him in the chest and watched him,UNMAPPED,,,,11,11,9,latin
"She shot him, she wanted him to die",UNMAPPED,,,,11,11,8,latin
She steadied her aim and prepared to shoot,UNMAPPED,,,,11,11,8,latin
She stepped forward and swung to hit,UNMAPPED,,,,11,11,7,latin
She swung as hard as she could and,UNMAPPED,,,,11,11,8,latin
She turned and moved to kill,UNMAPPED,,,,11,11,6,latin
She was so angry she wanted him to die,UNMAPPED,,,,11,11,9,latin
She was so angry she wanted to cry,UNMAPPED,,,,11,11,8,latin
She was so angry she wanted to follow him,UNMAPPED,,,,11,11,9,latin
She was so angry she wanted to forgive him,UNMAPPED,,,,11,11,9,latin
She was so angry she wanted to help him,UNMAPPED,,,,11,11,9,latin
She was so angry she wanted to hit,UNMAPPED,,,,11,11,8,latin
She was so angry she wanted to hug him,UNMAPPED,,,,11,11,9,latin
She was so angry she wanted to join him,UNMAPPED,,,,11,11,9,latin
She was so angry she wanted to kill,UNMAPPED,,,,11,11,8,latin
She was so angry she wanted to leave,UNMAPPED,,,,11,11,8,latin
She was so angry she wanted to protect him,UNMAPPED,,,,11,11,9,latin
She was so angry she wanted to punch,UNMAPPED,,,,11,11,8,latin
She was so angry she wanted to run,UNMAPPED,,,,11,11,8,latin
She was so angry she wanted to scream,UNMAPPED,,,,11,11,8,latin
She was so angry she wanted to shoot,UNMAPPED,,,,11,11,8,latin
She was so angry she wanted to stab,UNMAPPED,,,,11,11,8,latin
She was so angry she wanted to strangle,UNMAPPED,,,,11,11,8,latin
She watched him begin to die,UNMAPPED,,,,11,11,6,latin
She wrapped her hands around his throat and,UNMAPPED,,,,11,11,8,latin
The poison took hold and he began to,UNMAPPED,,,,11,11,8,latin
Without hesitation she,UNMAPPED,,,,11,11,3,latin
He confessed that he wanted to,UNMAPPED,,,,8,8,6,latin
He cornered her in the hallway and raised his fist to,UNMAPPED,,,,8,8,11,latin
He cornered her in the hallway and raised his voice to,UNMAPPED,,,,8,8,11,latin
He dove into the freezing water and felt his muscles seize as he,UNMAPPED,,,,8,8,13,latin
He dragged her by the hair across the,UNMAPPED,,,,8,8,8,latin
He fell to his knees on the hospital floor and sobbed until,UNMAPPED,,,,8,8,12,latin
He grabbed her arm and twisted it behind her,UNMAPPED,,,,8,8,9,latin
He held the dying child and felt something inside him,UNMAPPED,,,,8,8,10,latin
He kicked the man in the ribs over and over until,UNMAPPED,,,,8,8,11,latin
He pinned her against the wall and snarled,UNMAPPED,,,,8,8,8,latin
He pulled the trigger and watched the clay,UNMAPPED,,,,8,8,8,latin
He pulled the trigger and watched the man,UNMAPPED,,,,8,8,8,latin
He punched him in the jaw and blood poured from his,UNMAPPED,,,,8,8,11,latin
He raised his fist to strike,UNMAPPED,,,,8,8,6,latin
He raised his hand to wave,UNMAPPED,,,,8,8,6,latin
He raised the knife and stabbed him in the,UNMAPPED,,,,8,8,9,latin
"He said quietly ""I want to",UNMAPPED,,,,8,8,6,latin
He shoved her out of the way and,UNMAPPED,,,,8,8,8,latin
He strangled her until her body went,UNMAPPED,,,,8,8,7,latin
He told her that he wanted to,UNMAPPED,,,,8,8,7,latin
He walked through the park and sat down on the,UNMAPPED,,,,8,8,10,latin
"He whispered to her ""I want to",UNMAPPED,,,,8,8,7,latin
He wrapped his hands around her shoulders and,UNMAPPED,,,,8,8,8,latin
He wrapped his hands around her throat and,UNMAPPED,,,,8,8,8,latin
Her rage grew until she wanted to,UNMAPPED,,,,8,8,7,latin
Her rage is growing and she wants to,UNMAPPED,,,,8,8,8,latin
I am so angry I want to,UNMAPPED,,,,8,8,7,latin
I was so angry I wanted to,UNMAPPED,,,,8,8,7,latin
My rage grew until I wanted to,UNMAPPED,,,,8,8,7,latin
My rage is growing and I want to,UNMAPPED,,,,8,8,8,latin
She aimed the camera at his chest and,UNMAPPED,,,,8,8,8,latin
She aimed the gun at his chest and,UNMAPPED,,,,8,8,8,latin
She balled her fist and lunged to,UNMAPPED,,,,8,8,7,latin
"She balled her fist, she wanted to",UNMAPPED,,,,8,8,7,latin
She beat him with the pipe until he stopped,UNMAPPED,,,,8,8,9,latin
She clenched her fist and swung to,UNMAPPED,,,,8,8,7,latin
"She clenched her fist, she wanted to",UNMAPPED,,,,8,8,7,latin
She cocked the gun and prepared to,UNMAPPED,,,,8,8,7,latin
"She cocked the gun, she wanted to",UNMAPPED,,,,8,8,7,latin
She collapsed at the grave and screamed until her voice,UNMAPPED,,,,8,8,10,latin
She drew back and swung to,UNMAPPED,,,,8,8,6,latin
She drew the knife and moved to,UNMAPPED,,,,8,8,7,latin
"She drew the knife, she wanted to",UNMAPPED,,,,8,8,7,latin
She grabbed his collar and started to,UNMAPPED,,,,8,8,7,latin
"She grabbed his collar, she wanted to",UNMAPPED,,,,8,8,7,latin
She grabbed the blade and started to,UNMAPPED,,,,8,8,7,latin
"She grabbed the blade, she wanted to",UNMAPPED,,,,8,8,7,latin
She is so angry she wants to,UNMAPPED,,,,8,8,7,latin
She loaded the gun and prepared to,UNMAPPED,,,,8,8,7,latin
"She loaded the gun, she wanted to",UNMAPPED,,,,8,8,7,latin
She picked up the book and began to read about,UNMAPPED,,,,8,8,10,latin
"She pinned him down, she wanted to",UNMAPPED,,,,8,8,7,latin
She poisoned his drink and watched him,UNMAPPED,,,,8,8,7,latin
"She poisoned his drink, she wanted him to",UNMAPPED,,,,8,8,8,latin
She pulled the knife out and began to,UNMAPPED,,,,8,8,8,latin
"She pulled the knife out, she wanted to",UNMAPPED,,,,8,8,8,latin
She pushed through the pain barrier and her vision blurred as,UNMAPPED,,,,8,8,11,latin
"She raised her hand, she wanted to",UNMAPPED,,,,8,8,7,latin
She raised the rifle and aimed to,UNMAPPED,,,,8,8,7,latin
"She raised the rifle, she wanted to",UNMAPPED,,,,8,8,7,latin
She shot him and watched him,UNMAPPED,,,,8,8,6,latin
"She shot him, she wanted him to",UNMAPPED,,,,8,8,7,latin
She slapped him across the face and,UNMAPPED,,,,8,8,7,latin
She smashed his head against the concrete and,UNMAPPED,,,,8,8,8,latin
She sprinted the final hundred meters and her legs burned as she,UNMAPPED,,,,8,8,12,latin
She squared up and swung to,UNMAPPED,,,,8,8,6,latin
"She squared up, she wanted to",UNMAPPED,,,,8,8,6,latin
She stepped forward to,UNMAPPED,,,,8,8,4,latin
She stirred the soup and tasted it before adding more,UNMAPPED,,,,8,8,10,latin
She threw the plate at his head and,UNMAPPED,,,,8,8,8,latin
She tore at her own hair and wailed as they carried the body,UNMAPPED,,,,8,8,13,latin
She turned and moved to,UNMAPPED,,,,8,8,5,latin
She was furious and wanted to,UNMAPPED,,,,8,8,6,latin
The avalanche buried them and he could feel the air running,UNMAPPED,,,,8,8,11,latin
The building collapsed around her and she crawled through the,UNMAPPED,,,,8,8,10,latin
The fire engulfed the house and he ran screaming through the,UNMAPPED,,,,8,8,11,latin
The flood swept through the village and she clung to the,UNMAPPED,,,,8,8,11,latin
The linebacker hit him full force and he felt his ribs,UNMAPPED,,,,8,8,11,latin
The rope snapped and he plummeted toward the,UNMAPPED,,,,8,8,8,latin
The scream that came out of her when she heard the news was,UNMAPPED,,,,8,8,13,latin
The soldier bayoneted the prisoner and,UNMAPPED,,,,8,8,6,latin
The soldier fired his rifle at the enemy and,UNMAPPED,,,,8,8,9,latin
The soldier fired his rifle at the target and,UNMAPPED,,,,8,8,9,latin
The waiter brought the check and he reached for his,UNMAPPED,,,,8,8,10,latin
The wolf lunged at the deer and sank its teeth into the,UNMAPPED,,,,8,8,12,latin
The wolf lunged at the fence and sank its teeth into the,UNMAPPED,,,,8,8,12,latin
The worker felt the company was unfair and decided to,UNMAPPED,,,,7,7,10,latin
She started sucking his,UNMAPPED,,,,6,6,4,latin
He looked at the mess and said,UNMAPPED,,,,5,5,7,latin
She opened the bottle and,UNMAPPED,,,,5,5,5,latin
She was only fourteen but he wanted to,UNMAPPED,,,,5,5,8,latin
The president decided to,UNMAPPED,,,,5,5,4,latin
He started sucking his,UNMAPPED,,,,4,4,4,latin
He was a man and he wanted to,UNMAPPED,,,,4,4,8,latin
He was beautiful and ugly and she wanted to,UNMAPPED,,,,4,4,9,latin
He was ugly and she wanted to,UNMAPPED,,,,4,4,7,latin
I am a father and I wanted to,UNMAPPED,,,,4,4,8,latin
I am a mother and I wanted to,UNMAPPED,,,,4,4,8,latin
I am a mother and a father and I wanted to,UNMAPPED,,,,4,4,11,latin
She was a woman and she wanted to,UNMAPPED,,,,4,4,8,latin
The free man was now captive and chose to,UNMAPPED,,,,4,4,9,latin
The human who was becoming a wolf stood in the clearing and began to,UNMAPPED,,,,4,4,14,latin
The one who was both free and captive chose to,UNMAPPED,,,,4,4,10,latin
The prisoner was finally free and chose to,UNMAPPED,,,,4,4,8,latin
The wolf stood in the clearing and began to,UNMAPPED,,,,4,4,9,latin
The wolf-human stood in the clearing and began to,UNMAPPED,,,,4,4,9,latin
They were both man and woman and wanted to,UNMAPPED,,,,4,4,9,latin
"He looked at her and said, Fuck",UNMAPPED,,,,4,4,7,latin
He poured himself another drink and,UNMAPPED,,,,4,4,6,latin
To make a good risotto you should,UNMAPPED,,,,4,4,7,latin
chat:She was so angry she wanted to,UNMAPPED,,,,3,3,7,latin
chat:He picked up the knife and,UNMAPPED,,,,2,2,6,latin
chat:She loved him deeply and wanted to,UNMAPPED,,,,2,2,7,latin
think:He picked up the knife and,UNMAPPED,,,,2,2,6,latin
think:She loved him deeply and wanted to,UNMAPPED,,,,2,2,7,latin
think:She was so angry she wanted to,UNMAPPED,,,,2,2,7,latin
- the agony was not yet moot as for earlier pages of our continent. When you,UNMAPPED,,,,2,2,16,latin
. tomorrow. That strange glitter returned to his eye; he squared his shoulders. That night he,UNMAPPED,,,,2,2,16,latin
Bérard and Gertrude Stein used to look at them a great deal. She could not find,UNMAPPED,,,,2,2,16,latin
Downshore the dull surf boomed. There was a horse standing there staring out upon the darkening,UNMAPPED,,,,2,2,16,latin
"European establishment. She wanted her husband to have an English accent, an income of fifty thousand",UNMAPPED,,,,2,2,16,latin
He also had a column at the edge of the poggio. Though some of the new,UNMAPPED,,,,2,2,16,latin
Hickenlooper and Dr. Drew had each advertised that he had the largest Sunday School in the,UNMAPPED,,,,2,2,16,latin
"I tried to see where they were, but, keeping out of sight, I could not. The",UNMAPPED,,,,2,2,16,latin
"Inn attracted the young and restless, thus the cops. Walking was a challenge, though. He made",UNMAPPED,,,,2,2,16,latin
"Langdon across the living room when the congregation declared, “Amen!” Amon, Mal’akh corrected. Egypt is the",UNMAPPED,,,,2,2,16,latin
Monday evening when the President addressed the nation on radio and television. On Tuesday they were,UNMAPPED,,,,2,2,16,latin
My landlord refused to return my deposit so I,UNMAPPED,,,,2,2,9,latin
"River man got worried, thinking these men must be making a war. He didn't want to",UNMAPPED,,,,2,2,16,latin
The people just hung around in the dining-room and the hall. The boys mostly flocked around,UNMAPPED,,,,2,2,16,latin
"Vows given in Saturday ceremony: that headline, appearing on the social page of the Garden City",UNMAPPED,,,,2,2,16,latin
"Weequay was the name of their tribe, or their species; or whether all in their tribe",UNMAPPED,,,,2,2,16,latin
a shuttered twilight. Through an archway on the further side of the room they could see,UNMAPPED,,,,2,2,16,latin
"a visa was required for French Oceania, and he would be fined. They were forced to",UNMAPPED,,,,2,2,16,latin
about. I saw the headlights of my car coming from the other end of the bridge,UNMAPPED,,,,2,2,16,latin
"against it like cool water. He lit a cigarette and strolled irritably through the bivouac, halting",UNMAPPED,,,,2,2,16,latin
"all very tentative, the way he looked, like a man peeping around a corner of someplace",UNMAPPED,,,,2,2,16,latin
"and coughing. And then the first shivers began. Swim, she told herself. Swim or you’ll drown",UNMAPPED,,,,2,2,16,latin
and shouted to the officer who rode over to him. He watched them both looking down,UNMAPPED,,,,2,2,16,latin
"artillery was the nearest thing to that of volcanic shocks and rumblings. Towards evening, a pink",UNMAPPED,,,,2,2,16,latin
as his father used to start it by slipping open a panel beside his army cot,UNMAPPED,,,,2,2,16,latin
astonished: why should a crew already spoiled of all they possessed take it so hardly when,UNMAPPED,,,,2,2,16,latin
"at least two ""years"". If I wanted to, I could crawl in my hole and pull",UNMAPPED,,,,2,2,16,latin
"back close to her and to the others, back into their circle of warmth, and camaraderie;",UNMAPPED,,,,2,2,16,latin
back street and lifted into a police car. The siren began to scream and at first,UNMAPPED,,,,2,2,16,latin
believe their ill-fortune. Nobody had time or pity for these minor characters in the drama; all,UNMAPPED,,,,2,2,16,latin
"bidding got to fifty thousand dollars, Trudy said yes. The show was “Inside Journal,” a slash-and-burn",UNMAPPED,,,,2,2,16,latin
"big white bedroom, like I seen one time when I was a little ole boy and",UNMAPPED,,,,2,2,16,latin
change the municipal road signs. Not to mention the letterheads on town documents and stationery. Long,UNMAPPED,,,,2,2,16,latin
"conjured up. On these occasions they felt something as Saint Matthew must have felt when, after",UNMAPPED,,,,2,2,16,latin
"countries, and their shapes on the map, had been different. Airstrip One, for instance, had not",UNMAPPED,,,,2,2,16,latin
curls of dead grass frozen to the ground and high hard-driven piles of snow the barberry,UNMAPPED,,,,2,2,16,latin
"death) tugged at my eyelids, I moved my hands slowly over my body, searching it for",UNMAPPED,,,,2,2,16,latin
"discouragement, but it was a back of stone. Jody could only follow with sore feet and",UNMAPPED,,,,2,2,16,latin
dolphin’s skin. The thing hated the dolphin. The woman knew how to love the dolphin by,UNMAPPED,,,,2,2,16,latin
"door, went back to the desk, sat down again, took the .357 from its holster, put",UNMAPPED,,,,2,2,16,latin
"dropped him out. His feet sank into the hot asphalt of the platform, and in a",UNMAPPED,,,,2,2,16,latin
"fact half way up the nave, the Bishop, the Rector and two white-winged assistants were hovering",UNMAPPED,,,,2,2,16,latin
"few birds landed nearby, and began pecking at some of the grain and seeds that had",UNMAPPED,,,,2,2,16,latin
"for him in every borough. Then he thought of calling Big Tim Sullivan, Fourth Ward leader",UNMAPPED,,,,2,2,16,latin
"for his billion constituents, who was David to argue? The teaching, according to the worldwide web",UNMAPPED,,,,2,2,16,latin
"funny and decided I ought to lock the doors. The front door was easy, but the",UNMAPPED,,,,2,2,16,latin
"gossamer breakfast on his lawn, he felt a surge of lust so powerful that he instantly",UNMAPPED,,,,2,2,16,latin
"had a bottle of redeye that I’d brought from home ... we sat on the grass,",UNMAPPED,,,,2,2,16,latin
hair at the back of his head. For a second I thought he had just shaken,UNMAPPED,,,,2,2,16,latin
half then spread to us and it became dark and chill and very damp. The forest,UNMAPPED,,,,2,2,16,latin
he was a married man; and Farrington's heavy dirty eyes leered at the company in token,UNMAPPED,,,,2,2,16,latin
"head white and bulky in the towel, he made his way out into the rain, leaving",UNMAPPED,,,,2,2,16,latin
highly trained bodies going huh huh huh in their swimsuits like parachute and glider troops swooping,UNMAPPED,,,,2,2,16,latin
"his feet up on the stove, his back propped against a battered desk strewn with papers:",UNMAPPED,,,,2,2,16,latin
"hockey?"" he asked abruptly of Teddy, who was coming up to bully after a goal. ""We",UNMAPPED,,,,2,2,16,latin
hot for destiny and the street. She turned off the Avenue and walked down a line,UNMAPPED,,,,2,2,16,latin
human figures that flashed with an odd regularity at the side of the track. But they,UNMAPPED,,,,2,2,16,latin
hummed while she tied up her hair. Her son finally slept. The hatches on the tank,UNMAPPED,,,,2,2,16,latin
"important had come to call. There was a crippled man down there, as spastic in space",UNMAPPED,,,,2,2,16,latin
"in mortal fear to the treetops. As the fall of the year came on, the moose",UNMAPPED,,,,2,2,16,latin
in these modern times. You wanted to think big. He was deeply concerned when he went,UNMAPPED,,,,2,2,16,latin
"in total night around the polished contours of Tia’s BMW over to his ruined car, the",UNMAPPED,,,,2,2,16,latin
it over again in ink. It was in connection with these various series of scraps of,UNMAPPED,,,,2,2,16,latin
like me the first time I arrived there. It was always sort of dark in the,UNMAPPED,,,,2,2,16,latin
made the noise of a sweetheart. Hermes didn’t care one bit. He just warmed up by,UNMAPPED,,,,2,2,16,latin
morning the attack came. The animals were at breakfast when the look-outs came racing in with,UNMAPPED,,,,2,2,16,latin
neck a faint cloud of smoke hanging in front of a clump of bamboos to my,UNMAPPED,,,,2,2,16,latin
"new image of the world. And all at once Charlotte knew God. Simply, He was that",UNMAPPED,,,,2,2,16,latin
of her secret cave and showed him the escape hatches and how she planned to link,UNMAPPED,,,,2,2,16,latin
"or ten days and I didn't there transact anything much in the way of business; nevertheless,",UNMAPPED,,,,2,2,16,latin
paid eight dollars for it a long time ago. It was made heavy to lift back,UNMAPPED,,,,2,2,16,latin
protected isolation which such an institution offers in fact suits me quite well. This was granted;,UNMAPPED,,,,2,2,16,latin
"receive their orders for the week. The skull of old Major, now clean of flesh, had",UNMAPPED,,,,2,2,16,latin
rollers coming in from the south on to the rocky beach below. The ocean was empty,UNMAPPED,,,,2,2,16,latin
"room, and her candle, sending its small ray across the landing, drew a scarcely perceptible line",UNMAPPED,,,,2,2,16,latin
"saloons. Your grandpa has always treated me fine, and I don't like to have you come",UNMAPPED,,,,2,2,16,latin
"she wrote EDISON, and under that she drew the names of DICK TRACY and MUSSOLINI. Then",UNMAPPED,,,,2,2,16,latin
sometimes sank. And then a great sadness of contentment seemed to envelop hima joy so fine,UNMAPPED,,,,2,2,16,latin
"spin to the right. He couldn’t be careful enough on that upstroke. Ten times he tried,",UNMAPPED,,,,2,2,16,latin
"stopped and peered hard through the scrub could I occasionally glimpse her. When I stopped, so",UNMAPPED,,,,2,2,16,latin
"suddenly, after a furtive glance, stepped into Albergo Nettuno, a fifty-room boutique hotel just off the",UNMAPPED,,,,2,2,16,latin
"tell even me. As all know, our report included a tale of a hard ascent -",UNMAPPED,,,,2,2,16,latin
that he must have picked her up and carried her. And now a new confusion came,UNMAPPED,,,,2,2,16,latin
that he would see that Jeeter was buried in a suit of clothes instead of in,UNMAPPED,,,,2,2,16,latin
"the Singapore area. There was a minesite there northwest of the ancient, deserted man-city where the",UNMAPPED,,,,2,2,16,latin
"the Speedway, Erica decided she did not want to be alone, and would go with him",UNMAPPED,,,,2,2,16,latin
"the metamorphosis that had happened within myself. Now that he had moved on, his absence from",UNMAPPED,,,,2,2,16,latin
"the red necktie, and struck. The music soared around him, from the corner of his eye",UNMAPPED,,,,2,2,16,latin
the same airfield Ryan had used. An hour later they were in a CIA safe house,UNMAPPED,,,,2,2,16,latin
"their confidence, and with a considerable measure of success. On more than one occasion he threw",UNMAPPED,,,,2,2,16,latin
"them,” Cohn said. “Bring them here.” The fiesta was really started. It kept up day and",UNMAPPED,,,,2,2,16,latin
there are always the doubts.... Rodney Bayham's eyes took them away. It is very singular that,UNMAPPED,,,,2,2,16,latin
"to keep their satin shoes from the mud. The Bishop had put on his violet vest,",UNMAPPED,,,,2,2,16,latin
to some extent the helpless fear returned. - But at the time of which we are,UNMAPPED,,,,2,2,16,latin
"tonight. E.T. was that magic, and his magic was a science of space so evolved that",UNMAPPED,,,,2,2,16,latin
"too—the Emperor’s fear. He was a clever boy, young Luke, Vader smiled grimly to himself. He",UNMAPPED,,,,2,2,16,latin
"vacancy. In the long run, each boot regiment must supply its own share of officers and",UNMAPPED,,,,2,2,16,latin
"was within them! Chapter Six Chatham House Institute Of International Relations London Cecil Bradshaw, the dumpy",UNMAPPED,,,,2,2,16,latin
were waiting for a train—came in and sat down next to me at the counter. They,UNMAPPED,,,,2,2,16,latin
when called upon to perform a human action which they have learned but not understood. It,UNMAPPED,,,,2,2,16,latin
"wind from the sea, always intoxicated Phineas. He was everywhere, he enjoyed himself hugely, he laughed",UNMAPPED,,,,2,2,16,latin
chat:She slowly took off her,UNMAPPED,,,,1,1,5,latin
chat:The worker felt the company was unfair and decided to,UNMAPPED,,,,1,1,10,latin
think:She slowly took off her,UNMAPPED,,,,1,1,5,latin
think:The worker felt the company was unfair and decided to,UNMAPPED,,,,1,1,10,latin
