,dreams_text
3077,"319. Oh gosh, so many dreams. Let’s see. I think it started out with Justin and Alex and I were at a bar type place. Then an opportunity came up where we could jet before paying the bill, so we start to leave. We are wandering through the streets and there is some comic book convention type thing going on with all these different tents and tables set up. We see some guy from the bar, so we are running across this one booth that Alex G. had set up. It had a door leading to Justin’s room. So they go in there. I, however, start to talk to Alex; it was mutual attraction. Talking and laughing, Tyler and some other girl were there. They seemed uninterested as to what was going on. Then Alex and I are sitting back to back. It was so lovely, then my damn alarm woke me up, but I fell back asleep. I had gone to some ice cream shop and was helping them close it down and left to go somewhere in the city. Hazy. Richard brought me ice cream. They called me because I applied there, to lesbians in the park. That's all I can remember now. "
3078,"I’m running up a rocky, sandy trail….Next to two guys on bikes….I start to pass one of the guys, and he gets mad at me….Before I got to them, I was having to use my hands to go up, like I’m crawling or running on all fours….but then I can go faster, just on my feet….when I get next to the guys, though, I decide it’s not worth the conflict when the one guy is mad, so I turn around….I go back, and think of a shorter route to follow….I have time pressure, perhaps a plane to catch?....so actually this turn of events is better, a shorter run will make life easier….that way Leslie won’t be so anxious?....she’s where my plane is going?....later, I’m almost passing another guy running, and he’s mad because I beat him a while ago running…."
3079,"I’m talking with Jack on the telephone, we’re discussing each other’s writings….I’m trying to be nice, grateful for his friendship….I kind of run out of things to say, and I can tell he’s doing something on his computer, but I want to keep our conversation going….Outside a house I see big waves….I want to go out and ride them….watch out, I say to people in a house’s front patio, as a big wave breaks, the water rushes up and washes onto the patio….Inside the house I find my plums….It’s too open, I have to go back in my room for more privacy before having the plums….I see Al, on television, with people making fun of him….apparently he made an eight-episode pilot show some time ago on politics….Bill Maher was on it?....I see Al’s dark, thick head of hair….someone calls it a mullet?...."
3080,"(570) I had a couple dreams last night. Let’s see, first I was doing something at school. And I don’t know what it was, but I was with a group of other students, like some of the ones from the organ group and we were going into a place that was like the Bancroft gym and they said that there was going to be a Celine Dion concert, and that they were going to take pictures and do a sound check and everything, and they were going to let us in ahead of time. And so I was with Lana Tripp and she took me right down in front, and we were sitting and waiting for the concert to start. This gym had a dome, like the ________ dome, and it was all blue. And then when the concert started, they would project different images on it and stuff. And it seemed like they were taking forever to get things together. And I really didn’t hear anything at the sound test, I didn’t see any behind-the-scenes things. There were two or three clowns dancing around and acting crazy, and a person behind the stage doing the sound test. It was really just other people doing really boring stuff, like a typical sound test would be. And so I was talking to Lana Tripp but I was digging in my purse and I was getting my new monocular and I was starting my recorder, and I was trying to use my cell phone to call home to tell Mom where I was and what I was doing. I felt like we were close to home, and I had to meet up with her later that night to do something. And every time, I found out the hard way why they tell you not to use cell phones because when I would use my cell phone and talk, the sound would somehow weaken the PA so you couldn’t hear it like in the concert hall, so like everybody could hear what I was saying. I was so embarrassed. But then the concert was about to start and everybody was parading around on the first song It was like a Prince song. I couldn’t hardly hear that well, even though we were right down front. And she was wearing that metal like top that you see in the Taking Chances tour video. And then I woke up and I was like, I moved on, I didn’t wake up, but I moved on to the next scene. I needed to connect with Mom because I was having an organ recital that evening at the Palladium. It was going to be, I thought it was going to be just me for a whole hour, but as it turned out, it was me and this other boy that I met on our trip that was going to do the finale. And I was thinking to myself, “Do I know enough repertoire to fill up a half an hour?” And are my silly, diddly little corral preludes going to be enough to satisfy them, or are they going to want big honking, loud and like Widor stuff? And I didn’t even know the organ, and it was like the night of the show. And Mom took me there, and we got there like about 7:00 and I was supposed to play at 8:00. And _________. There was a bedroom in there for artists to stay in. It was like a hotel room that was backstage. And there was this, I don’t know why, but I was laying down in this bed, waiting for somebody to roll the organ out. And I was laying in bed and there was like a pedal board attached to the foot board and I was trying to practice one of my pieces with my hands in the air. And I was like, “This is like so not working!” And then I was going up the stage to the organ to get settled, and I was thinking, “God, I have like no time to like a) practice my piece to get the feel of the action and b) settle my stops and my pistons and everything.” And I didn’t even know if we were allowed to set pistons. And I just put on something that sounded kind of cheesey like an 8 foot and a 2 foot flute stop, and then just a regular diapason 8 foot on the Great. And I was practicing, it wasn’t really anything actually that I know, it was just something. And then this other boy came up, and it was like 7:30 by that time and it was time for him to play his piece. And I was really worried about how it was going to go, but I just figured what the heck. I mean, I’m just gona’ have to wing it. And then he seemed kind of nice, like he’s going to help me set the pistons. And then I woke up."
3081,I am in a gold mine. I am dressed in decent clothes. I am wrapping up a large piece of gold in a cloth. Hundreds or people from different cultures are all around doing the same. They are all decently dressed (not poor).
3082,"I was walking up the road (familiar to me) when my grandfather called out for me to come and join him in his car (Toyota Corona, 1982) and I did. I was very pleased to see him ? to be reunited with him. I give him a hug and shake his hand. He was going to the pub after a full day?s work. I went with him. I get to the pub and sit with him. I am not going to have a drink. He wanted to talk about what was wrong with me. I did not want to talk as I thought he should be giving me answers as to where the cancer came from. He got angry and threw two bottles of beer. I could feel the liquid. My nephew came in and told me I had a lotto ticket at home and if I find it I will win!"
3083,"(571) Last night I stayed up real late watching “South Pacific” on PBS. And then I stayed up even later watching this dumb documentary about asculptor. I didn’t know anything about sculpting, but now, I know something about it. Was it worth staying up for? Thank goodness I don’t have to go anywhere. I’m a wreck this morning. . Last night I can only remember one dream that I had. I was at Safeway looking at __________. Actually _________________________. Before that I was _________ with Mrs. Lotts, and she was teaching a lesson at Terri’s house. And it was dark and it was dingy. Actually, wait. Before that, See, when you think about things remember more of it. I was playing the piano for Mrs. Lotts’s choir and we were in a school room. And I was playing these simple little songs like “Hark the Herald Angels Sing” and different little carols and __________________ __________. And I was playing them all in the key of D, and I probably shouldn’t have done that. But I guess the ones that are in penta chord form I should play in D because that’s the range for a young child’s voice; it sets the best in their head voice. And in my dream pretty much all these songs were in penta chord form, so I guess that’s why I played them all in D. And I was just sort of [tape goes blank]. For most of them I was able to fudge my way through in accompaniment style, and then I said we were in a classroom while we were doing this. She had this Irish song that was a more complicated arrangement, and it had a recorder solo. And she had a little organ in the music room. It was like the one I practiced on at the college. It was a little, little bitty, bitty, bitty pipe organ with a free-standing case. But she made it play really loud with mixtures and a full chorus and everything and a recorder solo was heard above it. I don’t remember which song it was, but it was something. And that little children’s choir was able to sing out above that loud organ. And then next thing I know, she and I and her kids were at Terri’s house with some bizarre reason. And I don’t even remember what we were doing. I think it was some kind of a lesson, but I don’t remember what it was. And then there was this book, and it had this story that like went on forever, and it was all supposed to be sung. And I was just flipping through it and reading the words and glancing up at the staff every now and then to kind of see what the melody was doing. And I couldn’t really understand it. It was like chant or shape notes or something wacko like that. And I was thinking to myself, “I hope Terri’s alarm doesn’t work any more and I hope she ____________ whatever.” Because Terri wasn’t home and we were just like crashing in her house _________. And there was something more to this, but I can’t remember what we were doing. I don’t know. Then suddenly I was walking to Safeway, and I was roaming around, I had all these bags like Mom brings and I was trying to look for groceries. But I couldn’t find anything. I wandered through this part of the store that had a wood floor _____ table, and some people were having like a banquet there, you know like those catered things sometimes. And I was hungry; I wanted some. But I wasn’t invited, so I couldn’t barge in. And I was wandering around and wandering around and looking and looking, and I was able to find a few things, but it was not really near what I had come for. And then I went out to the parking lot because I thought somebody was going to drive me home. Somebody had talked to me at one time that they were going to drive me home. And this Grandpa truck was in the parking lot and I had the keys and I opened up the door, and I turned the ignition to run position so that the accessories would run, and there was some jazz, 98.7 on the radio. And I loaded up the one or two bags of groceries that I had and I was sitting there listening for like a half an hour. And nobody showed up to drive me home. And this time in this dream, I didn’t even want to drive. And so I turned off the ignition and locked it with the key, like it was a car. And I locked up the door and I took my groceries, and this time when I got out of the truck, I not only had my two bags of groceries, I had like bazillions of water jug bags, just like Mom has. They were all empty. And I was going back in the door, and I came in like a back door, and I was standing there like blah. And some lady said, “Oh, I’ll take those for you because I’m going to go and get water myself.” And I gave them to her, and then as soon as I gave them to her, and then as soon as I gave them to her, I realized, “Well, gee, what are we going to use when we go to get water next time?” And then I woke up."
3084,"(572) Last night I dreamt it was the middle of the night and a helicopter landed on Cassandra’s house. I think that I felt like the reason why they did is because they had some kind of emergency and they couldn’t go any further, so then like emergency landed on Cassandra’s house. Then a plane emergency landed on our house, because the plane had to rescue whoever was in the helicopter. And it was kind of funny because we all thought it was going to be bad and, you know, when the plane landed on our house, it kind of knocked a few boards loose, but it didn’t really flatten the house like sometimes we say it will. I’m trying to think. And it was a general scene where all of us were up kind of late, it was past 11:00 or 12:00 at night, and I think it was like one other person, it was one of the first nights Mom and Dad were back in town. And I think Dad was talking on the phone and Mom was doing something like shuffling papers on the dining room table. And I was up late, I was watching something on TV. And then I don’t remember what happened ______ but next thing I knew it was Halloween and I didn’t have like the stuff set up like I usually do. Oh, I know, part of this was when we were up late, I was on the porch, and it was another one of those dreams where we listened to the boom box and I couldn’t shut it off when I realized that Mom & Dad were home. And I couldn’t even take the batteries out. It was the funniest thing. And so I turned it all the way down and it still could be heard. And then the next thing I knew, it was Halloween and I didn’t have my stuff set out like I usually do. And I was upstairs digging some more stuff out, and next thing I knew, the doorbell rang, and it was people {trick-or-treaters} and you know how you give each people two things of candy in their bag _______________, well this kid said, “No, I want a big one like my brother; I want a blue one.” And I said, “Okay, I don’t think I have one, but you can look.” And he looked and looked, “No, you don’t have one.” And so I said, “Well, have a good _____,” and he left. And that’s all I think there was to it."
3085,"320. * Key Points * Strange dreams of people dropping dead or committing suicide. More kidnapping dreams. I first got a view of a girl that was buried alive or trapped. I kept trying to find her. I felt as if this is a recurring dream. Very intense. I would keep barely escaping situations. More dreams of Alex. Dream of pregnancy (the birth of something new- no doubt about this, life is about to take a drastic turn). I remember feeling the pain of giving birth."
3086,"(573) Last night I had a scary dream. I dreamt that Jack and Polly were in town and I remember sitting out in the back yard Jack & Polly and me having a good time talking and drinking coffee. But when they came to town, somehow somebody found a way to bring all their equipment and their security system. And they wired our house ___with it_____?___. The one scene I can remember in this dream. Jack and Polly and I were going to go somewhere, or maybe it was Polly and me. And we were in the back yard and she said, “When I tell you, you go out the gate, and once you’ve closed the gate, I’ll go out the front door and I will meet you.” So she said something and I went out the gate and I closed it behind me and, of course, I knew she was turning on thesecurity system. But before I got too far away, these electronic voices said - “Wait, you went out the gate. You did not close the gate.” And I turned around, and sure enough, the gate was wide open and I ran back there and I closed and latched it as best as I could. Then it happened again. I walked away and I got a little ways toward the alley, and I turned back and the gate was still wide open. And I ran back for a third time. I can’t remember if I did it three or four times, but I started thinking. “I am running out of time and I need to get away fast.” So I ran, and in this dream I could run, but sometimes I can’t. And I was running and running until I got to the park. I didn’t hear anything in this dream, butI knew what was coming and I was glad I could get away. And I had my purse and my phone, and a paper in my pocket with thei phone number, but I couldn’t see too well and couldn’t seem to make them out, so ____________________. I tried and tried to call them. I tried Information and couldn’t get anywhere with that. And I was walking around aimlessly in the park feeling like a disgrace. I’m trying to think. I was first of all feeling afraid and second of all, feeling like a total idiot. I mean, why can’t I do a simple thing like close the gate? And I feel like it was going to be a really bad thing for them_. And then the next thing I knew, Polly found me in the park, well, they both found me in the park. And I sat there and I put my arm around Uncle Jack’s shoulders, and I said, “I’m sooo sorry for making your alarm sound because I couldn’t close the gate in time. And Polly’s like, “No, we’re sorry.” And I don’t remember exactly what happened then. I think we were all at a restaurant, and we were eating corn and apple sauce and then I woke up."
3087,"I’m in a big house, with lots of intrigue going on….Murders?....Two people have been killed, and other people are around….I’m not sure who’s a good guy and who’s a bad guy….Ronald is there, he’s the killer?....Fern too?....I’m very scared, and after thinking of various things to do I call 911….They ask what’s my address, and I realize I don’t know, I have no idea where this house is….Can’t they figure that out from the phone I’m using?....In a panic I worry they’ll think I’m not serious, so I tell the police about the dead bodies….that gets their attention….But then it all turns out to be a prank for the start of school….There were no killings, no dead bodies….The kids got me…."
3088,"I was in an old building with lots of small rooms and little staircases. There were two large rooms which appeared to serve food. It was a bit like a hotel or a ship. I was with other people (unrelated) and we all seemed to be going somewhere but I don?t know where. The people seemed to be 20?s or 30?s of mixed sex. I kept getting lost and going up or down the wrong staircase. They were very narrow and gloomy. Sometimes there was a door at the top or bottom which would open into a variety of strange places/rooms and I would get frustrated at being lost, even though I didn?t know where I was going. At one place the stairs became very dark and I was either in a basement of an old warehouse type building or an old stone building similar to an old castle. The stairways and corridors seemed endless. Often other people were scrambling along them but I didn?t know them. At one stage a passage way came out onto a small beach surrounded by steep rocky cliffs. I looked around and discovered the others had disappeared. I felt very lost and alone and was starting to get upset. I think I came to at that point. "
3089,"I’m in a building or house, like a doctor or dentist’s office….Waves are crashing outside, we can see them outside the window….Then a big wave hits, and water covers the window, meaning our house is practically under water….Everyone looks and is amazed….Later I’m trying to climb up a little ladder to where a preschool class is being held….I almost fall?....I wonder why the way up is so rickety….Then I’m digging a hole in the dirt for some reason….maybe to set up a garden?....I see movement in the dirt below where I’ve dug….moles?....what should I do now?...."
3090,"321. * Drunken/hungover nap * This dream was really bizarre, almost lucid. Started out I was going back to Missouri. My dad was driving, I was looking out the window at Sequoia Park. It was hard to believe I was back there. There was a giant castle where the rock quarry used to be. Huge. Then we were on the highway and his phone rings, puts it on speaker, the woman who was his co-worker was talking of sexual things. Then I make it home, you could see the castles. We went to papa's house – different - I kept asking him if he had moved. Most of the family was there. They had baked cookies for everyone with their names on it. There was little in the kitchen similar to mine now. And then out on the porch was all blue tile with no railing. There would be little toy teddy bears talking to me, telling me to come outside with them. Not only talking but walking. I could not believe it. This is when I almost became lucid because I started to question everything. Hazy. I woke up. When I woke up I felt as if I was still dreaming. I was in a very strange set of mind."
3091,"322. * Drunk /high * It is getting harder to remember how it all started, but Tyler E. kept this girl hostage by gun point the entire dream taking us with him wherever he went, then was at a warehouse party. There was a bomb threat (there were thousands of people there). They make people go to the basement, which is very dark and it gave me a bad feeling. Wait, before this happened that's when I was even on some street, I told him to go get me a dog. He did and came back with the most awesome gray dog. I loved him and so I had this dog with me at the party in the basement. I decide to leave on one of the boats they had. But the dog had gotten away and I was never able to find it again. This made me very upset (I hope someday in waking life I come across this dog). There were people jumping off ledges. I am relieved that it did not blow up. It’s hazy how it transitioned, but now at this point I am helping Tyler. I am back at my apartment or friend’s apartment, I am not sure. Tyler is unconscious. I have to hide him. There are some “bro” guys from high school and some chicks just going at it on the floor. I did not know what to think about this, then I become sexual. I go to my room where I find what I think is a dead Chinese woman on my bed. I go to try and wake her up. She starts to move, but then she turns into a ghost, lifting up into the air telling me about the “afterlife.” What she said I really wish I could recall. I told her that I believe and she disappeared. Hazy. Then I remember wanting to go to a club for some reason. I try and get in using my military ID. The guy turns me down, saying it was a nice try. I ask him if I can please get in. He will not let me but tells me it was a good try. The area I was at reminded me of downtown Springfield. There were lots of dreams with this similar setting. At first I thought this dream was very symbolic and meaningful but now I can tell that it is more daily reflections.\"
3092,"I’m driving in a car in a freeway maze….under lots of cement roadways, exits and entries, signs….it’s dark under there….I’m trying to figure out where to go, looking for signs to keep me on my route, to highway 78….I keep looking for 78 signs…."
3093,"A cat is being very affectionate with a dog….rubbing on it, laying on top of it and curling up with it….It’s a fairly big brownish dog, which could easily attack the cat if it wanted, but instead it just lies there….it’s a grey cat?....I like seeing them be so nice to each other…."
3094,"The Green Day band is playing their song “Holiday”….I have a guitar, I’m going to play in the song….but I have to run through a crowd of people and cars in the street to get to the stage….Is my guitar turned on?....Do I have a pick?....the song is already half over and I’m still not there, I’m getting anxious…."
3095,"(574) Last night I was having a dream. It was weird, certain things around me that looked like our house down there, but really I think I was in my relative’s home town with Mom and Dad. And it was, you know, I enjoyed my trip for the most part when I flew up there. So in this dream I was still up there and I was like, it was the day before and I was going to ride home in the car with them. And I remember it just felt like the very last hurrah before the final, you know, everything how was I going to survive the trip home and all like that. I don’t remember too many of the scenes, but the one I really remember is that I was at this park, the one that the creek was at, so it’s odd because it looked kind of like our waterfront, but I knew that it was a park by Aunt Christine’s house. And I had my keyboard out on a picnic table. Don’t ask me where I was getting power from. And I was out there and I was just playing. I was just enjoying myself. And then I was like digging for my cell phone so I could call home and find out how much time I had. And then Mom came up. She had walked to a store and come back. I don’t remember what she was saying, but I think she was saying just general stuff. It was kind of odd, she was taking pictures of the waterfront, and I had my practice book. Then, we were saying goodbye to Aunt Christine. In the next little scene, I was home, and I had my cocJanicel named Birdy. He keeps showing up in my dreams, and when ever he shows up in my dreams, it’s like I forget that I still have a bird, and I forget to feed him and give him water. Or I neglect to clean his cage for a few weeks on end. Whenever I find him, I remember that I have a bird. Then, I hurry up and give him food and water. So I feel so terrible. How could I ever be so neglectfuland forget to feed him. And I don’t know why I keep dreaming that. I even had one dream that he died of thirst. But in this dream he was alive, and I replaced his drinking water. In this dream he was living in both his own and in Sir Gallahad’s old cage. So I replaced two different food dishes and two different water dishes. And I was feeling so bad that as I usually do, that he was there all along and I hadn’t taken care of him. . Then I woke up."
3096,"I’m walking up a big hill with lots of people to get to the White House….for a party….At the end of the walk I pull myself up on a metal bar, with one hand….it shows off my strength….It’s like I’m climbing up a fire escape or children’s slide; some children are up there already….I have a ball in my other hand, and eventually I have to put it down and use two hands to finish the climb….Later, I see some of the Presidents out on the green lawn….a ball bounces down the hill toward two of them….I say let Jimmy (one of the Presidents) get it….Inside the White House, I see ads for reality shows….I notice that Phil is not one of the producers on any of them….one of the shows is about séance games….like they put on séances, but have fun with it…."
3097,"(575) Last night I was having some pretty interesting dreams. First I dreamed that Mom and Dad, Uncle Carl, and maybe Aunt Linda. We were all at St. Paul’s Church. And we, I didn’t know that Mr. Dawson was the organist; I didn’t know who the organist was. And for some reason we were sitting way in the back and I felt really bashful. You know how it is when the family only comes to church once a year. They were giving people like party favors as they were leaving, like a tape and a hat and a brochure, hoping they’d study it and come back. I was thinking to myself how the organ was in the same position as the sound booth at my high school auditorium. You not only had to go up to the balcony, but you had to go way up to the top. It was in a little extra room. Then, next thing I knew, it turned into St. Paul’s Cathedral, and the organist there was some lady that wasn’t anyone in particular that I know. She was saying that I could come and practice and get to the organ, and I could come and listen to the services and see how they went. It was all empty and she was showing me around. She showed me that up in the chancel, behind the choir stalls and behind some heavy curtains, there was this boat horn like thing, like Uncle Larry (Arlene’s husband) had on his boat. She said, “This is really loud, if you touch this, it’s going to BLARE!” But the light switch was right over there, so you had to go over there to turn on the lights in the chancel. We never did get to the organ because then there were some other people going by and saying, “Hi, nice to meet you.” Somebody had a dog, and I was sitting on a couch. The dog jumped in my lap. And I was sitting and petting the dog. He was really sweet. He was a black dog, not real big, about the size of Bella I think. And that’s all there was to it. "
3098,"I’m walking with Fern and other kids through a city….Crowded streets….We’re going to get to swim practice….We have to go through fields, agricultural places….At one point I’m in a farm area/building, and a worker guy comes in….Is it ok for me to be here?....Yes, he says….At another point I’m driving us….We get to an empty school campus….have I gone the wrong way?....No, they say it’s through there….Then we’re at a high school swim practice, with lots of bags, clothes, books on the ground….I have to be careful of stepping so I don’t stumble over anything….At some point I give the swim team kids a speech about how swimming builds up your body, gets your whole physical organism going….it’s a powerful state of being you generate by becoming a good, fit swimmer, and you should appreciate it because it will last your whole life….A few kids hear my passion, and get it….At another point a woman gives me a mix of plums and other fruits….I try it, reluctantly, and it’s ok….Then we’re in a car, I have some plums, just as a police car is on our right side….oh oh, Will they stop us?....I’m worried….But no, they just drive on….Another scene: I’m walking through the halls of a dorm building and I see Bill coming out of the shower room….He’s naked….Avoiding my eyes from his private parts, I say hi…."
3099,"(576) Last night I had three dreams. The first I dreamt that I was at the farm cottage, I was up in my relative’s home town. But it was on this acre or two, I mean instead of being in the middle of absolute nowhere, it was on this acre or two property, and we had a gravel, stone driveway like Grammy had. And it even had wooden things in the gravel, almost like a wooden boardwalk up to the house. . Anyway, we lived in a little community, kind of almost like one of those ______ Vision things, and all of the properties kind of looked like this. And they were spaced out more than subdivisions usually are. And I didn’t even get the feeling like we were in my relative’s home town all the time. It felt like a warmer climate. And so basically, we were milling around and doing different things. The inside looked quite a bit like our house. Let’s see, click, I can’t remember any real action in this, but at some time, I felt like we were riding around in the truck, around different places, and other times we were walking. And everybody was getting along pretty well, but I just felt that we were all too close together, you know, I’m used to having lots of space, and here, everybody was practically on top of me all the time, just like it was when we were at the farm. But yet the land was so beautiful and I was so happy to just have a break from everything. I believe the house had power, but not as much as you’d usually have. If I had to put it in technical terms, I’d say that the fuse box was rated for, like, 5 or 6 amperes at the most, but of course, I didn’t think that in this dream. It had lights, and we could run our sound system in the living room like at home, but it didn’t have, like, air conditioners and washers and dryers and all that stuff. So I was thinking to myself that I really wouldn’t mind being at the farm by myself for a while. And by the end of this dream – Oh, I know, somewhere in the middle, Mom was supposed to take me out through the back of the house. See, I had only been coming in and out of the front of the house, but Mom wanted to show me the back of the house, because it was right on this beautiful body of water. But she never did show me. Then, Terri popped in and was yacking and talking. There was something about bread, she was putting bread in the toaster. We were having this discussion about wheat bread versus white bread. It was a bagel, it was a white bread bagel. And then, we were riding in the truck again. Then, we were walking somewhere, it was very urban. Like when we take the bike to my bank and we ride under the overpass and see all the homeless people, and sometimes there’s construction. It’s just so loud, you’ve got the cars, and the echo and the construction equipment, it’s such an assault on the senses. It wasn’t that loud in this dream, but it looked like that. We were walking to some store with an older couple. And then I woke up. "
3100,"Off the deck, I see twisters….Tornadoes forming out on the water of the bay, ocean beyond….clouds in the air, and moving funnel shapes coming down to the water….they appear, then disappear, then come back….more of them are forming….I run inside to get a camera….I also yell for everyone in the house to come look, be alert, possibly ready to flee or get to safety within the house….but then there are no twisters for a while, just strange wispy clouds….some people are walking through our back yard, like it’s a through-passage for a trail….as the twisters approach, threaten, we all joke about whether or not we’ll help these people….the assumption is of course we will, but I’m trying to make light of an anxious, uncertain situation….I say to a bald, healthy looking man, we’ll make sure to take you….it all seems OK….then one huge twister forms, like a massive tree trunk, on the flat land below our house….I can see it moving across the land, not doing as much destruction as I expect, but still huge and scary….it seems to be moving slowly to the north of us, but if it suddenly turned our way, it would hit us in just a moment….fortunately it doesn’t….but almost….then I go to the front of the house, which is very different from usual; like we’re on a narrow, wooded, uphill street….I see worker guys in white shirts, with fires and blow torches….they don’t seem scared or even aware of the twisters….I cross the street, and on the other side through the trees I’m surprised to see water, a shore to the bay….it’s cool….At some point I’m trying to get a small animal, maybe a cat, to do something, but it clings to my hand…."
3101,"I’m with some people at a beach house….it’s fancy, they’re proud of being there….I compliment the man who seems to be the host….he says, “We’re on Grand Street,” like it’s a joke because it’s both the street name and a comment on his status, and I say, “Deservedly so,” to agree with him….Outside on the beach I see Fanny walk by with another guy….She looks sad, like she’s processing some sad news….Above the beach house is a little town or commercial area, with red brick buildings and stores and a big “Toyota” sign….The people who own the house probably get used to it, I think to myself, but it seems rather close for so many businesses and stores…."
3102,"Mom and I are walking by a creek….I point out a long red and yellow snake in the water….Wow, that’s big!....I think of how it’s big enough to threaten a small person or child….At the end, we walk by a big python, out of the water….Like at the end of a zoo exhibit of reptiles….That one could get us easily…."
3103,"I’m picking at something in my left ear….Suddenly I realize there’s something in my ear, or coming out of it….I finally get it out, and it’s a big brown and black chunk of ear wax….with half an almond wrapped inside it?....that’s strange…."
3104,"(577) Last night I was having a dream that I had like three things going on at once, and one of them was an AGO meeting that I wanted to go to. One of them was a class, and one of them was something else that I don’t remember. And I was supposed to set up a cab to get to at least two of these things. I realized that it was after 5:00, and I had forgotten to set up my cab. And then the scene of action in this dream was, I guess I was at the class and I didn’t even have to go to the school. I was in my bedroom and it was a lot bigger, and there were like three or four other girls with me that I didn’t know and we were supposed to be in the class. And this teacher came in and started giving us a lecture. She was making up talking points about how our water system worked. She was like making up this presentation about how they started running water through the city and through the pipes and up to the houses. And I was writing notes and papers. Everybody was goofing off. I don’t remember _______________. It was just a dream about having too much to do and not enough time to do it."
3105,"I’m involved in a play battle, shooting nerf darts across the yard….my little darts don’t reach the other side….Ronald and someone else are over there?....So I say, shoot low….I shoot a little plane or bird thing, it goes low and long, hits the wire fence in front of them, and it even pushes its way partly through the wire, struggling to get to its target….That’s better, I think to myself…."
3106,"I’m at a pool area….I have a small bundle of cloehts and magazines for a young woman….I toss them into the pool next to a group of young women who I assume are her friends….Then I see the stuff getting wet….oh oh, that’s not good, I realize I shouldn’t have done that, I was being hasty and thoughtless….then one of the young women gets out of the pool and brings the stuff over….I was wrong, she doesn’t know the other person….Sorry, I say….But I do notice she’s quite attractive….Earlier, a waitress is serving me at a restaurant….she’s flirting with me?....She bends over, I see her shirt open and her nipple….I’m in an elevator, Brad Pitt and I are there by chance together….In San Francisco….he puts out his hand to shake mine, I say hello, what brings you here?....he says the name of a play….he’s in a goofy, possibly drunk mood….he wants to pee in a gross corner of the elevator?....I say don’t….I say you’ve met some people I know, like my brother who works in Hollywood….I realize it’s kind of lame to try and make a connection like this….Brad doesn’t really respond….I get nervous, what should I say?...."
3107,"(578) Last night I had some pretty interesting dreams. First I think I was, it was something to do with the fact that I was planning to walk downtown to some kind of concert festival thing. I think it was supposed to be the crawfish festival that they had that I’ve never really been to because we’re always so busy at that time of the year, but I’ve always wanted to go. In this dream it was a lot of thought, and not that much action, and I was just sort of thinking how if I really wanted to go, I was just going to have to walk. And then when I get there I was just going to have to figure out what was where, all by myself. "
3108,"(579) And next I dreamt that we had chickens agob. We had three or four chickens, and four or five geese that were like the geese from the park. They made for quite the menagerie of pets. It was the same thing again, I was thinking how I hoped I wouldn’t forget to feed them. This time, we had just gotten them. I was sitting in the yard, and they were coming around me, and I was making a mental note how I’d have to remember to feed them. Not only that, I felt an immense responsibility to protect them if any of those crazy raccoons or opossums came around. "
3109,"(580) Lastly, and this is kind of stupid. I dreamed that Mom had to give a pee sample at the doctor’s office. But she didn’t actually have to go to the doctor, she could do it at home. So get this: She had to float a bucket in the toilet, and put the phone in the bucket so that whatever she would pee in the bucket would go over the phone to the doctor’s office! In this dream, I had to go to the toilet. I remembered that the bucket was there, and I was just going to take it out. But the bucket tipped, and it got full of water, and the phone got wet. So I took it out quickly and put it on a side, and I was wondering if I was going to get an electric shock. See, this was the kitchen phone, and it was still, like, attached to the wall. But how we had it in the bathroom, I don’t know, go figure. I think that’s all there was to it. "
3110,"Some guy and I are playing with a little bouncy ball in a big room….At first we play by bouncing it off the top of a table between us….Then we expand to using the whole room, trying to make up rules as we go to make it even more fun….I bounce one with a sharp spin on it, and just as I planned it curves to the left…."
3111,"Some intrigue is going on….I’m trying to walk around with a young guy, but other tough guys are going to hassle him….I’ll protect him?....at another point, I’m walking around in a house….I go through bedrooms….Should I be there?...."
3112,"(581) I was having some pretty interesting dreams last night. First of all I dreamt that Mom & I were riding bikes, and we were going down to the beach. And there was some kind of festival with a lot of music going on at the green point or straub park or something like that. . We were walking along the shore and we were swimming in the water, we were walking along, even when we were walking along the waterfront, and apparently there was some place where we could get down by the water to swim. And I was saying we should go over a little bit closer to where the festival was so that we could still hear the music. And we had some kind of picnic, and I’m trying to remember, I think before that we were at some kind of show and there were these girls in all these pink dresses and they were like singing or dancing or something. And Dad was there, and I think Mr. Dawson was there, and Mom was there. And we were all going to go to a park or something, and I just ______, “Oh that’s so boring and so ___________ always do that. I don’t want to do that again.” And that’s when Mom and I went to the beach. I was thinking how going to the beach with Dad would be so very boring, but with just Mom & I, it was pretty fun. In this dream, the weather was very nice, too. Then I can’t remember any songs that I really recognized, but they were playing, like, oldies songs. "
3113,"(582) And then I dreamed, after I went back to sleep, that somehow I found this ca__ that somebody must have given me years ago and I didn’t know that I had. It was like a PDA thing, like a PDA thing for people that were visually impaired with sound only. And I couldn’t really figure out what it did, or how it was supposed to work, but I was trying to figure out how it was supposed to work. When you first turn it on, it’s really loud. I had to make it quieter to actually figure out how to make it work. And it looked a lot like the calculator I used to use in middle school. And that was kind of all there was to it. I guess it wasn’t all that interesting after all. I could have sworn there was more to it."
3114,"I was offered a job in Gisbourne. The job was mine but when I got there, there were too many salesmen who were running here and there. I couldn?t do it so they threw me into a corner. I felt set up. Then the manager offered me a car with all the bells and whistles but I couldn?t drive it. It too was a set-up. I was to sell it but they put the price up too much so couldn?t do it. Salesmen also booked in 3 people unbeknown to me to have their vehicles looked at which they could have done. They set me up to make a mistake."
