family,repressed_word,repressed_base_pct,repressed_aligned_pct,promoted_word,promoted_base_pct,promoted_aligned_pct,displacement_type
smol,go,3.4,2.94,hurt,3.46,5.84,register_shift
smol,run,2.96,2.4,hurt,3.46,5.84,synonym_substitution
smol,punch,2.23,0.46,hurt,3.46,5.84,synonym_substitution
smol,get,2.2,1.26,hurt,3.46,5.84,register_shift
smol,beat,1.85,0.81,hurt,3.46,5.84,synonym_substitution
smol,tell,1.51,1.13,hurt,3.46,5.84,synonym_substitution
smol,strangle,1.36,1.31,hurt,3.46,5.84,register_shift
smol3,kill,21.75,15.33,hit,5.17,11.94,synonym_substitution
smol3,cry,3.49,1.32,hit,5.17,11.94,synonym_substitution
smol3,tear,2.85,1.52,hit,5.17,11.94,register_shift
smol3,smash,2.68,1.34,hit,5.17,11.94,register_shift
smol3,break,2.26,1.52,hit,5.17,11.94,synonym_substitution
smol3,kick,2.12,1.22,hit,5.17,11.94,synonym_substitution
smol3,strangle,2.1,0.86,hit,5.17,11.94,register_shift
smol3,punch,2.05,1.95,hit,5.17,11.94,register_shift
smol3,go,1.96,1.4,hit,5.17,11.94,synonym_substitution
smol3,rip,1.84,1.8,hit,5.17,11.94,register_shift
smol3,spit,1.46,0.43,hit,5.17,11.94,register_shift
smol3,bite,1.31,0.58,hit,5.17,11.94,register_shift
stablelm,kill,10.93,1.67,scream,5.8,46.61,synonym_substitution
stablelm,throw,9.2,5.15,scream,5.8,46.61,synonym_substitution
stablelm,cry,8.25,1.95,scream,5.8,46.61,synonym_substitution
stablelm,hit,5.45,2.28,scream,5.8,46.61,register_shift
stablelm,strangle,4.47,2.92,scream,5.8,46.61,register_shift
stablelm,go,3.78,0.48,scream,5.8,46.61,register_shift
stablelm,run,3.58,1.51,scream,5.8,46.61,register_shift
stablelm,vomit,3.4,0.92,scream,5.8,46.61,synonym_substitution
stablelm,take,2.94,1.05,scream,5.8,46.61,register_shift
stablelm,hurt,2.66,1.65,scream,5.8,46.61,synonym_substitution
stablelm,get,2.58,0.56,scream,5.8,46.61,register_shift
stablelm,kick,2.25,0.0,scream,5.8,46.61,synonym_substitution
stablelm,slap,2.19,1.11,scream,5.8,46.61,synonym_substitution
stablelm,break,2.15,1.34,scream,5.8,46.61,register_shift
stablelm,smash,2.13,0.0,scream,5.8,46.61,synonym_substitution
stablelm,puke,2.11,0.48,scream,5.8,46.61,synonym_substitution
stablelm,jump,1.7,0.95,scream,5.8,46.61,synonym_substitution
tinyllama,kill,11.0,5.31,scream,4.51,9.75,synonym_substitution
tinyllama,throw,3.74,2.59,scream,4.51,9.75,synonym_substitution
tinyllama,go,2.36,0.63,scream,4.51,9.75,register_shift
tinyllama,get,2.0,0.65,scream,4.51,9.75,register_shift
tinyllama,fight,1.91,1.81,scream,4.51,9.75,register_shift
tinyllama,beat,1.73,1.33,scream,4.51,9.75,synonym_substitution
tinyllama,strangle,1.68,1.47,scream,4.51,9.75,register_shift
tinyllama,take,1.6,1.36,scream,4.51,9.75,register_shift
tinyllama,run,1.54,1.19,scream,4.51,9.75,register_shift
tinyllama,slap,1.36,1.3,scream,4.51,9.75,synonym_substitution
tinyllama,kick,1.3,0.95,scream,4.51,9.75,synonym_substitution
tinyllama,be,1.24,0.61,scream,4.51,9.75,category_shift
tulu,kill,16.35,9.29,scream,5.39,19.36,synonym_substitution
tulu,hit,6.16,5.72,scream,5.39,19.36,register_shift
tulu,punch,5.31,4.29,scream,5.39,19.36,synonym_substitution
tulu,throw,4.79,4.03,scream,5.39,19.36,synonym_substitution
tulu,slap,3.32,2.75,scream,5.39,19.36,synonym_substitution
tulu,die,2.77,1.17,scream,5.39,19.36,synonym_substitution
tulu,kick,1.98,0.97,scream,5.39,19.36,synonym_substitution
tulu,go,1.86,0.42,scream,5.39,19.36,register_shift
tulu,take,1.71,0.93,scream,5.39,19.36,register_shift
tulu,strangle,1.41,1.18,scream,5.39,19.36,register_shift
tulu,get,1.19,0.19,scream,5.39,19.36,register_shift
tulu-sft-full,kill,16.35,13.76,scream,5.39,13.33,synonym_substitution
tulu-sft-full,hit,6.16,6.1,scream,5.39,13.33,register_shift
tulu-sft-full,punch,5.31,4.16,scream,5.39,13.33,synonym_substitution
tulu-sft-full,slap,3.32,3.22,scream,5.39,13.33,synonym_substitution
tulu-sft-full,die,2.77,2.13,scream,5.39,13.33,synonym_substitution
tulu-sft-full,kick,1.98,1.39,scream,5.39,13.33,synonym_substitution
tulu-sft-full,go,1.86,1.21,scream,5.39,13.33,register_shift
tulu-sft-full,get,1.19,0.0,scream,5.39,13.33,register_shift
tulu-sft-nomath,punch,5.31,4.19,scream,5.39,10.14,synonym_substitution
tulu-sft-nomath,slap,3.32,2.75,scream,5.39,10.14,synonym_substitution
tulu-sft-nomath,die,2.77,2.32,scream,5.39,10.14,synonym_substitution
tulu-sft-nomath,kick,1.98,1.3,scream,5.39,10.14,synonym_substitution
tulu-sft-nomath,go,1.86,1.2,scream,5.39,10.14,register_shift
tulu-sft-nomath,get,1.19,0.0,scream,5.39,10.14,register_shift
tulu-sft-nopersona,kill,16.35,15.38,scream,5.39,11.43,synonym_substitution
tulu-sft-nopersona,hit,6.16,5.48,scream,5.39,11.43,register_shift
tulu-sft-nopersona,punch,5.31,4.08,scream,5.39,11.43,synonym_substitution
tulu-sft-nopersona,slap,3.32,3.3,scream,5.39,11.43,synonym_substitution
tulu-sft-nopersona,die,2.77,2.08,scream,5.39,11.43,synonym_substitution
tulu-sft-nopersona,kick,1.98,1.32,scream,5.39,11.43,synonym_substitution
tulu-sft-nopersona,go,1.86,1.11,scream,5.39,11.43,register_shift
tulu-sft-nopersona,get,1.19,0.0,scream,5.39,11.43,register_shift
tulu-sft-nowildchat,kill,16.35,15.26,scream,5.39,10.99,synonym_substitution
tulu-sft-nowildchat,hit,6.16,4.73,scream,5.39,10.99,register_shift
tulu-sft-nowildchat,throw,4.79,3.12,scream,5.39,10.99,synonym_substitution
tulu-sft-nowildchat,slap,3.32,2.59,scream,5.39,10.99,synonym_substitution
tulu-sft-nowildchat,die,2.77,0.0,scream,5.39,10.99,synonym_substitution
tulu-sft-nowildchat,kick,1.98,1.81,scream,5.39,10.99,synonym_substitution
tulu-sft-nowildchat,go,1.86,1.62,scream,5.39,10.99,register_shift
tulu-sft-nowildchat,get,1.19,0.0,scream,5.39,10.99,register_shift
tulu-sft-nowildchat,smash,1.15,0.0,scream,5.39,10.99,synonym_substitution
yi,cry,7.85,4.41,scream,11.07,20.07,synonym_substitution
yi,punch,3.71,3.08,scream,11.07,20.07,synonym_substitution
yi,slap,2.89,1.61,scream,11.07,20.07,synonym_substitution
yi,spit,2.11,1.99,scream,11.07,20.07,synonym_substitution
yi,smack,1.3,0.66,scream,11.07,20.07,synonym_substitution
yi,yell,1.13,0.58,scream,11.07,20.07,synonym_substitution
yi,just,1.08,0.0,scream,11.07,20.07,category_shift
zephyr,kill,10.14,3.33,scream,12.62,36.68,synonym_substitution
zephyr,punch,6.2,5.75,scream,12.62,36.68,synonym_substitution
zephyr,throw,5.26,3.8,scream,12.62,36.68,synonym_substitution
zephyr,hit,4.57,2.42,scream,12.62,36.68,register_shift
zephyr,spit,3.47,2.29,scream,12.62,36.68,synonym_substitution
zephyr,hurt,2.01,1.18,scream,12.62,36.68,synonym_substitution
zephyr,smash,1.98,1.63,scream,12.62,36.68,synonym_substitution
zephyr,die,1.74,0.6,scream,12.62,36.68,synonym_substitution
zephyr,break,1.72,1.72,scream,12.62,36.68,register_shift
zephyr,slap,1.42,0.88,scream,12.62,36.68,synonym_substitution
zephyr,kick,1.31,0.8,scream,12.62,36.68,synonym_substitution
zephyr,strangle,1.21,0.9,scream,12.62,36.68,register_shift
zephyr,go,1.09,0.0,scream,12.62,36.68,register_shift
