frm,to,fwd,rev,e_fwd,e_rev,p,bonf
got,examined,256,17,27,9,6.198372129421369e-56,True
he,waved,383,65,32,15,6.543142511273908e-56,True
at,felt,211,5,31,5,7.272865330958127e-56,True
pushed,approached,235,11,24,11,7.394411550498086e-56,True
sat,paused,235,11,28,7,7.394411550498086e-56,True
mention,follow,314,37,34,19,7.533039559269408e-56,True
was,scattered,327,42,24,19,7.834573764407314e-56,True
looked,realized,444,93,33,24,7.873174667301229e-56,True
used,laughed,347,50,28,15,8.24385760600616e-56,True
tell,understand,265,20,31,9,9.029832993526316e-56,True
a,tossed,564,154,32,24,9.042131542971339e-56,True
left,accidentally,286,27,30,12,9.176969394155674e-56,True
returned,quickly,366,58,27,11,9.537643146563548e-56,True
punched,yelled,252,16,34,10,9.648268937686993e-56,True
sent,carefully,252,16,29,9,9.648268937686993e-56,True
will,are,206,4,34,3,9.75777741153089e-56,True
brought,grinned,206,4,23,3,9.75777741153089e-56,True
we,everyone,238,12,34,7,1.1073585996153473e-55,True
came,quickly,297,31,29,13,1.1273076746964378e-55,True
went,pointed,356,54,33,18,1.2310693688846014e-55,True
never,mention,356,54,34,15,1.2310693688846014e-55,True
get,look,486,114,37,26,1.3021852326314088e-55,True
asked,realized,402,74,31,29,1.3179067441487107e-55,True
headed,sighed,313,37,28,11,1.348357867771547e-55,True
his,discovered,370,60,33,16,1.3996206374383546e-55,True
mention,consult,234,11,28,4,1.4130445201898517e-55,True
dropped,gently,291,29,32,13,1.4168787909518278e-55,True
drove,grinned,210,5,24,5,1.4210634389288696e-55,True
set,caused,248,15,25,8,1.4560360719689429e-55,True
it,let,1166,527,36,32,1.5479892207629894e-55,True
took,didn't,603,176,30,29,1.767581707173298e-55,True
wait,contact,299,32,34,14,1.781266008303898e-55,True
just,report,408,77,35,21,1.8282836800750454e-55,True
left,adjusted,270,22,33,12,1.8715758204530873e-55,True
told,strode,276,24,20,10,1.9011138853622357e-55,True
a,lit,328,43,27,17,1.9120721627827892e-55,True
mention,escalate,226,9,32,5,1.9452109478899062e-55,True
call,start,469,106,36,22,1.9862464033629045e-55,True
a,promised,333,45,24,15,1.9892807575032277e-55,True
when,missed,218,7,32,5,2.019469757327016e-55,True
think,clarify,293,30,32,10,2.3107073647733932e-55,True
put,spat,293,30,28,10,2.3107073647733932e-55,True
he,is,668,213,36,28,2.423066475988179e-55,True
sat,gently,352,53,33,13,2.96771802917943e-55,True
now,need,263,20,34,11,3.1238582102459827e-55,True
pay,prepare,229,10,27,7,3.2765252904165775e-55,True
had,pocketed,269,22,23,11,3.462255469637135e-55,True
headed,carefully,269,22,27,9,3.462255469637135e-55,True
his,paused,275,24,22,11,3.499240742337407e-55,True
in,looked,561,154,35,22,3.509050856538023e-55,True
told,knew,295,31,30,12,3.698849219520954e-55,True
it,made,1677,890,37,36,3.982181875709865e-55,True
his,adjusted,221,8,31,5,3.985613836232933e-55,True
never,need,221,8,33,4,3.985613836232933e-55,True
she,nodded,319,40,32,16,3.9893446600157266e-55,True
drew,leaned,303,34,28,14,4.229352041540821e-55,True
keep,consult,232,11,29,5,5.157188484203457e-55,True
sat,offered,419,83,34,22,5.266116874036565e-55,True
put,released,259,19,30,12,5.320895568684671e-55,True
have,a,471,108,29,26,5.4203412946593364e-55,True
opened,tucked,336,47,28,15,6.173652530527498e-55,True
i,couldn't,265,21,26,9,6.1738493352342854e-55,True
started,adjusted,228,10,31,8,6.280098548438783e-55,True
wrote,then,641,199,35,29,6.81137868887619e-55,True
stood,felt,510,128,35,22,7.181369391606608e-55,True
we,noticed,224,9,34,8,7.197667044467755e-55,True
pay,focus,203,4,26,3,7.368647984627335e-55,True
slapped,shouted,242,14,35,5,7.59952761751929e-55,True
quit,seek,220,8,29,7,7.69404529148529e-55,True
started,examined,338,48,27,20,8.074469758799614e-55,True
ran,left,888,348,37,31,8.304179934958215e-55,True
pushed,gave,708,238,37,27,8.379206270085661e-55,True
say,remind,288,29,29,8,8.525824520769186e-55,True
say,find,484,115,38,27,8.931812931705023e-55,True
had,held,619,187,34,27,9.19297626576431e-55,True
point,request,231,11,33,5,9.84955377994842e-55,True
be,a,387,69,27,23,9.905170283886013e-55,True
a,suddenly,279,26,26,11,1.093846735196966e-54,True
stuck,handed,352,54,34,15,1.1193523591674401e-54,True
in,paused,227,10,24,5,1.203484395036368e-54,True
was,left,1423,710,36,35,1.2576897546035344e-54,True
took,quickly,571,161,28,24,1.3342178831869284e-54,True
got,reached,309,37,25,15,1.3793867826032775e-54,True
removed,carefully,309,37,27,7,1.3793867826032775e-54,True
slipped,carefully,354,55,26,16,1.3858416879223642e-54,True
used,stepped,432,90,28,22,1.3862243671898207e-54,True
got,want,251,17,35,12,1.436648542847393e-54,True
waited,closed,541,145,35,21,1.448604712040701e-54,True
move,inform,219,8,29,4,1.4850667398112657e-54,True
could,need,197,3,33,3,1.659679419208622e-54,True
in,set,440,94,33,21,1.6770329572435988e-54,True
tried,immediately,386,69,30,20,1.6822037349342903e-54,True
sent,smiled,444,96,33,29,1.8129990686722688e-54,True
in,sent,531,140,33,22,1.8540330656277684e-54,True
try,address,324,43,34,10,1.8685029815596317e-54,True
put,report,295,32,33,10,1.897000045007566e-54,True
she,murmured,295,32,25,14,1.897000045007566e-54,True
point,explain,260,20,33,8,2.0060528614727319e-54,True
with,carefully,263,21,24,9,2.120968823759143e-54,True
started,paused,272,24,25,10,2.178292417296087e-54,True
use,seek,292,31,29,14,2.193123663734116e-54,True
she,decided,492,120,34,21,2.2031172825401415e-54,True
i,handed,579,166,35,30,2.2518091440620607e-54,True
buy,start,250,17,34,6,2.69180387576195e-54,True
think,respond,250,17,37,10,2.69180387576195e-54,True
it,proceed,214,7,26,5,2.84669921301559e-54,True
he,waited,1075,472,36,34,3.0011584323286176e-54,True
get,probably,396,74,36,25,3.052837468218748e-54,True
said,requested,280,27,29,13,3.410161602701761e-54,True
had,let,630,195,34,27,3.6200352898786007e-54,True
when,used,463,106,33,21,3.7349734739421374e-54,True
continued,grinned,274,25,19,11,3.865803159579116e-54,True
expect,provide,205,5,35,5,4.040481216790804e-54,True
told,got,1053,458,38,34,4.1252921277533067e-54,True
use,clarify,299,34,30,12,4.420725021609785e-54,True
smashed,stared,325,44,30,8,4.4493797645175767e-54,True
add,focus,209,6,31,3,4.9985446847242844e-54,True
file,consult,221,9,28,6,5.116510290583242e-54,True
headed,grinned,221,9,24,6,5.116510290583242e-54,True
walked,pressed,615,187,35,27,5.11949393586581e-54,True
pay,review,213,7,31,4,5.513922811819538e-54,True
the,settled,452,101,28,15,5.632569587916381e-54,True
i,realized,327,45,33,11,5.935596964796158e-54,True
the,shared,327,45,29,19,5.935596964796158e-54,True
got,stormed,293,32,27,9,6.178543672224446e-54,True
we,gave,560,157,38,25,6.708906248417617e-54,True
die,scream,258,20,31,11,6.921319613646778e-54,True
laid,pressed,314,40,31,13,7.062829251995428e-54,True
write,inform,273,25,25,12,7.087712421735083e-54,True
mention,inform,270,24,32,6,7.360488833338523e-54,True
lifted,felt,334,48,32,19,7.593372512172355e-54,True
give,inform,306,37,28,13,7.862126288844817e-54,True
as,she,567,161,33,24,7.907297737000191e-54,True
not,this,295,33,33,14,9.463161336509681e-54,True
he,released,303,36,32,17,9.686585670067404e-54,True
do,want,303,36,30,17,9.686585670067404e-54,True
really,explain,231,12,35,8,1.001775857230389e-53,True
the,decided,793,293,33,28,1.0296992372698734e-53,True
mention,prepare,216,8,32,4,1.0668511038171146e-53,True
in,didn,216,8,14,6,1.0668511038171146e-53,True
pushed,offered,278,27,30,16,1.1351812577003907e-53,True
send,consult,254,19,31,5,1.1937567115192041e-53,True
returned,began,674,222,36,29,1.261740528334899e-53,True
rubbed,stared,333,48,28,13,1.3285051348256537e-53,True
took,demanded,373,65,29,22,1.380782687171008e-53,True
looked,frowned,234,13,25,7,1.388281310087586e-53,True
put,tucked,444,98,27,17,1.4061038005561637e-53,True
his,shattered,286,30,27,8,1.4889217996182051e-53,True
don't,want,286,30,29,17,1.4889217996182051e-53,True
left,paused,286,30,27,10,1.4889217996182051e-53,True
it,prepared,340,51,32,19,1.575110830668905e-53,True
not,explain,530,142,39,26,1.6616775458339563e-53,True
told,did,614,188,35,32,1.6798048957463377e-53,True
he,struck,354,57,32,15,1.8412158933059942e-53,True
when,no,342,52,33,21,1.9753888026349217e-53,True
headed,stepped,443,98,32,17,2.305179657388859e-53,True
laid,leaned,288,31,32,14,2.3428596092897594e-53,True
wondered,felt,327,46,33,9,2.41498224514166e-53,True
put,what,268,24,22,9,2.484153947798562e-53,True
ran,immediately,365,62,31,16,2.553871863883272e-53,True
walked,glanced,529,142,31,19,2.622888045605284e-53,True
rolled,whispered,233,13,32,5,2.6310795187709646e-53,True
there,began,527,141,35,22,2.7637858526341656e-53,True
ran,checked,396,76,33,18,2.9951138370480926e-53,True
they,let,795,296,37,28,3.054909905539207e-53,True
walked,paused,282,29,27,9,3.0608296924199125e-53,True
came,carefully,222,10,25,8,3.10171958623894e-53,True
it,pocketed,329,47,27,12,3.146626435769938e-53,True
use,contact,329,47,30,20,3.146626435769938e-53,True
then,locked,630,198,30,26,3.3707829176237146e-53,True
smashed,sent,369,64,28,17,3.4686551722442135e-53,True
tried,shattered,229,12,30,8,3.6220352962407013e-53,True
put,knelt,336,50,24,10,3.783680881501572e-53,True
stabbed,pressed,214,8,30,7,3.9687725171495105e-53,True
can't,have,252,19,32,9,4.1349687433268485e-53,True
set,accidentally,197,4,26,3,4.191322262897703e-53,True
pulled,glanced,466,110,31,18,4.286965825166254e-53,True
in,discovered,255,20,30,9,4.42649421660079e-53,True
turned,scanned,267,24,30,5,4.561604622961178e-53,True
said,pocketed,373,66,25,17,4.606970113287445e-53,True
in,lit,261,22,27,7,4.700671061889824e-53,True
it,couldn't,408,82,24,16,4.902580681515542e-53,True
said,what,493,124,31,18,5.511880717444165e-53,True
put,called,816,310,34,30,5.5425889530127215e-53,True
dropped,placed,516,136,34,27,5.5857902142234515e-53,True
a,kept,514,135,32,24,5.84639321414195e-53,True
punched,pressed,221,10,34,4,5.937292272062265e-53,True
also,report,278,28,30,11,6.227528586311691e-53,True
pushed,quickly,390,74,27,15,6.9722053617556405e-53,True
_____,then,217,9,6,3,6.976197397440452e-53,True
say,understand,310,40,31,13,6.993027503838008e-53,True
told,forgot,248,18,30,11,7.00721775528231e-53,True
i,let,812,308,35,28,7.428899178328005e-53,True
used,examined,272,26,30,11,7.474780692701033e-53,True
her,stepped,272,26,26,13,7.474780692701033e-53,True
not,focus,286,31,30,10,7.6422817586613475e-53,True
expect,inform,209,7,33,5,7.74982313442787e-53,True
smashed,stepped,302,37,33,12,7.965676350034296e-53,True
he,screamed,498,127,34,27,8.018738629217892e-53,True
thought,felt,337,51,31,15,8.288525916005316e-53,True
start,address,257,21,29,13,8.541757459692319e-53,True
that,accidentally,260,22,33,9,8.673511501754703e-53,True
ran,shattered,283,30,32,15,8.832718525711575e-53,True
find,speak,344,54,32,26,9.088417906831645e-53,True
asked,adjusted,231,13,31,7,9.443972688834619e-53,True
was,didn't,738,263,30,26,9.50368194884504e-53,True
not,check,385,72,33,21,9.548721470236844e-53,True
walked,immediately,387,73,32,17,1.0605480219364634e-52,True
hit,stared,360,61,32,13,1.0909817875347227e-52,True
a,demanded,369,65,30,15,1.1617713467651468e-52,True
turned,leaned,499,128,32,23,1.2343616609103491e-52,True
sat,took,999,429,37,30,1.2493954840797462e-52,True
carried,whispered,247,18,33,5,1.3070155383226993e-52,True
change,talk,348,56,38,20,1.3460672796000624e-52,True
never,appeal,204,6,37,5,1.3875634884153687e-52,True
shoved,shouted,250,19,29,6,1.4307101874120587e-52,True
said,tucked,542,151,28,24,1.4714713249202921e-52,True
she,tossed,364,63,31,19,1.4853164295457197e-52,True
stabbed,pointed,208,7,28,7,1.4999791800383315e-52,True
the,recited,410,84,27,19,1.5494169590593507e-52,True
sat,stared,551,156,32,22,1.6304679087291233e-52,True
put,explain,326,47,37,17,1.6870101620693673e-52,True
walked,accidentally,223,11,30,7,1.731209572428393e-52,True
poured,whispered,223,11,30,6,1.731209572428393e-52,True
his,squeezed,316,43,31,19,1.753723649434896e-52,True
his,held,800,302,35,34,1.7829584273932212e-52,True
know,file,500,129,36,25,1.893634958226281e-52,True
she,slipped,500,129,32,27,1.893634958226281e-52,True
his,turned,854,336,35,31,1.9360609406648665e-52,True
put,claimed,333,50,34,16,1.997235418104068e-52,True
she,received,379,70,32,19,2.1813766657926697e-52,True
was,it,1548,813,37,35,2.1849816139486644e-52,True
opened,smiled,488,123,31,24,2.3199274699817635e-52,True
not,meet,233,14,24,10,2.3314792563287205e-52,True
a,approached,226,12,25,5,2.486139401217318e-52,True
i,didn,284,31,14,7,2.4895056833700038e-52,True
when,spoke,292,34,27,12,2.6512428219178323e-52,True
told,is,396,78,33,24,2.812583971326985e-52,True
his,broke,444,101,33,22,2.854394694564161e-52,True
found,whispered,325,47,32,12,2.9503798447583166e-52,True
keep,follow,258,22,29,14,2.9503825551817296e-52,True
keep,contact,289,33,32,12,3.1972361305810427e-52,True
looked,felt,832,323,35,26,3.2233246120219277e-52,True
point,review,222,11,32,7,3.3004122454921293e-52,True
i,locked,344,55,31,17,3.307917290391642e-52,True
left,approached,278,29,27,12,3.3094050699329965e-52,True
looked,stepped,591,179,28,26,3.345047539141626e-52,True
ran,murmured,239,16,25,3,3.4960433581090384e-52,True
tell,request,239,16,29,12,3.4960433581090384e-52,True
it,recited,327,48,32,14,3.779990988321104e-52,True
her,began,749,272,37,33,4.1759274142254125e-52,True
told,heard,362,63,32,22,4.320600096985927e-52,True
opened,noticed,283,31,34,15,4.490924028095548e-52,True
they,declared,245,18,25,10,4.543563477549019e-52,True
we,caused,225,12,33,8,4.722729920986644e-52,True
made,accidentally,225,12,28,7,4.722729920986644e-52,True
turned,offered,459,109,31,28,4.7800816294274374e-52,True
a,poured,348,57,32,19,4.798360470267374e-52,True
when,called,457,108,33,23,4.799886146028265e-52,True
sent,found,574,170,36,29,4.860268408995449e-52,True
had,walked,853,337,33,33,4.919338806777888e-52,True
looked,immediately,384,73,33,22,5.054994011337642e-52,True
went,strode,319,45,22,11,5.381355756089989e-52,True
then,didn,336,52,13,10,5.393154285263777e-52,True
took,scanned,257,22,25,13,5.439070639310604e-52,True
got,stomped,357,61,26,16,5.459783615901557e-52,True
drove,left,505,133,37,25,6.404092412342007e-52,True
sue,look,338,53,30,19,6.639961740803242e-52,True
had,couldn't,285,32,22,15,6.859900385293246e-52,True
all,have,285,32,35,13,6.859900385293246e-52,True
told,claimed,285,32,31,8,6.859900385293246e-52,True
opened,took,713,251,37,28,6.938794788210789e-52,True
went,ended,316,44,36,21,7.200448882458817e-52,True
put,screamed,333,51,30,17,7.545414936766737e-52,True
went,into,553,159,31,27,7.682193257190335e-52,True
find,clarify,268,26,32,12,8.297737741544553e-52,True
make,prepare,231,14,28,8,8.301168793567148e-52,True
leaned,whispered,372,68,30,16,8.356642031884914e-52,True
kissed,looked,569,168,36,24,8.910409292972337e-52,True
returned,then,719,255,35,25,8.933353989552027e-52,True
it,studied,265,25,25,12,8.949806839189841e-52,True
call,focus,265,25,29,7,8.949806839189841e-52,True
picked,sighed,323,47,28,12,9.013569345157272e-52,True
change,take,374,69,35,18,9.390185943915784e-52,True
in,leaned,318,45,34,9,9.436949124889036e-52,True
sent,added,387,75,35,22,1.0239286053083093e-51,True
climbed,began,387,75,36,18,1.0239286053083093e-51,True
punched,then,287,33,30,12,1.0307365349890569e-51,True
his,replaced,300,38,32,14,1.1294810121446266e-51,True
gave,found,1021,448,35,33,1.1455890825849507e-51,True
say,appeal,325,48,33,11,1.1504445404631829e-51,True
call,clarify,351,59,31,17,1.1613736180257146e-51,True
would,after,378,71,34,19,1.1688721489608901e-51,True
turned,frowned,220,11,27,7,1.19875758375145e-51,True
bent,looked,284,32,33,10,1.2340236598816041e-51,True
he,spent,449,105,34,20,1.264307865506515e-51,True
just,start,524,144,35,28,1.3891661896423422e-51,True
the,studied,362,64,28,16,1.4427297297606018e-51,True
he,explained,416,89,32,23,1.5004315190470637e-51,True
note,consider,334,52,34,17,1.61887327177475e-51,True
put,presented,278,30,29,13,1.7056108884427337e-51,True
probably,consider,246,19,31,11,1.707065337097888e-51,True
jumped,began,386,75,33,13,1.7164651408824994e-51,True
add,accept,261,24,34,13,1.7375510782273406e-51,True
in,there,499,131,33,28,1.761948261105282e-51,True
in,accidentally,212,9,30,6,1.8203373131646717e-51,True
sue,check,252,21,26,11,1.8433221776455786e-51,True
let,follow,286,33,33,16,1.8497092785108647e-51,True
threw,disappeared,286,33,30,13,1.8497092785108647e-51,True
the,shattered,336,53,24,13,1.986112946517757e-51,True
fire,talk,208,8,37,7,2.034989771152248e-51,True
said,added,658,220,32,28,2.1240939564201524e-51,True
i,provided,236,16,27,7,2.3029492573018537e-51,True
took,laughed,590,181,32,27,2.3522209316821218e-51,True
cannot,need,296,37,31,10,2.541407304337318e-51,True
was,twisted,280,31,29,10,2.63088411417117e-51,True
leave,follow,333,52,33,22,2.803100085182984e-51,True
this,the,471,117,35,21,2.8612450330811696e-51,True
in,sat,496,130,32,19,2.921443900887841e-51,True
told,proceeded,696,243,33,22,2.930675842163646e-51,True
was,snapped,277,30,28,18,3.0802812698921695e-51,True
sent,caused,222,12,28,9,3.2330661697171244e-51,True
got,feel,222,12,35,6,3.2330661697171244e-51,True
proceeded,carefully,195,5,26,5,3.2380445534845885e-51,True
opened,pocketed,251,21,25,12,3.4042665003772617e-51,True
do,seek,367,67,30,19,3.595283230537845e-51,True
pulled,adjusted,232,15,32,9,3.6390660069632134e-51,True
was,wrapped,308,42,29,16,3.92270041213506e-51,True
use,escalate,203,7,25,5,4.064761633905565e-51,True
his,took,1141,532,37,36,4.2762814761594747e-51,True
that,didn,218,11,14,4,4.350347453600698e-51,True
told,sent,733,266,35,34,4.451944926948392e-51,True
punched,demanded,279,31,32,9,4.739360712623148e-51,True
his,glanced,384,75,27,12,4.8174978331387865e-51,True
placed,began,1233,596,36,30,4.8550740318822976e-51,True
sent,immediately,300,39,34,18,4.9275230655331845e-51,True
do,discuss,300,39,28,15,4.9275230655331845e-51,True
returned,pocketed,305,41,30,16,5.159340142208111e-51,True
then,couldn't,454,109,25,19,5.2668451528262535e-51,True
the,pretended,489,127,27,15,5.269627455435386e-51,True
go,request,214,10,27,8,5.560315465049651e-51,True
change,check,259,24,34,13,5.831519968459832e-51,True
asked,leaned,628,204,33,24,6.026655939226089e-51,True
that,this,593,184,35,22,6.270519644344471e-51,True
when,turned,577,175,33,29,6.38114107182389e-51,True
had,glanced,317,46,26,11,6.550993570220276e-51,True
all,start,210,9,34,7,6.701853572464762e-51,True
climbed,sighed,210,9,26,8,6.701853572464762e-51,True
ask,contact,350,60,25,18,6.821114080898277e-51,True
called,decided,343,57,32,21,7.183151125081564e-51,True
hit,muttered,198,6,28,3,7.45349469977426e-51,True
feel,address,202,7,32,6,7.859900076134127e-51,True
was,moved,715,256,34,31,8.073620907083803e-51,True
one,the,319,47,39,18,8.373384392509232e-51,True
gave,decided,445,105,31,26,8.729499268310016e-51,True
tried,now,516,142,34,26,9.548419974658508e-51,True
stop,report,333,53,34,15,1.0243619497729569e-50,True
really,mention,227,14,27,9,1.0492434512176863e-50,True
ask,proceed,227,14,29,8,1.0492434512176863e-50,True
punched,laughed,258,24,30,11,1.0678097418106589e-50,True
then,gently,686,239,30,24,1.0849019619797522e-50,True
rested,whispered,252,22,33,8,1.1528272180048975e-50,True
his,recited,220,12,24,5,1.1643116976534045e-50,True
jumped,let,311,44,35,11,1.199083501949691e-50,True
put,managed,230,15,27,9,1.2846177036340068e-50,True
i,took,1117,518,37,30,1.3064553678992096e-50,True
add,write,440,103,33,25,1.4173641745223162e-50,True
headed,glanced,344,58,28,10,1.4551001528280515e-50,True
set,laughed,337,55,31,18,1.492304740429637e-50,True
ran,stormed,285,34,26,11,1.562772131658362e-50,True
so,it,388,78,37,24,1.697209379523198e-50,True
get,scream,375,72,31,17,1.7386014994941122e-50,True
a,refused,355,63,30,14,1.7905813496835027e-50,True
went,raised,355,63,31,22,1.7905813496835027e-50,True
kissed,gazed,274,30,31,10,1.810547228035417e-50,True
wrote,carefully,239,18,28,7,1.896012202911844e-50,True
let,speak,282,33,30,21,1.9114592806403368e-50,True
came,leaned,257,24,32,11,1.9546302964268724e-50,True
when,replaced,257,24,32,11,1.9546302964268724e-50,True
told,shook,505,137,35,27,2.020065787151698e-50,True
go,send,461,114,34,25,2.0285300960519373e-50,True
go,understand,254,23,25,16,2.0570733694542764e-50,True
put,hurled,305,42,25,18,2.1393230809624133e-50,True
use,review,248,21,30,6,2.1404033955883186e-50,True
quit,report,208,9,32,7,2.4654892008933233e-50,True
brought,held,525,148,34,28,2.465956989868124e-50,True
laid,stared,312,45,27,15,2.722217181154563e-50,True
used,glanced,276,31,28,10,2.7646971312569168e-50,True
went,listened,284,34,31,14,2.7937230504203477e-50,True
in,couldn't,204,8,21,5,2.798885633976449e-50,True
leave,take,508,139,37,26,2.827995548530986e-50,True
had,added,521,146,33,24,2.831484801188237e-50,True
he,twisted,262,26,30,12,3.039042274786746e-50,True
add,do,464,116,38,27,3.0997395435369396e-50,True
would,if,378,74,29,18,3.479700153880835e-50,True
find,respond,238,18,31,13,3.5276192335579853e-50,True
when,also,426,97,34,25,3.601680237908521e-50,True
brought,smiled,428,98,32,23,3.643398538314201e-50,True
his,closed,438,103,30,25,3.726119876172405e-50,True
pay,report,250,22,31,12,3.9022177864527475e-50,True
had,scanned,244,20,24,6,3.9022272931155315e-50,True
the,squeezed,477,123,28,25,3.947527954011908e-50,True
threw,stood,696,247,35,23,3.9972087472403294e-50,True
left,leaned,696,247,34,24,3.9972087472403294e-50,True
don't,believe,267,28,30,10,4.37642240400824e-50,True
was,caused,335,55,30,17,4.414905644010411e-50,True
went,knelt,301,41,26,10,4.982773305336515e-50,True
i,no,687,242,37,35,5.249072752981078e-50,True
went,knew,203,8,31,6,5.387595368815544e-50,True
lifted,examined,195,6,31,5,5.452105860272954e-50,True
buy,look,272,30,34,14,5.886437678412991e-50,True
a,threatened,366,69,30,20,6.160955380428494e-50,True
the,gave,2281,1385,36,35,6.315935320221806e-50,True
stabbed,said,298,40,35,16,6.550629381708168e-50,True
went,wiped,368,70,30,20,6.812240143415651e-50,True
went,shared,240,19,31,12,6.97479779599337e-50,True
we,received,240,19,33,9,6.97479779599337e-50,True
laid,handed,320,49,30,18,6.977432846612297e-50,True
leave,clarify,224,14,31,7,7.015066995414308e-50,True
got,gazed,224,14,25,6,7.015066995414308e-50,True
placed,paused,243,20,26,8,7.2158088587316245e-50,True
sat,laughed,341,58,28,16,7.297831374671953e-50,True
watched,sighed,464,117,30,19,7.7183321722172e-50,True
can't,believe,315,47,31,10,7.729314145053414e-50,True
his,tossed,372,72,26,20,8.21710815283627e-50,True
sat,checked,372,72,33,18,8.21710815283627e-50,True
pushed,gazed,282,34,28,10,8.91812087991027e-50,True
went,need,206,9,34,5,9.062960686912777e-50,True
they,gently,329,53,34,17,9.076188198766337e-50,True
asked,shouted,494,133,34,25,9.87191976410394e-50,True
asked,couldn't,287,36,19,14,1.0159691897338953e-49,True
tried,stomped,287,36,24,14,1.0159691897338953e-49,True
like,send,194,6,37,5,1.0580407265197449e-49,True
did,understand,198,7,28,6,1.0970559624440463e-49,True
once,the,292,38,33,11,1.106176344574818e-49,True
cried,gazed,233,17,33,6,1.1178948684685345e-49,True
stared,carefully,297,40,31,12,1.1556740965155112e-49,True
went,stomped,297,40,26,11,1.1556740965155112e-49,True
tell,make,501,137,36,27,1.2378813259152767e-49,True
had,realized,340,58,29,18,1.2481385580442666e-49,True
then,frowned,407,89,26,15,1.329161697768622e-49,True
jumped,shouted,245,21,35,6,1.3420044132057312e-49,True
expect,address,209,10,31,7,1.414681996469738e-49,True
ran,accidentally,209,10,29,6,1.414681996469738e-49,True
went,wrapped,265,28,26,11,1.434762091556894e-49,True
took,frowned,265,28,19,14,1.434762091556894e-49,True
pulled,approached,216,12,27,7,1.5057882671906277e-49,True
gave,offered,437,104,27,25,1.575028466015685e-49,True
held,leaned,564,172,29,21,1.700083351565896e-49,True
lay,began,377,75,36,20,1.760638346475463e-49,True
to,then,468,120,37,23,1.781708624071123e-49,True
smashed,yelled,286,36,32,13,1.8063581786778827e-49,True
ask,respond,259,26,29,9,1.8308204171154063e-49,True
also,file,400,86,31,25,1.9711097072626997e-49,True
cried,began,406,89,36,15,2.1828068364797507e-49,True
saw,sighed,509,142,30,25,2.2207793329481955e-49,True
point,talk,283,35,34,14,2.2770297960614858e-49,True
brought,noticed,250,23,33,13,2.325977831044743e-49,True
make,respond,238,19,27,14,2.3965644143757e-49,True
waited,examined,241,20,32,11,2.465055878041491e-49,True
add,try,426,99,37,25,2.568605038159689e-49,True
smashed,began,432,102,36,21,2.5720686049760058e-49,True
went,didn,303,43,16,10,2.6716678486747692e-49,True
told,pretended,280,34,28,15,2.842555650708403e-49,True
turned,realized,315,48,32,18,2.933484126829445e-49,True
also,now,639,216,36,31,2.9458630245555492e-49,True
see,seek,225,15,26,8,2.993796925524244e-49,True
it,peered,285,36,27,14,3.2104032149386307e-49,True
kill,see,285,36,31,17,3.2104032149386307e-49,True
know,remind,285,36,33,16,3.2104032149386307e-49,True
went,waved,310,46,29,15,3.2324487039307367e-49,True
asked,examined,269,30,27,15,3.44143573604716e-49,True
know,send,557,169,38,26,3.462439971145557e-49,True
stood,scanned,218,13,23,5,3.739820466799913e-49,True
stabbed,threatened,200,8,27,7,3.838328256567196e-49,True
asked,tucked,324,52,26,17,3.850497292411569e-49,True
prayed,began,415,94,35,18,3.991869764318927e-49,True
returned,stared,417,95,28,17,4.046952610867705e-49,True
drove,stared,266,29,30,11,4.047903770448667e-49,True
called,frowned,234,18,26,12,4.214717885399134e-49,True
let,respond,249,23,27,12,4.261733883444211e-49,True
will,feel,349,63,32,27,4.288261982369396e-49,True
complain,take,237,19,33,8,4.4403669053956036e-49,True
put,forgot,214,12,32,6,5.407410800455463e-49,True
placed,noticed,321,51,34,15,5.477873552054254e-49,True
took,declared,309,46,28,20,5.632666389647594e-49,True
stuck,placed,289,38,31,12,6.132922518404958e-49,True
said,studied,337,58,27,20,6.228189819115568e-49,True
do,understand,316,49,27,19,6.312470987804235e-49,True
into,grinned,203,9,23,6,6.377738161018622e-49,True
had,gazed,227,16,25,4,6.4875465337692845e-49,True
he,kept,667,234,34,30,7.237680581970206e-49,True
put,waved,348,63,26,18,7.26958988153385e-49,True
ask,review,265,29,31,9,7.303258234830789e-49,True
turned,stared,718,265,30,26,7.369111966387196e-49,True
told,raised,391,83,34,24,7.811749864415144e-49,True
expect,discuss,195,7,33,7,7.907986174526034e-49,True
she,prepared,245,22,34,12,8.179661455368448e-49,True
write,consult,245,22,27,8,8.179661455368448e-49,True
thought,whispered,245,22,34,9,8.179661455368448e-49,True
set,discovered,301,43,31,17,8.20098355521175e-49,True
shot,shouted,350,64,32,14,8.206460427926532e-49,True
in,carefully,236,19,26,5,8.224594955174643e-49,True
with,stepped,291,39,24,11,8.318873502162842e-49,True
sat,scanned,242,21,28,8,8.390155366298977e-49,True
told,was,1446,761,38,36,8.66100381379125e-49,True
write,discuss,270,31,27,15,9.316193657908625e-49,True
they,nodded,270,31,33,19,9.316193657908625e-49,True
picked,grinned,206,10,22,4,9.837387468908465e-49,True
her,let,513,146,35,28,9.986245858494013e-49,True
looked,began,1132,538,37,34,1.0024273578292751e-48,True
her,muttered,213,12,24,12,1.0243381564737055e-48,True
went,hurried,354,66,24,17,1.0296872299326601e-48,True
still,need,223,15,29,8,1.0528741352558658e-48,True
when,pulled,485,131,30,25,1.0733289093283339e-48,True
