cluster,n_fields,n_resources,tightness,n_words,members,n_comp_tested,n_comp_sig,comp_sig_pos,comp_sig_neg,delta,edges_pos,n_edges,p,bonferroni,verdict
208,1,1,1.0,6,framenet:Emotions_of_mental_activity,1,0,0,0,8.77112054996469e-05,29,43,0.039177701518562445,False,QUIET
209,2,2,0.2708333333333333,48,framenet:Excreting|verbnet:breathe,2,0,0,0,-0.0007733752141177997,18,43,0.10843662805030863,False,QUIET
210,2,2,0.19047619047619047,21,framenet:Breathing|verbnet:exhale,2,1,1,0,0.002971471522588009,35,43,3.8807956767303286e-05,True,COHERENT
211,2,2,0.11764705882352941,34,usas:E1|verbnet:hiccup,2,0,0,0,-0.00016234167465066656,22,43,0.246926956007703,False,QUIET
212,1,1,1.0,617,rid:regressive_cognition,1,1,0,1,-0.006479890292305979,16,43,0.0021071402369783154,False,DILUTED
213,1,1,1.0,204,usas:B1,1,0,0,0,-0.00038947300094428316,19,43,0.6734386528497798,False,QUIET
214,1,1,1.0,100,usas:M6,1,0,0,0,-0.002838804825401564,26,43,0.3272875303752788,False,QUIET
215,1,1,1.0,70,usas:H2,1,0,0,0,-0.0009146855663377353,20,43,0.12454590223684477,False,QUIET
216,1,1,1.0,7,framenet:Cause_to_wake,1,0,0,0,-5.0862504679444e-05,14,39,0.19581187978570855,False,QUIET
217,2,2,0.22580645161290322,31,framenet:Impact|verbnet:bump,2,0,0,0,-0.0016383161004935995,11,43,0.03009542988681901,False,QUIET
218,2,2,0.125,16,framenet:Render_nonfunctional|verbnet:wipe_instr,2,0,0,0,2.920796323808509e-05,21,35,0.25054815509683115,False,QUIET
219,2,2,0.6923076923076923,13,framenet:Chatting|verbnet:chit_chat,2,0,0,0,7.162182289953233e-05,26,34,0.002728148693959336,False,QUIET
220,2,2,0.23076923076923078,13,framenet:Compatibility|verbnet:settle,2,0,0,0,2.664973285154311e-05,27,42,0.8279080123994524,False,QUIET
221,2,2,0.13513513513513514,37,framenet:Discussion|verbnet:correspond,2,1,1,0,0.001586572535240604,39,43,5.3058086822853074e-08,True,COHERENT
222,2,2,0.5714285714285714,14,framenet:Needing|verbnet:order,2,2,2,0,0.0022108277848117614,38,43,2.2379816346496554e-11,True,COHERENT
223,1,1,1.0,37,usas:S6,1,0,0,0,0.0019307563688010134,39,43,3.703904841918857e-05,True,COHERENT
224,2,2,0.15384615384615385,26,framenet:Offering|verbnet:future_having,2,1,1,0,0.0009527606569407315,21,43,0.2440211399612352,False,DILUTED
225,1,1,1.0,25,framenet:Commitment,1,0,0,0,0.0013260685464888742,32,43,0.0002603396127242176,False,QUIET
226,1,1,1.0,5,framenet:Affirm_or_deny,1,0,0,0,-1.396567928175772e-05,17,33,0.5418915592951574,False,QUIET
227,2,2,0.2222222222222222,45,framenet:Hostile_encounter|verbnet:battle,2,2,2,0,0.002911810130895398,41,43,3.5161092503712284e-13,True,COHERENT
228,1,1,1.0,5,framenet:Reasoning,1,1,1,0,0.000236201321629225,37,43,2.5235950324729615e-07,True,COHERENT
229,1,1,1.0,8,usas:S7.3,1,1,1,0,0.0002344350360232895,36,41,1.0750139417698381e-06,True,COHERENT
230,2,2,0.2564102564102564,39,framenet:Telling|verbnet:advise,2,2,2,0,0.0028647688527034115,39,43,1.7326362855189914e-06,True,COHERENT
231,1,1,1.0,6,framenet:Reporting,1,1,1,0,0.0012984373380600424,36,39,3.883442158934851e-08,True,COHERENT
232,1,1,1.0,14,framenet:Attempt_suasion,1,0,0,0,0.0005110382950321928,33,42,0.0002600600338110097,False,QUIET
233,2,2,0.13636363636363635,22,framenet:Questioning|verbnet:inquire,2,1,1,0,0.0007949339309100997,21,43,0.5606912174029911,False,DILUTED
234,2,2,0.1,30,framenet:Communication_response|usas:S1.1.2,2,2,2,0,0.0030379491466534583,43,43,1.713575376081499e-13,True,COHERENT
235,2,2,0.4430379746835443,79,induced:speech_act|wordnet:communication,2,1,1,0,0.009881658360143236,26,43,0.05818251658360922,False,DILUTED
236,1,1,1.0,40,framenet:Request,1,0,0,0,-0.005631512752628151,11,43,0.03487836565435978,False,QUIET
237,2,2,0.11918604651162791,688,rid:social_behavior|usas:Q2.2,2,1,1,0,0.027962556772287112,35,43,6.034147755959925e-07,True,COHERENT
238,3,3,0.15394148861890797,214,framenet:Statement|usas:Q2.1|verbnet:say,3,1,1,0,0.015879938087905502,30,43,0.0003570695904108512,False,DILUTED
239,1,1,1.0,24,verbnet:lecture,1,0,0,0,0.0021306051694629704,29,43,0.0009867260852642373,False,QUIET
240,1,1,1.0,9,framenet:Expressing_publicly,1,1,1,0,0.00010961500433595881,33,38,4.428679282055713e-07,True,COHERENT
241,1,1,1.0,24,usas:G1.1,1,0,0,0,6.250678208886925e-05,31,38,0.00026280925031227386,False,QUIET
242,2,2,0.26666666666666666,15,framenet:Being_employed|verbnet:cooperate,2,1,0,1,-0.00026765816264142864,22,43,0.4310268203053508,False,DILUTED
243,1,1,1.0,36,usas:I3.1,1,0,0,0,-0.0009077104548829484,13,43,0.0614216197969582,False,QUIET
244,2,2,0.17647058823529413,17,framenet:Collaboration|verbnet:conspire,2,1,1,0,0.00023486431552265593,36,43,2.369537040586427e-07,True,COHERENT
245,1,1,1.0,20,usas:S1.1.3,1,0,0,0,-9.383976524343396e-05,18,43,0.6669929835981567,False,QUIET
246,2,2,0.2727272727272727,22,framenet:Make_cognitive_connection|verbnet:mix,2,0,0,0,-0.00037782442554331025,23,43,0.5662110500430858,False,QUIET
247,1,1,1.0,64,usas:A2.2,1,0,0,0,0.0008091422304107881,32,43,0.0015412569242166192,False,QUIET
248,1,1,1.0,21,framenet:Cause_to_amalgamate,1,1,1,0,0.000726683933145247,40,43,1.2983742522038177e-10,True,COHERENT
249,2,2,0.2857142857142857,14,framenet:Causation|verbnet:engender,2,1,1,0,0.004894284309146447,28,43,0.003837596001234252,False,DILUTED
250,1,1,1.0,11,framenet:Cause_to_start,1,0,0,0,0.00011584972519283773,27,37,0.012849979228265968,False,QUIET
251,1,1,1.0,22,usas:O3,1,0,0,0,5.957602347142069e-06,20,40,0.8210542158466424,False,QUIET
252,1,1,1.0,7,usas:A6.3,1,1,1,0,0.0002031107775828894,31,39,2.1730963327630997e-05,True,COHERENT
253,2,2,0.3333333333333333,9,usas:I4|verbnet:hunt,2,0,0,0,1.5462665061359678e-05,25,37,0.38643306538714756,False,QUIET
254,2,2,0.3333333333333333,15,framenet:Seeking|verbnet:ferret,2,2,2,0,0.0010028537137805554,32,42,1.4379929691916104e-05,True,COHERENT
255,1,1,1.0,17,usas:Q4.3,1,0,0,0,1.3155869418893082e-05,20,33,0.3762659936440374,False,QUIET
256,2,2,0.23529411764705882,17,framenet:Gathering_up|verbnet:herd,2,1,1,0,0.00036820332400176763,31,41,4.8755634509268305e-05,True,COHERENT
257,1,1,1.0,46,usas:S5,1,1,1,0,0.0003790448100153408,33,43,8.242937146094811e-06,True,COHERENT
258,1,1,1.0,46,usas:L2,1,0,0,0,1.7443447886771995e-06,23,42,0.9573642722294349,False,QUIET
259,1,1,1.0,6,verbnet:bulge,1,0,0,0,2.7924441718020602e-05,10,16,0.11255731327503035,False,QUIET
260,2,2,0.10526315789473684,57,framenet:Coming_up_with|verbnet:create,2,0,0,0,0.00012656935707393722,23,43,0.7842358834814378,False,QUIET
261,1,1,1.0,51,usas:C1,1,0,0,0,-0.0003925793381739059,19,43,0.05147978962037825,False,QUIET
262,1,1,1.0,9,usas:Q4,1,0,0,0,-5.639138957133536e-05,17,39,0.2142212412813252,False,QUIET
263,2,2,0.11764705882352941,85,framenet:Building|verbnet:build,2,0,0,0,0.0039529537643606845,28,43,0.008862854671417775,False,QUIET
264,1,1,1.0,40,usas:H1,1,0,0,0,-9.083938121882281e-05,19,43,0.2237828422267896,False,QUIET
265,2,2,0.2,15,framenet:Intentionally_act|verbnet:performance,2,2,2,0,0.0015893034133360826,37,43,1.94272755361662e-08,True,COHERENT
266,2,2,0.1076923076923077,65,induced:procedural_operation|wordnet:creation,2,2,2,0,0.010461101256408761,39,43,1.0915260583545445e-10,True,COHERENT
267,1,1,1.0,5,framenet:Activity_resume,1,0,0,0,4.532743584008346e-05,23,34,0.018920036767731255,False,QUIET
268,2,2,0.13793103448275862,29,framenet:Feigning|usas:A5.4,2,1,1,0,0.0009782862676903654,39,43,3.321798004313271e-05,True,COHERENT
269,1,1,1.0,12,usas:K4,1,0,0,0,0.0002090424851369558,30,39,0.0002809437071764275,False,QUIET
270,2,2,0.21052631578947367,19,framenet:Recording|verbnet:transcribe,2,1,1,0,0.0007458367573619076,39,43,8.055454297720847e-08,True,COHERENT
271,1,1,1.0,8,framenet:Create_representation,1,0,0,0,0.00028708148055644415,34,43,0.0002111523206617366,False,QUIET
272,3,3,0.11953668664522021,158,framenet:Text_creation|usas:Q1.2|verbnet:scribble,3,0,0,0,0.0009195997269757436,28,43,0.37840951116138993,False,QUIET
273,1,1,1.0,6,framenet:Duplication,1,0,0,0,-0.00011756236522269235,18,41,0.033604285560337926,False,QUIET
274,2,2,0.14285714285714285,28,framenet:Personal_relationship|verbnet:illustrate,2,1,1,0,0.0016151482917744142,41,43,5.191378843801895e-11,True,COHERENT
275,1,1,1.0,37,usas:T3,1,1,1,0,0.00030635068399194955,36,43,2.8047343872584566e-05,True,COHERENT
276,1,1,1.0,9,framenet:Taking_sides,1,0,0,0,0.00012430524023442993,26,43,0.03236961398714463,False,QUIET
277,2,2,0.6666666666666666,9,framenet:Adopt_selection|verbnet:adopt,2,0,0,0,0.000284244273952633,25,39,0.0016525261310821283,False,QUIET
278,2,2,0.22916666666666666,48,usas:S3.2|verbnet:marry,2,0,0,0,-0.001945566063445483,14,43,0.014074733836632164,False,QUIET
279,1,1,1.0,10,framenet:Sex,1,0,0,0,-0.0006898959547691771,6,43,0.009582428683821071,False,QUIET
280,1,1,1.0,5,framenet:Evaluative_comparison,1,0,0,0,0.00010031717428737694,26,36,0.024602732282298024,False,QUIET
281,1,1,1.0,56,verbnet:amalgamate,1,0,0,0,0.0001811999823335114,27,43,0.24284525976435278,False,QUIET
282,1,1,1.0,72,usas:A6.1,1,0,0,0,0.00028914610481823536,22,43,0.46893512212812144,False,QUIET
283,2,2,0.2692307692307692,26,framenet:Forming_relationships|usas:S4,2,0,0,0,-0.00043364421857815147,10,43,0.005528819164037879,False,QUIET
284,1,1,1.0,11,induced:ritual_observance,1,0,0,0,0.00014770748702288064,24,43,0.7496592227262119,False,QUIET
285,1,1,1.0,9,verbnet:bring,1,0,0,0,0.0015314004618558453,21,43,0.3443836932079589,False,QUIET
286,1,1,1.0,31,wordnet:social,1,0,0,0,0.0064709700053139415,28,43,0.04785532751801639,False,QUIET
287,1,1,1.0,11,usas:S1.2.1,1,0,0,0,0.00023643108688983251,26,35,0.004235290360226935,False,QUIET
288,1,1,1.0,5,framenet:Intentionally_affect,1,0,0,0,0.0003257467595974209,23,43,0.6738553208312117,False,QUIET
289,2,2,0.19047619047619047,21,framenet:Hiring|verbnet:image_impression,2,0,0,0,0.0005592985577491306,27,43,0.07741486781665137,False,QUIET
290,1,1,1.0,12,framenet:Processing_materials,1,1,1,0,0.0001862868938356729,33,36,6.571197876896447e-08,True,COHERENT
291,1,1,1.0,12,framenet:Arrest,1,0,0,0,-1.5197385465541024e-05,22,43,0.703407990017418,False,QUIET
292,1,1,1.0,18,usas:Q4.1,1,0,0,0,9.661234568602445e-06,17,36,0.5363128411033519,False,QUIET
293,3,3,0.39316239316239326,26,framenet:Commerce_pay|usas:I1.2|verbnet:pay,3,0,0,0,-0.0013220964630924258,12,43,0.003738416769379118,False,QUIET
294,2,2,0.2631578947368421,19,framenet:Lending|verbnet:give,2,0,0,0,-0.00033075623967167864,20,43,0.7752077335084808,False,QUIET
295,1,1,1.0,6,framenet:Commerce_sell,1,0,0,0,-0.00038377427539445434,15,43,0.022425598866199752,False,QUIET
296,2,2,0.3695652173913043,46,induced:transfer_possession|wordnet:possession,2,0,0,0,0.002455323438244465,20,43,0.5854835968364022,False,QUIET
297,1,1,1.0,19,framenet:Giving,1,0,0,0,0.0018888326153571311,19,43,0.2383559684681621,False,QUIET
298,2,2,0.125,56,framenet:Commerce_buy|usas:I2.2,2,0,0,0,-0.0010384099005082204,13,43,0.012394228238240957,False,QUIET
299,1,1,1.0,59,verbnet:get,1,0,0,0,-0.0014319589538362622,12,43,0.023304687219162932,False,QUIET
300,1,1,1.0,358,rid:instrumental_behavior,1,0,0,0,0.006312411793968573,26,43,0.007063020064958387,False,QUIET
301,2,2,0.36363636363636365,11,framenet:Receiving|verbnet:approve,2,0,0,0,-0.0006240128663481504,30,43,0.6248630123168969,False,QUIET
302,1,1,1.0,223,usas:A9,1,0,0,0,-0.0002026046411071097,20,43,0.9539171142504943,False,QUIET
303,1,1,1.0,35,verbnet:obtain,1,0,0,0,-0.0011163969059085372,23,43,0.2247289193598974,False,QUIET
304,1,1,1.0,5,framenet:Earnings_and_losses,1,0,0,0,3.0281202039378666e-05,21,36,0.13604266805108126,False,QUIET
305,2,2,0.3157894736842105,38,framenet:Sending|verbnet:send,2,0,0,0,-0.001373469488987651,21,43,0.3851887668927891,False,QUIET
306,1,1,1.0,8,verbnet:confine,1,0,0,0,-0.0025674221899898435,15,43,0.016593734630350233,False,QUIET
307,2,2,0.16666666666666666,24,framenet:Fluidic_motion|verbnet:substance_emission,2,0,0,0,0.0002887523147582505,31,43,0.00047166044577830174,False,QUIET
308,1,1,1.0,6,framenet:Undressing,1,0,0,0,0.00014140758688079347,24,43,0.765426844939387,False,QUIET
309,1,1,1.0,5,framenet:Emitting,1,0,0,0,4.822554264827554e-05,10,11,0.0055295093270295945,False,QUIET
310,1,1,1.0,5,framenet:Likelihood,1,0,0,0,-0.000708822185206624,13,43,0.29067648711113736,False,QUIET
311,1,1,1.0,37,usas:A6.2,1,1,1,0,0.0003557885788282604,36,43,4.570889074026763e-08,True,COHERENT
312,1,1,1.0,6,framenet:Coming_to_be,1,0,0,0,9.108001440807269e-05,25,38,0.004056347385450268,False,QUIET
313,1,1,1.0,83,verbnet:appear,1,0,0,0,-0.0031149165313560405,10,43,0.0014463337724586324,False,QUIET
314,1,1,1.0,75,rid:order,1,0,0,0,0.0003778539187852046,24,43,0.16773068293023446,False,QUIET
315,1,1,1.0,11,usas:X4.2,1,0,0,0,-5.178936823759747e-06,20,42,0.9318866210081916,False,QUIET
316,1,1,1.0,6,usas:A13.6,1,0,0,0,8.346505048709186e-05,30,43,0.07331427738330128,False,QUIET
317,2,2,0.10344827586206896,29,framenet:Cause_to_be_wet|usas:O1.2,2,0,0,0,-0.00010095838514569807,17,42,0.06479248410632252,False,QUIET
318,2,2,0.15625,32,usas:W4|verbnet:weather,2,1,1,0,0.0005459813069374744,33,43,0.00014025960828782037,False,DILUTED
319,2,2,0.125,24,framenet:Mass_motion|verbnet:pour,2,0,0,0,-7.969197076865876e-05,24,43,0.7848247705199038,False,QUIET
320,1,1,1.0,6,framenet:Surrounding,1,0,0,0,9.103379574406498e-05,30,39,0.000197123994876575,False,QUIET
321,1,1,1.0,63,verbnet:contiguous_location,1,0,0,0,5.448838201695943e-05,22,43,0.928936521543203,False,QUIET
322,2,2,0.13,100,framenet:Distributed_position|verbnet:fill,2,1,1,0,0.001957337493546071,39,43,6.020432557725821e-08,True,COHERENT
323,1,1,1.0,27,usas:N5.1,1,0,0,0,-0.0008733752392452367,14,43,0.007483582182552409,False,QUIET
324,1,1,1.0,90,usas:O4.2,1,0,0,0,-0.001295760893646655,27,43,0.14072145957345242,False,QUIET
325,1,1,1.0,6,verbnet:appeal,1,0,0,0,-7.328027470786452e-05,29,43,0.7838629422750755,False,QUIET
326,2,2,0.10714285714285714,28,framenet:Setting_fire|usas:W2,2,1,1,0,0.0009311513812138754,32,43,9.76324944293543e-05,True,COHERENT
327,2,2,0.6341463414634146,41,framenet:Location_of_light|verbnet:light_emission,2,2,2,0,0.000929696655560308,36,43,7.844988207489495e-07,True,COHERENT
328,1,1,1.0,73,usas:O4.3,1,1,1,0,0.0010784039369993528,33,43,1.5114448317763538e-05,True,COHERENT
329,1,1,1.0,657,rid:sensation,1,1,1,0,0.022164226210698083,37,43,1.102647442229357e-09,True,COHERENT
330,2,2,0.2,30,framenet:Change_of_consistency|usas:O4.5,2,0,0,0,-1.49204805186108e-05,23,43,0.8616915027936661,False,QUIET
331,1,1,1.0,367,rid:defensive_symbolization,1,0,0,0,0.0016734900247207848,26,43,0.20996879211473043,False,QUIET
332,1,1,1.0,278,verbnet:other_cos,1,0,0,0,0.002393611488514816,30,43,0.0001675367941968332,False,QUIET
333,2,2,0.1724137931034483,29,framenet:Rotting|verbnet:entity_specific_cos,2,0,0,0,-0.00030481314785467184,17,43,0.062297008860077024,False,QUIET
334,1,1,1.0,56,usas:L3,1,0,0,0,-5.489963877131284e-06,20,43,0.8923376793172979,False,QUIET
335,2,2,0.3181818181818182,22,framenet:Cause_change_of_phase|verbnet:knead,2,0,0,0,0.00013652939544631988,30,43,0.0744137434215675,False,QUIET
336,2,2,0.14705882352941177,68,framenet:Cause_temperature_change|usas:O4.6,2,0,0,0,0.0008560709182786212,28,43,0.004014200645839222,False,QUIET
337,2,2,0.48717948717948717,39,framenet:Apply_heat|verbnet:cooking,2,0,0,0,0.00015256939702565868,30,43,0.004928689262939707,False,QUIET
338,1,1,1.0,15,framenet:Emotion_heat,1,0,0,0,-0.00041278959134510195,14,43,0.011290921417629154,False,QUIET
339,1,1,1.0,5,framenet:Absorb_heat,1,0,0,0,1.7758896356890782e-05,12,22,0.2933046878216457,False,QUIET
340,2,2,0.17647058823529413,17,framenet:Cause_expansion|usas:N3.4,2,1,1,0,9.877795059157977e-05,26,38,0.0022593006595282524,False,DILUTED
341,1,1,1.0,47,usas:N3.2,1,1,1,0,0.0006691018453967296,39,43,1.8509782058992874e-06,True,COHERENT
342,1,1,1.0,11,verbnet:flinch,1,1,1,0,0.0003611380083975168,30,38,6.833374536518317e-05,True,COHERENT
343,1,1,1.0,9,framenet:Change_event_duration,1,0,0,0,0.00012915727035834706,27,38,0.002217371383297813,False,QUIET
344,1,1,1.0,16,usas:N3.3,1,0,0,0,5.3804539500347854e-05,26,39,0.042206327822789054,False,QUIET
345,1,1,1.0,20,usas:N3.7,1,0,0,0,7.472688712027416e-05,28,41,0.023828498266647423,False,QUIET
346,1,1,1.0,7,framenet:Dispersal,1,1,1,0,0.00021726554330685162,33,39,2.447933403048385e-07,True,COHERENT
347,1,1,1.0,49,verbnet:contribute,1,0,0,0,0.0004252337661900501,26,43,0.47390006289599446,False,QUIET
348,1,1,1.0,6,framenet:Rejuvenation,1,1,1,0,0.00010157877175026564,30,39,2.667749355637991e-06,True,COHERENT
349,1,1,1.0,8,framenet:Giving_in,1,0,0,0,4.157797989918942e-05,20,33,0.03022752084305104,False,QUIET
350,1,1,1.0,51,usas:K5.1,1,0,0,0,5.210133228198624e-05,24,42,0.34557672807446965,False,QUIET
351,2,2,0.30434782608695654,46,framenet:Bringing|verbnet:drive,2,1,0,1,-0.0029593707456792755,9,43,0.0001439950744667329,False,DILUTED
352,1,1,1.0,12,usas:M5,1,0,0,0,-0.00016806403766264535,14,42,0.012702689543274819,False,QUIET
353,2,2,0.42857142857142855,35,framenet:Operate_vehicle|verbnet:vehicle,2,0,0,0,-0.00031846079220132256,25,43,0.3341677557824267,False,QUIET
354,1,1,1.0,54,usas:M3,1,0,0,0,-0.001253257689160089,9,43,0.0024293182116574483,False,QUIET
355,2,2,0.4090909090909091,22,framenet:Ride_vehicle|verbnet:nonvehicle,2,0,0,0,-0.00029774474553578373,21,42,0.3820590663384693,False,QUIET
356,1,1,1.0,35,usas:M4,1,0,0,0,0.00019606192741059838,29,43,0.0016082945023754996,False,QUIET
357,2,2,0.3684210526315789,19,framenet:Reshaping|verbnet:bend,2,2,2,0,0.0005405672251071791,37,43,7.84151266287842e-06,True,COHERENT
358,2,2,0.5344827586206896,58,framenet:Posture|verbnet:assuming_position,2,0,0,0,0.0016910735816284353,26,43,0.42375528490883824,False,QUIET
359,1,1,1.0,74,usas:O4.4,1,0,0,0,0.0016400218392564343,30,43,0.0011780205503640127,False,QUIET
360,1,1,1.0,94,usas:O4.1,1,0,0,0,0.0005096218744986606,27,43,0.14562885657292254,False,QUIET
361,2,2,0.21142857142857144,175,framenet:Body_movement|verbnet:crane,2,0,0,0,-0.010839950901725494,12,43,0.000496410977295957,False,QUIET
362,1,1,1.0,7,usas:N3.6,1,0,0,0,7.051982166595993e-05,26,38,0.1646285625982008,False,QUIET
363,1,1,1.0,5,verbnet:put_direction,1,0,0,0,-0.001769729931309243,12,43,0.00023557838853313724,False,QUIET
364,2,2,0.14285714285714285,42,framenet:Cause_to_move_in_place|verbnet:modes_of_being_with_motion,2,1,1,0,-0.0002663386275014246,27,43,0.7778673554332318,False,DILUTED
365,1,1,1.0,25,framenet:Motion,1,1,0,1,-0.007973176352190423,11,43,2.552642075054459e-06,True,COHERENT
366,1,1,1.0,9,verbnet:roll,1,0,0,0,-0.0006834451967946543,21,43,0.27290390621852284,False,QUIET
367,1,1,1.0,6,usas:K5.2,1,0,0,0,4.362300594731227e-05,22,30,0.00018251318987805667,False,QUIET
368,1,1,1.0,65,framenet:Path_shape,1,0,0,0,0.0019473510425744062,23,43,0.06804284218057158,False,QUIET
369,1,1,1.0,19,verbnet:meander,1,1,0,1,-0.004439934581150892,12,43,0.0005205223748027158,False,DILUTED
370,3,3,0.26402772190981255,475,framenet:Self_motion|usas:M1|verbnet:run,3,1,1,0,-0.004818602999937179,15,43,0.13563337085550792,False,DILUTED
371,2,2,0.5327102803738317,107,induced:locomotion_posture|wordnet:motion,2,1,0,1,-0.023064561457812077,13,43,0.0005596866086792386,False,DILUTED
372,2,2,0.18333333333333332,60,framenet:Arriving|verbnet:escape,2,0,0,0,-0.006583468021936541,15,43,0.002184151136906252,False,QUIET
373,2,2,0.28,75,framenet:Change_position_on_a_scale|verbnet:calibratable_cos,2,1,0,1,-0.004724453825405734,6,43,1.9891185703555073e-06,True,COHERENT
374,1,1,1.0,111,usas:N5,1,0,0,0,-0.0010516022575485131,15,43,0.2953661438903819,False,QUIET
375,1,1,1.0,514,rid:icarian_imagery,1,1,0,1,-0.008134512054629178,15,43,0.007128635108588496,False,DILUTED
376,1,1,1.0,54,usas:W3,1,0,0,0,0.0001234658252235416,26,43,0.006883235948629207,False,QUIET
377,1,1,1.0,6,framenet:Disembarking,1,0,0,0,4.521124171362703e-05,16,24,0.08641334441612501,False,QUIET
378,1,1,1.0,8,framenet:Travel,1,0,0,0,9.989033259949491e-05,27,38,0.007175689111783908,False,QUIET
379,1,1,1.0,6,framenet:Board_vehicle,1,0,0,0,-2.31737558936793e-06,15,36,0.9208482638400403,False,QUIET
380,2,2,0.15384615384615385,13,framenet:Inhibit_movement|verbnet:limit,2,1,1,0,0.0014611788365525126,40,43,7.358063639630576e-09,True,COHERENT
381,1,1,1.0,19,framenet:Cause_change_of_position_on_a_scale,1,0,0,0,-0.00019236776954198348,22,43,0.4340759022220587,False,QUIET
382,3,3,0.17812177502579982,24,framenet:Hindering|usas:T4|verbnet:linger,3,2,2,0,0.001711235678382256,32,41,0.0001089355999759271,False,DILUTED
383,1,1,1.0,7,verbnet:put_spatial,1,0,0,0,-7.366554674920757e-05,20,43,0.5300855721066717,False,QUIET
384,1,1,1.0,6,usas:L2mfnc,1,0,0,0,-1.0895278850323523e-05,14,34,0.31911840152848153,False,QUIET
385,1,1,1.0,20,verbnet:berry,1,0,0,0,-2.67954997747715e-05,22,43,0.7470548095110725,False,QUIET
386,3,3,0.16757824950596034,192,framenet:Attaching|usas:A1.7|verbnet:tape,3,2,2,0,0.0031712943226777472,34,43,8.382768701029027e-06,True,COHERENT
387,1,1,1.0,21,verbnet:shake,1,0,0,0,0.00025968057955145016,27,38,0.00306575499382548,False,QUIET
388,1,1,1.0,12,framenet:Rope_manipulation,1,0,0,0,0.0001401789559850938,24,39,0.26173508752767394,False,QUIET
389,2,2,0.14285714285714285,56,framenet:Closure|verbnet:disassemble,2,0,0,0,-0.001343264216981377,14,43,0.03084690572166352,False,QUIET
390,1,1,1.0,147,usas:B5,1,0,0,0,0.0006195641472241098,30,43,0.002722338497421631,False,QUIET
391,1,1,1.0,5,framenet:Detaching,1,0,0,0,-0.00012195054934565527,12,37,0.005402356528948492,False,QUIET
392,1,1,1.0,8,usas:K3,1,0,0,0,4.9805840487566814e-05,25,35,0.02831757172875789,False,QUIET
393,2,2,0.1724137931034483,29,framenet:Experience_bodily_harm|verbnet:hurt,2,0,0,0,6.500183580337403e-05,26,43,0.8420921418414181,False,QUIET
394,1,1,1.0,16,verbnet:coil,1,1,1,0,0.0006199307866931043,30,39,1.835485973886229e-05,True,COHERENT
395,1,1,1.0,7,framenet:Bungling,1,1,1,0,0.00033382942480205937,33,40,7.324635978945303e-06,True,COHERENT
396,1,1,1.0,26,verbnet:rummage,1,1,1,0,0.00045781333799686563,35,43,1.2602642851247245e-05,True,COHERENT
397,2,2,0.13333333333333333,30,framenet:Damaging|verbnet:cut,2,0,0,0,0.0014124046462913884,24,43,0.03355017640791024,False,QUIET
398,3,3,0.1811878723346569,110,framenet:Destroying|usas:A1.1.2|verbnet:destroy,3,1,1,0,0.002458125790666886,32,43,0.0014119355304255865,False,DILUTED
399,2,2,0.325,40,framenet:Cause_to_fragment|verbnet:break,2,0,0,0,-0.0011610400854569483,19,43,0.13802922534368806,False,QUIET
400,1,1,1.0,17,induced:property_damage,1,0,0,0,-0.001639318759673222,18,43,0.20334241817258786,False,QUIET
401,2,2,0.16666666666666666,78,framenet:Manipulation|verbnet:hold,2,0,0,0,-0.002866425711567049,15,43,0.14620404813838844,False,QUIET
402,2,2,0.1,20,usas:X3.3|verbnet:touch,2,0,0,0,1.081917750730351e-05,21,43,0.9615263601762404,False,QUIET
403,1,1,1.0,8,verbnet:swat,1,0,0,0,3.5000733580036746e-05,20,30,0.07150433932371292,False,QUIET
404,1,1,1.0,6,framenet:Traversing,1,0,0,0,0.00011753952493944489,30,38,0.0018761615608124565,False,QUIET
405,1,1,1.0,29,verbnet:put,1,1,0,1,-0.007184122100187789,7,43,1.6102600182213105e-05,True,COHERENT
406,2,2,0.16993464052287582,153,framenet:Placing|verbnet:pocket,2,0,0,0,-8.805376981108543e-05,19,43,0.949430557087139,False,QUIET
407,1,1,1.0,43,usas:F4,1,0,0,0,0.00022178028666278897,29,43,0.006082144224520237,False,QUIET
408,2,2,0.35294117647058826,102,framenet:Filling|verbnet:spray,2,0,0,0,0.0013564286217324494,28,43,0.013747851594591003,False,QUIET
409,1,1,1.0,370,usas:A1.1.1,1,1,1,0,0.010433840609335608,35,43,1.7201208034591086e-07,True,COHERENT
410,1,1,1.0,48,usas:H5,1,0,0,0,0.00013978407227036087,29,43,0.0007377276474908528,False,QUIET
411,1,1,1.0,146,verbnet:butter,1,0,0,0,0.0006175401605780895,34,43,9.318231058327542e-05,True,COHERENT
412,1,1,1.0,11,verbnet:coloring,1,0,0,0,2.6639334650247773e-05,20,35,0.3048185676294462,False,QUIET
413,1,1,1.0,126,usas:O2,1,0,0,0,0.00028270922816538634,34,43,0.00020123223324006683,False,QUIET
414,2,2,0.13636363636363635,22,framenet:Appointing|verbnet:hit,2,0,0,0,-0.0007956312676243843,13,43,0.0047763827217620165,False,QUIET
415,2,2,0.13636363636363635,154,framenet:Cause_harm|verbnet:carve,2,0,0,0,-0.008096724275674204,9,43,0.0031807034270266116,False,QUIET
416,1,1,1.0,359,rid:aggression,1,1,0,1,-0.010221274266230478,11,43,0.006296953926005635,False,DILUTED
417,1,1,1.0,157,usas:E3,1,0,0,0,-0.002563808019993404,16,43,0.09325303779125127,False,QUIET
