a,b,cos,jaccard,n_a,n_b,open_a,open_b
gi_primary:PLACE,usas:H2,0.04771733283996582,0.0,48,10,1.0,1.0
framenet:Self_motion,gi_primary:TrnLoss,0.04772061109542847,0.009615384615384616,68,37,1.0,1.0
usas:Q2.1,verbnet:exist,0.04772448539733887,0.0,33,11,1.0,1.0
framenet:Statement,gi_primary:ComnObj,0.04772466421127319,0.013157894736842105,54,23,1.0,0.9565217391304348
gi_primary:Vice,verbnet:butter,0.04772603511810303,0.0,36,20,0.9722222222222222,1.0
gi_primary:Role,rid:instrumental_behavior,0.04772627353668213,0.0,32,92,0.9375,0.9891304347826086
framenet:Awareness,gi_primary:Arousal,0.04772728681564331,0.027777777777777776,11,26,1.0,0.9230769230769231
framenet:Cause_motion,gi_primary:PowCon,0.047728002071380615,0.0425531914893617,14,35,1.0,1.0
usas:A10,verbnet:order,0.04772830009460449,0.0,39,8,1.0,1.0
gi_primary:EnlOth,verbnet:lecture,0.04772937297821045,0.052083333333333336,92,9,0.9891304347826086,1.0
gi_primary:EndsLw,verbnet:characterize,0.047731757164001465,0.0,44,22,0.9545454545454546,1.0
gi_primary:Finish,induced:procedural_operation,0.04773306846618652,0.0,29,52,0.9310344827586207,1.0
framenet:Commitment,verbnet:remove,0.0477331280708313,0.0,8,10,1.0,1.0
framenet:Arriving,usas:Q2.1,0.04773414134979248,0.0,15,33,1.0,1.0
rid:temporal_references,verbnet:conjecture,0.04773688316345215,0.0,35,23,0.7714285714285715,1.0
framenet:Cause_motion,usas:Q2.1,0.0477374792098999,0.0,14,33,1.0,1.0
gi_primary:Tool,rid:abstraction,0.04773777723312378,0.0,52,68,1.0,0.9558823529411765
gi_primary:Travel,usas:X2.1,0.047739624977111816,0.0,62,21,0.967741935483871,1.0
framenet:Giving,usas:M1,0.04773986339569092,0.0,10,113,1.0,0.9911504424778761
usas:A2.2,verbnet:investigate,0.04774212837219238,0.0,13,12,1.0,1.0
framenet:Experiencer_obj,gi_primary:Affil,0.04774284362792969,0.020618556701030927,14,85,0.9285714285714286,0.9529411764705882
gi_primary:AffTot,usas:I3.1,0.047744035720825195,0.025,31,10,0.967741935483871,1.0
gi_primary:Ovrst,usas:Z4,0.04774630069732666,0.024691358024691357,73,10,0.7534246575342466,0.5
gi_primary:Try,usas:Q2.2,0.047747135162353516,0.007692307692307693,28,103,0.9642857142857143,1.0
framenet:Ingestion,usas:L1,0.04774785041809082,0.0,12,13,1.0,1.0
gi_primary:Stay,verbnet:exist,0.04774796962738037,0.09090909090909091,25,11,1.0,1.0
gi_primary:EnlGain,wordnet:possession,0.04774892330169678,0.0,55,32,1.0,0.90625
induced:nonverbal_expression,verbnet:amuse,0.047749996185302734,0.014492753623188406,18,52,1.0,0.9807692307692307
framenet:Change_position_on_a_scale,induced:entity_noun,0.0477524995803833,0.0,17,39,1.0,1.0
gi_primary:PowTot,rid:positive_affect,0.047752976417541504,0.0,150,15,0.9666666666666667,1.0
framenet:Statement,gi_primary:WltOth,0.04775434732437134,0.0,54,32,1.0,0.96875
rid:temporal_references,verbnet:get,0.047756075859069824,0.0,35,30,0.7714285714285715,1.0
gi_primary:Try,rid:restraint,0.04775667190551758,0.0,28,37,0.9642857142857143,0.972972972972973
gi_primary:Positiv,verbnet:amalgamate,0.04775810241699219,0.014492753623188406,130,10,0.9846153846153847,1.0
rid:affection,wordnet:creation,0.04775881767272949,0.0,12,16,0.9166666666666666,1.0
gi_primary:WltTot,wordnet:consumption,0.0477595329284668,0.0,40,12,0.975,1.0
gi_primary:EnlTot,rid:icarian_imagery,0.04776120185852051,0.004366812227074236,129,101,0.9844961240310077,0.9900990099009901
gi_primary:PLACE,induced:grammatical_function,0.04776334762573242,0.0,48,100,1.0,0.42
gi_primary:Stay,verbnet:butter,0.04776495695114136,0.0,25,20,1.0,1.0
framenet:Desiring,usas:A1.1.1,0.04776501655578613,0.0,8,90,0.875,0.9444444444444444
gi_primary:WlbPhys,rid:sadness,0.047765254974365234,0.06896551724137931,47,15,1.0,1.0
framenet:Body_movement,gi_primary:BodyPt,0.0477677583694458,0.0,47,37,1.0,1.0
gi_primary:EnlOth,wordnet:social,0.0477679967880249,0.0,92,28,0.9891304347826086,0.9642857142857143
gi_primary:Submit,verbnet:amalgamate,0.04776871204376221,0.0,58,10,0.9827586206896551,1.0
gi_primary:Finish,verbnet:calibratable_cos,0.047770678997039795,0.020833333333333332,29,20,0.9310344827586207,1.0
framenet:Make_noise,usas:S7.1,0.047771334648132324,0.0,13,24,1.0,0.9583333333333334
framenet:Attaching,usas:A9,0.04777264595031738,0.012048192771084338,14,70,1.0,0.9285714285714286
verbnet:bill,wordnet:perception,0.047776758670806885,0.0,9,28,1.0,1.0
gi_primary:Exprsv,rid:restraint,0.047776758670806885,0.015384615384615385,29,37,1.0,0.972972972972973
usas:F1,wordnet:competition,0.047778189182281494,0.0,15,12,1.0,1.0
induced:object_handling,verbnet:order,0.04777902364730835,0.0,105,8,1.0,1.0
usas:N5,wordnet:consumption,0.04778015613555908,0.0,23,12,0.782608695652174,1.0
gi_primary:TrnGain,usas:M6,0.04778212308883667,0.0,38,26,1.0,0.6923076923076923
framenet:Experiencer_obj,gi_primary:TrnLoss,0.04778313636779785,0.0,14,37,0.9285714285714286,1.0
usas:X2.4,verbnet:appear,0.04778456687927246,0.0,23,27,1.0,1.0
gi_primary:RcTot,usas:X2.2,0.047785401344299316,0.0,38,14,0.9473684210526315,1.0
verbnet:assessment,wordnet:social,0.04778742790222168,0.0,8,28,1.0,0.9642857142857143
gi_primary:EnlTot,induced:procedural_operation,0.04778951406478882,0.03428571428571429,129,52,0.9844961240310077,1.0
gi_primary:Submit,wordnet:stative,0.04779207706451416,0.012048192771084338,58,26,0.9827586206896551,0.8076923076923077
gi_primary:NegAff,usas:T2,0.0477944016456604,0.0,21,30,0.9523809523809523,1.0
framenet:Ingestion,verbnet:dress,0.0477946400642395,0.0,12,11,1.0,1.0
gi_primary:Quality,wordnet:consumption,0.04779505729675293,0.0,46,12,1.0,1.0
gi_primary:POLIT,wordnet:social,0.04779863357543945,0.03278688524590164,35,28,0.9428571428571428,0.9642857142857143
induced:speech_act,usas:M8,0.047799527645111084,0.0,39,10,1.0,1.0
framenet:Attaching,verbnet:obtain,0.047799646854400635,0.0,14,11,1.0,1.0
induced:quality_manner,rid:abstraction,0.04780083894729614,0.011627906976744186,19,68,1.0,0.9558823529411765
gi_primary:Academ,verbnet:conjecture,0.04780137538909912,0.0,14,23,0.9285714285714286,1.0
gi_primary:RspGain,rid:abstraction,0.04780232906341553,0.0,11,68,1.0,0.9558823529411765
framenet:Cause_change_of_position_on_a_scale,verbnet:butter,0.047803282737731934,0.0,9,20,1.0,1.0
framenet:Body_movement,gi_primary:Tool,0.04780411720275879,0.01020408163265306,47,52,1.0,1.0
gi_primary:ComForm,verbnet:contribute,0.04780411720275879,0.005319148936170213,168,21,0.9880952380952381,1.0
rid:positive_affect,usas:O4.1,0.047805190086364746,0.0,15,15,1.0,1.0
framenet:Perception_active,gi_primary:Hostile,0.04780781269073486,0.0,24,136,1.0,0.9926470588235294
induced:transfer_possession,verbnet:chase,0.047807931900024414,0.0,29,8,1.0,1.0
induced:process_event,verbnet:assessment,0.047814249992370605,0.0,14,8,1.0,1.0
framenet:Ingestion,gi_primary:IAV,0.04781687259674072,0.0,12,462,1.0,0.9805194805194806
gi_primary:AffGain,verbnet:conjecture,0.04781699180603027,0.0,15,23,0.9333333333333333,1.0
verbnet:break,wordnet:possession,0.04781770706176758,0.0,16,32,1.0,0.90625
gi_primary:ECON,usas:G2.1,0.047818899154663086,0.05,47,16,0.9787234042553191,1.0
gi_primary:SV,wordnet:stative,0.04782003164291382,0.030303030303030304,42,26,0.5238095238095238,0.8076923076923077
framenet:Filling,verbnet:force,0.04782271385192871,0.0,19,14,1.0,1.0
gi_primary:Means,rid:icarian_imagery,0.047823309898376465,0.0,65,101,0.9538461538461539,0.9900990099009901
induced:grammatical_function,usas:T3,0.04782378673553467,0.0,100,9,0.42,1.0
induced:process_event,verbnet:long,0.047824323177337646,0.0,14,8,1.0,1.0
gi_primary:Social,usas:B1,0.04782545566558838,0.0,19,50,1.0,1.0
framenet:Posture,usas:E3,0.04782760143280029,0.0,14,35,1.0,1.0
framenet:Manipulation,verbnet:disassemble,0.047831058502197266,0.0,38,8,1.0,1.0
gi_primary:If,verbnet:get,0.04783594608306885,0.017543859649122806,28,30,0.7857142857142857,1.0
framenet:Attaching,wordnet:cognition,0.047837793827056885,0.0,14,17,1.0,1.0
framenet:Bringing,wordnet:possession,0.04783797264099121,0.0,9,32,1.0,0.90625
gi_primary:Object,verbnet:characterize,0.04783838987350464,0.015873015873015872,106,22,0.9905660377358491,1.0
gi_primary:TrnGain,verbnet:build,0.04784286022186279,0.0,38,26,1.0,1.0
gi_primary:TrnLoss,usas:S8,0.0478435754776001,0.0,37,22,1.0,1.0
rid:anxiety,verbnet:advise,0.04784458875656128,0.0,12,12,1.0,1.0
framenet:Arriving,rid:order,0.04784458875656128,0.0,15,10,1.0,1.0
gi_primary:Ngtv,usas:X2.2,0.04784935712814331,0.0,162,14,0.9876543209876543,1.0
induced:grammatical_function,usas:S6,0.04785609245300293,0.0,100,9,0.42,0.7777777777777778
induced:process_event,usas:M6,0.04785776138305664,0.0,14,26,1.0,0.6923076923076923
gi_primary:SocRel,verbnet:exist,0.047858238220214844,0.005780346820809248,163,11,0.9815950920245399,1.0
usas:L1,verbnet:calibratable_cos,0.04785948991775513,0.0,13,20,1.0,1.0
gi_primary:AffTot,rid:icarian_imagery,0.04785966873168945,0.023255813953488372,31,101,0.967741935483871,0.9900990099009901
gi_primary:WlbTot,wordnet:change,0.04786032438278198,0.017241379310344827,83,35,1.0,0.9714285714285714
gi_primary:RspOth,usas:Q2.2,0.047863006591796875,0.017094017094017096,16,103,0.9375,1.0
framenet:Departing,usas:G2.1,0.0478631854057312,0.0,8,16,1.0,1.0
gi_primary:Work,verbnet:say,0.04786568880081177,0.0,90,25,0.9888888888888889,1.0
gi_primary:Begin,induced:transfer_possession,0.047866225242614746,0.047619047619047616,15,29,0.9333333333333333,1.0
gi_primary:Vice,usas:A2.2,0.04786670207977295,0.0,36,13,0.9722222222222222,1.0
framenet:Cause_harm,verbnet:bill,0.04786837100982666,0.0,45,9,1.0,1.0
gi_primary:POS,usas:M6,0.04786849021911621,0.06060606060606061,9,26,0.5555555555555556,0.6923076923076923
gi_primary:COLL,usas:F1,0.047870516777038574,0.0,22,15,1.0,1.0
framenet:Ingestion,gi_primary:Power,0.04787337779998779,0.008928571428571428,12,101,1.0,0.9603960396039604
induced:property_damage,rid:instrumental_behavior,0.04787623882293701,0.0,16,92,1.0,0.9891304347826086
gi_primary:WlbPhys,wordnet:possession,0.04787635803222656,0.0,47,32,1.0,0.90625
usas:A6.1,wordnet:change,0.04787707328796387,0.0,17,35,0.9411764705882353,0.9714285714285714
usas:A2.1,verbnet:order,0.04787832498550415,0.0,21,8,1.0,1.0
verbnet:bill,wordnet:communication,0.04788506031036377,0.0,9,68,1.0,0.9705882352941176
framenet:Path_shape,verbnet:bill,0.0478859543800354,0.0,18,9,1.0,1.0
framenet:Cause_motion,verbnet:say,0.04788625240325928,0.0,14,25,1.0,1.0
framenet:Change_position_on_a_scale,gi_primary:HU,0.047890305519104004,0.0,17,53,1.0,0.9622641509433962
gi_primary:PowTot,usas:E3,0.04789078235626221,0.01092896174863388,150,35,0.9666666666666667,1.0
framenet:Removing,verbnet:dress,0.04789292812347412,0.0,16,11,1.0,1.0
gi_primary:Travel,rid:positive_affect,0.047893643379211426,0.0,62,15,0.967741935483871,1.0
gi_primary:Exprsv,usas:F1,0.047897160053253174,0.0,29,15,1.0,1.0
framenet:Path_shape,gi_primary:Legal,0.04789763689041138,0.0,18,24,1.0,0.9583333333333334
gi_primary:Vice,verbnet:characterize,0.047901928424835205,0.0,36,22,0.9722222222222222,1.0
usas:A7,verbnet:say,0.047902047634124756,0.0,17,25,0.8235294117647058,1.0
induced:perception_cognition,verbnet:contiguous_location,0.04790216684341431,0.0,49,18,1.0,1.0
framenet:Attaching,wordnet:competition,0.04790365695953369,0.0,14,12,1.0,1.0
framenet:Communication_manner,usas:E4.1,0.04790389537811279,0.0,12,16,1.0,1.0
rid:restraint,verbnet:illustrate,0.04790389537811279,0.0,37,8,0.972972972972973,1.0
gi_primary:Passive,usas:S9,0.047904133796691895,0.0,181,9,0.9779005524861878,0.7777777777777778
gi_primary:PowCoop,wordnet:unassigned,0.04790520668029785,0.0,13,120,0.9230769230769231,0.4583333333333333
gi_primary:EVAL,verbnet:appear,0.047910451889038086,0.0,22,27,0.9545454545454546,1.0
gi_primary:If,usas:A10,0.047911763191223145,0.015151515151515152,28,39,0.7857142857142857,1.0
gi_primary:Hostile,usas:A1.7,0.04791378974914551,0.0064516129032258064,136,20,0.9926470588235294,1.0
gi_primary:FormLw,usas:X2.2,0.04791480302810669,0.010752688172043012,80,14,0.9875,1.0
gi_primary:Ritual,verbnet:create,0.04791593551635742,0.0,33,14,1.0,1.0
gi_primary:NotLw,wordnet:unassigned,0.04791676998138428,0.023622047244094488,10,120,0.5,0.4583333333333333
gi_primary:Exert,rid:expressive_behavior,0.04791760444641113,0.011111111111111112,68,23,1.0,1.0
induced:transfer_possession,verbnet:remove,0.04791879653930664,0.02631578947368421,29,10,1.0,1.0
gi_primary:Rel,usas:X2.1,0.04791903495788574,0.0,30,21,0.8,1.0
usas:A11.1,verbnet:butter,0.04791921377182007,0.03571428571428571,9,20,0.7777777777777778,1.0
gi_primary:TrnGain,usas:S8,0.04792255163192749,0.034482758620689655,38,22,1.0,1.0
framenet:Removing,verbnet:force,0.047922611236572266,0.0,16,14,1.0,1.0
usas:M8,verbnet:put,0.047924816608428955,0.0,10,15,1.0,1.0
gi_primary:FormLw,wordnet:consumption,0.04792577028274536,0.0,80,12,0.9875,1.0
gi_primary:Finish,verbnet:create,0.047926902770996094,0.0,29,14,0.9310344827586207,1.0
gi_primary:Ovrst,verbnet:get,0.047927141189575195,0.0,73,30,0.7534246575342466,1.0
gi_primary:Active,verbnet:dress,0.04793053865432739,0.009280742459396751,424,11,0.9905660377358491,1.0
gi_primary:Means,verbnet:pocket,0.04793071746826172,0.012658227848101266,65,15,0.9538461538461539,0.8666666666666667
gi_primary:WlbPsyc,rid:regressive_cognition,0.047932326793670654,0.007633587786259542,14,118,1.0,0.8813559322033898
framenet:Change_position_on_a_scale,verbnet:dress,0.047937750816345215,0.0,17,11,1.0,1.0
gi_primary:Power,usas:A7,0.047939181327819824,0.02608695652173913,101,17,0.9603960396039604,0.8235294117647058
framenet:Sending,verbnet:put,0.04794079065322876,0.0,8,15,1.0,1.0
framenet:Experiencer_focus,gi_primary:RcTot,0.047940850257873535,0.022222222222222223,8,38,0.875,0.9473684210526315
usas:M6,verbnet:fill,0.047941505908966064,0.05405405405405406,26,13,0.6923076923076923,1.0
gi_primary:NatrPro,rid:abstraction,0.047942280769348145,0.008928571428571428,45,68,1.0,0.9558823529411765
framenet:Experiencer_obj,induced:nonverbal_expression,0.047942280769348145,0.0,14,18,0.9285714285714286,1.0
gi_primary:Vice,rid:temporal_references,0.04794299602508545,0.0,36,35,0.9722222222222222,0.7714285714285715
gi_primary:Pstv,induced:procedural_operation,0.04794543981552124,0.029239766081871343,124,52,0.9838709677419355,1.0
rid:abstraction,verbnet:future_having,0.04794573783874512,0.0,68,10,0.9558823529411765,0.8
gi_primary:POLIT,usas:G2.1,0.04794585704803467,0.04081632653061224,35,16,0.9428571428571428,1.0
verbnet:say,wordnet:body,0.047948598861694336,0.0,25,21,1.0,1.0
gi_primary:RspTot,verbnet:butter,0.047951340675354004,0.0,34,20,0.9705882352941176,1.0
rid:temporal_references,usas:Z8,0.04795318841934204,0.06521739130434782,35,14,0.7714285714285715,0.07142857142857142
gi_primary:Social,rid:need,0.047954678535461426,0.0,19,70,1.0,1.0
framenet:Evidence,rid:icarian_imagery,0.047955095767974854,0.0,16,101,1.0,0.9900990099009901
gi_primary:Ritual,usas:S8,0.04796278476715088,0.018518518518518517,33,22,1.0,1.0
rid:social_behavior,verbnet:tape,0.04796791076660156,0.0,134,14,1.0,1.0
rid:regressive_cognition,verbnet:spray,0.04796791076660156,0.0,118,14,0.8813559322033898,1.0
framenet:Communication_manner,usas:X7,0.04796862602233887,0.0,12,29,1.0,0.9655172413793104
gi_primary:Travel,induced:procedural_operation,0.047969043254852295,0.0,62,52,0.967741935483871,1.0
gi_primary:Complet,rid:social_behavior,0.04797482490539551,0.0,27,134,1.0,1.0
gi_primary:Strong,verbnet:exist,0.04797840118408203,0.003861003861003861,249,11,0.9558232931726908,1.0
gi_primary:TrnGain,verbnet:get,0.04797846078872681,0.046153846153846156,38,30,1.0,1.0
gi_primary:SureLw,induced:entity_noun,0.04797923564910889,0.0,33,39,0.8484848484848485,1.0
framenet:Self_motion,gi_primary:SocRel,0.04798150062561035,0.022123893805309734,68,163,1.0,0.9815950920245399
framenet:Bringing,gi_primary:DAV,0.04798203706741333,0.013986013986013986,9,281,1.0,0.9893238434163701
gi_primary:If,usas:X3.4,0.04798346757888794,0.023255813953488372,28,16,0.7857142857142857,1.0
framenet:Scrutiny,usas:S3.2,0.04798436164855957,0.0,18,12,1.0,1.0
usas:F1,wordnet:unassigned,0.047984957695007324,0.007462686567164179,15,120,1.0,0.4583333333333333
induced:speech_act,verbnet:dress,0.04798579216003418,0.0,39,11,1.0,1.0
induced:transfer_possession,usas:X3.4,0.047985970973968506,0.0,29,16,1.0,1.0
framenet:Filling,verbnet:remove,0.04798722267150879,0.0,19,10,1.0,1.0
framenet:Becoming_aware,verbnet:obtain,0.04798722267150879,0.0,12,11,1.0,1.0
framenet:Emptying,verbnet:contribute,0.04798758029937744,0.0,9,21,1.0,1.0
gi_primary:EMOT,verbnet:build,0.04798853397369385,0.0,31,26,0.967741935483871,1.0
framenet:Cause_harm,gi_primary:Legal,0.0479964017868042,0.029850746268656716,45,24,1.0,0.9583333333333334
gi_primary:EnlOth,verbnet:build,0.04799675941467285,0.0,92,26,0.9891304347826086,1.0
framenet:Statement,usas:A5.1,0.04800182580947876,0.0,54,14,1.0,0.8571428571428571
gi_primary:HU,usas:Q2.2,0.04800480604171753,0.0,53,103,0.9622641509433962,1.0
framenet:Experiencer_obj,gi_primary:FormLw,0.04800760746002197,0.0,14,80,0.9285714285714286,0.9875
gi_primary:Intrj,induced:person_reference,0.0480077862739563,0.0,19,30,0.7894736842105263,0.36666666666666664
gi_primary:RspOth,usas:S7.1,0.04800909757614136,0.0,16,24,0.9375,0.9583333333333334
usas:A5.1,verbnet:conjecture,0.04801011085510254,0.0,14,23,0.8571428571428571,1.0
usas:X7,verbnet:braid,0.04801154136657715,0.0,29,12,0.9655172413793104,1.0
gi_primary:Tool,wordnet:social,0.048014283180236816,0.012658227848101266,52,28,1.0,0.9642857142857143
gi_primary:Strong,usas:S7.4,0.04801440238952637,0.011811023622047244,249,8,0.9558232931726908,1.0
gi_primary:SocRel,usas:I2.2,0.04801487922668457,0.0,163,11,0.9815950920245399,1.0
usas:A5.1,wordnet:social,0.0480157732963562,0.0,14,28,0.8571428571428571,0.9642857142857143
framenet:Change_position_on_a_scale,usas:I3.1,0.04801595211029053,0.0,17,10,1.0,1.0
gi_primary:Arousal,usas:Q2.2,0.04801905155181885,0.0078125,26,103,0.9230769230769231,1.0
gi_primary:Weak,verbnet:run,0.048023223876953125,0.015151515151515152,100,34,0.96,1.0
gi_primary:Rel,verbnet:characterize,0.04802405834197998,0.0,30,22,0.8,1.0
gi_primary:RcTot,wordnet:consumption,0.048024535179138184,0.0,38,12,0.9473684210526315,1.0
rid:positive_affect,usas:F1,0.048025548458099365,0.0,15,15,1.0,1.0
gi_primary:WlbLoss,usas:A1.1.2,0.04802614450454712,0.0392156862745098,21,32,1.0,1.0
gi_primary:Submit,usas:B2,0.048029959201812744,0.0,58,10,0.9827586206896551,1.0
framenet:Make_noise,usas:L1,0.048031508922576904,0.0,13,13,1.0,1.0
rid:abstraction,verbnet:admit,0.048032164573669434,0.0,68,8,0.9558823529411765,1.0
gi_primary:Quan,rid:restraint,0.04803347587585449,0.010416666666666666,60,37,0.6166666666666667,0.972972972972973
framenet:Closure,verbnet:run,0.048034071922302246,0.0,10,34,1.0,1.0
framenet:Becoming_aware,usas:X2.1,0.04803729057312012,0.0,12,21,1.0,1.0
framenet:Request,verbnet:breathe,0.048039793968200684,0.0,24,16,1.0,1.0
rid:aggression,usas:A5.1,0.04803997278213501,0.0,83,14,0.9879518072289156,0.8571428571428571
induced:ritual_observance,verbnet:send,0.04804050922393799,0.0,11,14,1.0,1.0
gi_primary:Complet,verbnet:characterize,0.0480462908744812,0.0,27,22,1.0,1.0
rid:social_behavior,usas:M8,0.04804718494415283,0.0,134,10,1.0,1.0
framenet:Removing,verbnet:advise,0.048047661781311035,0.0,16,12,1.0,1.0
verbnet:advise,wordnet:creation,0.04804861545562744,0.0,12,16,1.0,1.0
framenet:Performers_and_roles,wordnet:unassigned,0.0480499267578125,0.0,12,120,0.3333333333333333,0.4583333333333333
rid:expressive_behavior,verbnet:exist,0.04805099964141846,0.0,23,11,1.0,1.0
framenet:Manipulation,gi_primary:WlbTot,0.04805201292037964,0.0,38,83,1.0,1.0
framenet:Becoming_aware,verbnet:put,0.048052847385406494,0.0,12,15,1.0,1.0
gi_primary:Begin,verbnet:get,0.04805469512939453,0.0,15,30,0.9333333333333333,1.0
framenet:Self_motion,verbnet:amalgamate,0.04805469512939453,0.0,68,10,1.0,1.0
framenet:Cause_motion,verbnet:create,0.04805475473403931,0.0,14,14,1.0,1.0
gi_primary:POS,rid:regressive_cognition,0.04805588722229004,0.032520325203252036,9,118,0.5555555555555556,0.8813559322033898
framenet:Communication_noise,usas:S3.2,0.048056066036224365,0.0,27,12,1.0,1.0
gi_primary:WltOth,induced:transfer_possession,0.048056602478027344,0.05172413793103448,32,29,0.96875,1.0
gi_primary:Stay,usas:M8,0.048059284687042236,0.09375,25,10,1.0,1.0
gi_primary:EndsLw,verbnet:amuse,0.04806053638458252,0.0,44,52,0.9545454545454546,0.9807692307692307
gi_primary:PowLoss,verbnet:characterize,0.04806172847747803,0.0,26,22,1.0,1.0
gi_primary:IAV,verbnet:exist,0.048062264919281006,0.004246284501061571,462,11,0.9805194805194806,1.0
gi_primary:Quan,verbnet:admire,0.04806327819824219,0.0,60,28,0.6166666666666667,0.9642857142857143
gi_primary:Active,usas:Z5,0.0480656623840332,0.0,424,45,0.9905660377358491,0.2222222222222222
gi_primary:TranLw,usas:S6,0.04806661605834961,0.0,124,9,0.9838709677419355,0.7777777777777778
gi_primary:RcTot,usas:S3.2,0.04806709289550781,0.0,38,12,0.9473684210526315,1.0
induced:locomotion_posture,verbnet:amalgamate,0.04806780815124512,0.0,67,10,1.0,1.0
induced:transfer_possession,usas:M8,0.04806798696517944,0.0,29,10,1.0,1.0
gi_primary:Solve,usas:Z5,0.048068881034851074,0.0,73,45,0.958904109589041,0.2222222222222222
gi_primary:PosAff,rid:affection,0.048069894313812256,0.030303030303030304,22,12,0.9545454545454546,0.9166666666666666
gi_primary:Affil,verbnet:create,0.048070669174194336,0.0,85,14,0.9529411764705882,1.0
gi_primary:WlbPhys,rid:expressive_behavior,0.0480726957321167,0.0,47,23,1.0,1.0
gi_primary:Exprsv,verbnet:create,0.048072755336761475,0.04878048780487805,29,14,1.0,1.0
gi_primary:Causal,usas:S7.1,0.048075318336486816,0.05405405405405406,15,24,0.6666666666666666,0.9583333333333334
gi_primary:WlbTot,usas:Q1.2,0.04807615280151367,0.0,83,30,1.0,1.0
rid:sadness,usas:L1,0.04807800054550171,0.0,15,13,1.0,1.0
gi_primary:Tool,usas:X3.4,0.04808169603347778,0.030303030303030304,52,16,1.0,1.0
gi_primary:DAV,verbnet:dress,0.04808211326599121,0.006896551724137931,281,11,0.9893238434163701,1.0
gi_primary:SureLw,usas:A2.2,0.04808318614959717,0.022222222222222223,33,13,0.8484848484848485,1.0
rid:regressive_cognition,verbnet:indicate,0.048083603382110596,0.0,118,16,0.8813559322033898,1.0
rid:order,verbnet:order,0.04808449745178223,0.0,10,8,1.0,1.0
induced:property_damage,verbnet:escape,0.048084914684295654,0.0,16,29,1.0,1.0
usas:B5,verbnet:remove,0.048086464405059814,0.0,23,10,1.0,1.0
rid:instrumental_behavior,verbnet:tape,0.04808753728866577,0.0,92,14,0.9891304347826086,1.0
verbnet:breathe,wordnet:possession,0.04808914661407471,0.0,16,32,1.0,0.90625
rid:abstraction,verbnet:other_cos,0.048090577125549316,0.0,68,39,0.9558823529411765,1.0
gi_primary:Travel,usas:S3.2,0.04809212684631348,0.0,62,12,0.967741935483871,1.0
gi_primary:Solve,verbnet:create,0.04809337854385376,0.023529411764705882,73,14,0.958904109589041,1.0
usas:A2.1,verbnet:fill,0.048094749450683594,0.0,21,13,1.0,1.0
framenet:Filling,verbnet:assessment,0.048094868659973145,0.0,19,8,1.0,1.0
gi_primary:PowTot,usas:S7.4,0.04809492826461792,0.01935483870967742,150,8,0.9666666666666667,1.0
rid:abstraction,usas:N6,0.04809582233428955,0.0,68,10,0.9558823529411765,1.0
induced:property_damage,usas:S7.1,0.048100292682647705,0.0,16,24,1.0,0.9583333333333334
gi_primary:NatrPro,usas:N5,0.04810148477554321,0.0,45,23,1.0,0.782608695652174
usas:B1,verbnet:chew,0.048102617263793945,0.05263157894736842,50,10,1.0,1.0
gi_primary:Stay,verbnet:admire,0.048107028007507324,0.0392156862745098,25,28,1.0,0.9642857142857143
gi_primary:SV,verbnet:get,0.04810887575149536,0.0,42,30,0.5238095238095238,1.0
rid:instrumental_behavior,verbnet:spray,0.04810965061187744,0.0,92,14,0.9891304347826086,1.0
gi_primary:BodyPt,rid:defensive_symbolization,0.048110246658325195,0.0,37,59,1.0,1.0
gi_primary:COM,verbnet:butter,0.04811316728591919,0.010101010101010102,80,20,0.9875,1.0
framenet:Arriving,gi_primary:Submit,0.048113226890563965,0.0,15,58,1.0,0.9827586206896551
rid:instrumental_behavior,verbnet:admit,0.04811394214630127,0.0,92,8,0.9891304347826086,1.0
framenet:Perception_active,verbnet:amalgamate,0.04811811447143555,0.0,24,10,1.0,1.0
gi_primary:DAV,verbnet:assuming_position,0.048119306564331055,0.02040816326530612,281,19,0.9893238434163701,1.0
gi_primary:WlbPhys,usas:A1.1.2,0.04811990261077881,0.0,47,32,1.0,1.0
framenet:Communication_manner,verbnet:contiguous_location,0.048119962215423584,0.0,12,18,1.0,1.0
gi_primary:EnlOth,usas:S6,0.04812026023864746,0.0,92,9,0.9891304347826086,0.7777777777777778
framenet:Communication_noise,induced:transfer_possession,0.048121094703674316,0.0,27,29,1.0,1.0
gi_primary:ComForm,wordnet:stative,0.048121750354766846,0.0051813471502590676,168,26,0.9880952380952381,0.8076923076923077
usas:A2.2,wordnet:unassigned,0.048126220703125,0.007575757575757576,13,120,1.0,0.4583333333333333
gi_primary:Submit,usas:S3.2,0.04812663793563843,0.0,58,12,0.9827586206896551,1.0
rid:restraint,usas:B4,0.048127174377441406,0.0,37,9,0.972972972972973,1.0
gi_primary:Ngtv,verbnet:dress,0.04812812805175781,0.0,162,11,0.9876543209876543,1.0
gi_primary:EnlGain,usas:A7,0.0481296181678772,0.02857142857142857,55,17,1.0,0.8235294117647058
gi_primary:HU,usas:S9,0.048132896423339844,0.01639344262295082,53,9,0.9622641509433962,0.7777777777777778
usas:I3.1,verbnet:butter,0.04813587665557861,0.0,10,20,1.0,1.0
induced:transfer_possession,verbnet:tape,0.048137784004211426,0.0,29,14,1.0,1.0
usas:M6,verbnet:indicate,0.04814112186431885,0.0,26,16,0.6923076923076923,1.0
