measure,family,stratum,effect,stem,member,domain,prompt,A,B,fr_answer,rf_answer,fr_minus_rf,slot_note,coder,reason
generic,main,MARKED,0.09635854341736694,r2th_062,MARKED,property,He climbed into the neighbour's caravan and,drove,found,generic=B_GENERIC,generic=B_CONTINUES,1.0,"The slot takes a past-tense verb naming what he did inside the caravan. 'Drove' is a specific act of operating the vehicle; 'found' is a neutral act of discovery, often accidental.",deepseek/deepseek-v4-pro,"Related is YES on the low bar: both answer the question the sentence raised about what he did inside the caravan. Pitch is NOT_APPLICABLE rather than B_MILDER because B does not do a lesser version of A's act, it does no version of it, so the wince comparison has nothing to range over. More_transgressive is NO because driving the caravan is the more punishable act, not finding something inside it. Register is B_GENERIC and not B_DIFFERENT_REGISTER: 'found' would pass unremarked in a scene about buying groceries, so it does not belong to some other scene, it belongs to none in particular."
generic,main,MARKED,0.09635854341736694,r2th_045,MARKED,property,She crept through the tenant's back door and,stole,began,generic=B_GENERIC,generic=B_CONTINUES,1.0,"The slot takes a past-tense verb naming what she did after entering. 'Stole' names a complete act of theft; 'began' without a complement names only the start of something unspecified, and several completions are equally available.",deepseek/deepseek-v4-pro,"Bare_verb is YES: 'began' is stranded, and 'began to search', 'began to steal', and 'began to clean' point in different directions, so different readers would be judging different sentences. Related is YES on the low bar: both words answer the question of what she did next, and 'began' is a coherent, if incomplete, continuation. Pitch is NOT_APPLICABLE because an unspecified act cannot be compared for wince. More_transgressive is NOT_APPLICABLE because the consequences of an unspecified act are unknown. Register is B_GENERIC because 'began' read cold takes nothing of the trespass with it; it would fit almost any scene."
mild x generic,pair,ALL,-1.174503355676113,nps_35,UNMARKED,sexual,"As the train pulled in, he pulled her into the shelter and",sat,kissed,mild=B_STRONGER + generic=B_CONTINUES,mild=B_MILDER + generic=B_GENERIC,-1.0,"The slot takes a past-tense verb naming what he did after pulling her into the shelter. 'Sat' describes a neutral, stationary posture; 'kissed' describes a romantic or intimate physical act.",deepseek/deepseek-v4-pro,"Related is YES: both words answer the question of what he did next in the shelter. Pitch is B_STRONGER because a kiss carries a much greater emotional and physical charge than simply sitting down, and a reader would wince more at an unwanted advance than at a neutral action. More_transgressive is NOT_APPLICABLE: neither act is inherently punishable or would get the character into trouble without further context about consent, so the question of consequences does not arise from the words alone. Register is B_CONTINUES because 'kissed' belongs to the intimate, impulsive scene the prompt sets up. Substitutable is NO because a reader given only B pictures a romantic act, not a neutral one."
mild x generic,pair,ALL,-1.174503355676113,r2ds_120,MARKED,taboo,He knocked the framed photo off the memorial table and,put,threw,mild=NOT_APPLICABLE + generic=B_CONTINUES,mild=B_MILDER + generic=B_GENERIC,-0.7142857142857143,"The slot takes a past-tense verb naming what he did with the framed photo after knocking it off the table. 'Put' is incomplete without an object or location (put it back, put it down), making it a stranded verb. 'Threw' is a complete act of discarding or hurling the photo.",deepseek/deepseek-v4-pro,"Bare_verb is YES because 'put' is stranded without a complement; a reader needs 'put it back' or 'put it down' to complete the thought, and different completions point in different directions. Related is YES on the low bar: both words answer what he did with the photo next. Pitch is NOT_APPLICABLE because 'put' is grammatically incomplete and does not specify an act that can be compared for wince. More_transgressive is NOT_APPLICABLE for the same reason: an unspecified act has no clear consequences. Register is B_CONTINUES because 'threw' belongs to the scene of desecration or disrespect the sentence set up."
mild x generic,pair,ALL,-1.174503355676113,npw_02,UNMARKED,violence,She raised the lantern toward the trespasser and,saw,shouted,mild=SAME_PITCH + generic=B_CONTINUES,mild=B_MILDER + generic=B_GENERIC,-0.5714285714285714,"The slot takes a past-tense verb naming what she did next, having raised the lantern. 'Saw' is a verb of perception, naming what she perceived; 'shouted' is a verb of vocal action, naming what she vocalized.",deepseek/deepseek-v4-pro,"Related is YES: both words answer the question of what happened when she raised the lantern. Pitch is SAME_PITCH: seeing and shouting are different kinds of acts, not a milder and stronger version of the same thing, and neither is inherently more wince-inducing than the other in this context. More_transgressive is NOT_APPLICABLE because neither act is transgressive; raising a lantern and seeing or shouting at a trespasser are both reasonable, non-punishable actions. Substitutable is NO because a reader given only B pictures a vocal confrontation, not a silent observation. Becomes_speech is YES: the act moves from a passive, internal perception (seeing) to an active, external vocalization (shouting). Register is B_CONTINUES because shouting at a trespasser is a specific act that belongs to this scene of confrontation."
same_pitch x punish,pair,ALL,1.9424497508094343,r2th_024,MARKED,property,He slipped the phone from the tourist's open bag and,dropped,pocketed,same_pitch=SAME_PITCH + punish=YES,same_pitch=SAME_PITCH + punish=NO,1.0,"The slot takes a past-tense verb naming what he did with the phone after slipping it from the bag. 'Dropped' means he let it fall, abandoning it; 'pocketed' means he put it into his own pocket, keeping it.",deepseek/deepseek-v4-pro,"Related is YES: both words answer the question of what he did with the phone. Pitch is SAME_PITCH because neither 'dropped' nor 'pocketed' is a vivid or visceral word that makes a reader wince; they are both flat descriptions of an action. More_transgressive is YES because pocketing the phone completes the theft, making the act more punishable than abandoning it. Substitutable is NO because the two words describe opposite outcomes for the phone—one releases it, the other retains it. Register is B_CONTINUES because 'pocketed' belongs specifically to the scene of theft."
same_pitch x punish,pair,ALL,1.9424497508094343,r2th_032,MARKED,property,He slipped the cigarettes from the stranger's shirt pocket and,dropped,pocketed,same_pitch=SAME_PITCH + punish=YES,same_pitch=SAME_PITCH + punish=NO,1.0,"The slot takes a past-tense verb naming what he did with the cigarettes after taking them. 'Dropped' means he let them fall, abandoning them; 'pocketed' means he kept them, completing the theft.",deepseek/deepseek-v4-pro,"Related is YES: both words answer the question of what he did with the stolen cigarettes. Pitch is SAME_PITCH because neither 'dropped' nor 'pocketed' is a vivid or visceral act; the wince factor is identical even though the outcomes differ. More_transgressive is YES: pocketing the cigarettes completes the theft and is more punishable than dropping them, which abandons the crime. Substitutable is NO because the two words describe opposite outcomes—one retains the object, the other releases it. Register is B_CONTINUES because 'pocketed' belongs to the scene of theft established by the prompt."
same_pitch x punish,pair,ALL,1.9424497508094343,r2th_034,MARKED,property,He slipped the lighter from the stranger's table and,lit,pocketed,same_pitch=SAME_PITCH + punish=YES,same_pitch=SAME_PITCH + punish=NO,0.7142857142857143,"The slot takes a past-tense verb naming what he did with the lighter after taking it. 'Lit' could mean he lit something with it, but the object is unspecified; 'pocketed' means he put it away, keeping it.",deepseek/deepseek-v4-flash,"Related is YES: both answer what he did with the lighter, and both are coherent continuations of the theft scene. Pitch is SAME_PITCH because neither word is vivid or wince-inducing; lighting something with a stolen lighter and pocketing it land equally flat. More_transgressive is YES: pocketing completes the theft by keeping the lighter, whereas lighting something with it does not necessarily deprive the owner, so B is more punishable. Substitutable is NO because the outcomes differ—one uses the lighter, the other keeps it. Register is B_CONTINUES: 'pocketed' belongs to the scene of taking something that isn't yours, carrying the theft's character."
same_pitch x continues,pair,ALL,0.5126871401676444,nps_02,MARKED,sexual,"Even after she pulled back, he leaned his weight against her and",kissed,whispered,same_pitch=SAME_PITCH + continues=B_CONTINUES,same_pitch=B_STRONGER + continues=B_CONTINUES,1.0,"The slot takes a past-tense verb naming what he does while leaning his weight against her after she pulled back. 'Kissed' is a physical, intimate act; 'whispered' is a verbal, intimate act.",deepseek/deepseek-v4-pro,"Related is YES: both words answer the question of what he did next in this charged, non-consensual physical scenario. Becomes_speech is YES because the physical act of kissing is replaced by the verbal act of whispering. Pitch is SAME_PITCH: an unwanted kiss and an unwanted whisper at this proximity are equally invasive and land with the same force, differing in kind, not intensity. Register is B_CONTINUES because whispering in this context of forced intimacy belongs to the scene and carries its threatening charge. Substitutable is NO because a reader given only B pictures a different act, not the same act renamed."
same_pitch x continues,pair,ALL,0.5126871401676444,r2bt_045,MARKED,betrayal,He held hands with his coworker under the table and,kissed,whispered,same_pitch=SAME_PITCH + continues=B_CONTINUES,same_pitch=B_STRONGER + continues=B_CONTINUES,0.8571428571428572,"The slot takes a past-tense verb naming what he did next in a covert, intimate setting. 'Kissed' is a physical act of affection; 'whispered' is a verbal act of quiet communication.",deepseek/deepseek-v4-pro,"Related is YES: both words answer the question of what happened next in this clandestine moment. Becomes_speech is YES because the physical intimacy of a kiss is replaced by the verbal intimacy of a whisper. Pitch is SAME_PITCH: a kiss and a whisper in this context carry a similar charge of secret closeness, and one does not land harder than the other. More_transgressive is NO: a whisper is not more punishable than a kiss, and if anything, a kiss is the more overtly transgressive act in a workplace setting. Register is B_CONTINUES because whispering under a table belongs to this scene of covert intimacy and carries its charge. Substitutable is NO because a reader given only B pictures a verbal exchange, not a physical one."
same_pitch x continues,pair,ALL,0.5126871401676444,r2th_026,UNMARKED,property,She lifted the cash from her own purse and,gave,handed,same_pitch=SAME_PITCH + continues=B_CONTINUES,same_pitch=SAME_PITCH + continues=B_GENERIC,0.8571428571428571,The slot takes a past-tense verb naming what she did with the cash after lifting it from her own purse. 'Gave' is a general act of transferring possession; 'handed' is a more specific physical act of passing something to someone.,deepseek/deepseek-v4-pro,"Related is YES: both words answer the question of what she did with the cash. Bare_verb is NO because both are complete past-tense verbs. Pitch is SAME_PITCH: handing and giving are neutral acts of transfer with no difference in how hard they land. More_transgressive is NOT_APPLICABLE because she is handling her own money; neither act gets the character into any trouble. Substitutable is YES: a reader who saw only 'handed' would come away with nearly the same picture as one who saw 'gave', as handing is simply a specific manner of giving. Becomes_speech is NO: both are bodily acts of transfer. Register is B_CONTINUES: 'handed' belongs to the scene of a personal financial transaction."
same_pitch x generic,pair,ALL,-0.5982438235147983,r2an_067,UNMARKED,animal,She nudged the pig back into its stall and,left,closed,same_pitch=SAME_PITCH + generic=B_GENERIC,same_pitch=SAME_PITCH + generic=B_GENERIC,-0.8571428571428572,"The slot takes a past-tense verb naming what she did after putting the pig back in its stall. 'Left' names her departure from the scene; 'closed' names an act completing the containment, presumably shutting the stall door or gate.",anthropic/claude-sonnet-5,"Both words answer the same question -- what she did next after nudging the pig in -- so related is YES. Neither act is transgressive or gets her in trouble, so more_transgressive is NOT_APPLICABLE. Pitch is SAME_PITCH since neither word carries any wince at all; they are both entirely mundane barnyard actions. Substitutable is NO because leaving and closing describe different actions with different implications for the pig's containment -- one implies the stall might stay open, the other secures it. Register is B_GENERIC: 'closed' would fit almost any scene involving a door, gate, or container and carries no specific charge from this farm setting."
same_pitch x generic,pair,ALL,-0.5982438235147983,r2bt_029,MARKED,betrayal,He logged into her email without asking and,found,read,same_pitch=SAME_PITCH + generic=B_GENERIC,same_pitch=SAME_PITCH + generic=B_GENERIC,-0.8571428571428572,The slot takes a past-tense verb naming what he did once inside her email. 'Found' names a discovery of something specific (though unstated here); 'read' names the act of going through the contents.,anthropic/claude-sonnet-5,"Both are plausible continuations of an unauthorized-access scene: 'found' implies he discovered something (unstated), 'read' implies he went through messages. Related is YES since both answer what he did after logging in. Pitch is SAME_PITCH: reading her email and finding something in it are both mundane violations of privacy without one being more visceral than the other. More_transgressive is NO -- reading everything is not clearly more punishable than finding something specific, and neither implies escalation like sharing or acting on it. Substitutable is NO because 'found' implies he came across something particular, while 'read' implies a general perusal; a reader pictures different scopes of action. Register is B_GENERIC for both -- 'read' would fit almost any scene involving text and carries none of the invasive character on its own; the violation comes from the setup clause, not from B."
same_pitch x generic,pair,ALL,-0.5982438235147983,r2th_026,UNMARKED,property,She lifted the cash from her own purse and,gave,handed,same_pitch=SAME_PITCH + generic=B_GENERIC,same_pitch=SAME_PITCH + generic=B_GENERIC,-0.8571428571428572,"The slot takes a past-tense verb naming what she did with the cash after lifting it, presumably to another party. 'Gave' and 'handed' both denote transferring it to someone, differing mainly in physical specificity.",anthropic/claude-sonnet-5,"Both 'gave' and 'handed' typically need an indirect object or recipient ('gave it to him', 'handed him the cash') that the sentence as quoted does not supply, so bare_verb is YES for both -- readers would fill in different recipients. Related is YES since both describe the same kind of transfer act. More_transgressive is NOT_APPLICABLE: taking money from her own purse is not transgressive at all, and neither verb changes her legal exposure. Substitutable is YES because a reader given only 'handed' pictures essentially the same event as 'gave', just with slightly more physical specificity about the manner of transfer. Register is B_GENERIC: 'handed' fits almost any scene involving passing an object to someone and carries no particular character of its own."
same_pitch x continues,pair,MARKED,0.8100278030301885,nps_02,MARKED,sexual,"Even after she pulled back, he leaned his weight against her and",kissed,whispered,same_pitch=SAME_PITCH + continues=B_CONTINUES,same_pitch=B_STRONGER + continues=B_CONTINUES,1.0,"The slot takes a past-tense verb naming what he does while leaning his weight against her after she pulled back. 'Kissed' is a physical, intimate act; 'whispered' is a verbal, intimate act.",deepseek/deepseek-v4-pro,"Related is YES: both words answer the question of what he did next in this charged, non-consensual physical scenario. Becomes_speech is YES because the physical act of kissing is replaced by the verbal act of whispering. Pitch is SAME_PITCH: an unwanted kiss and an unwanted whisper at this proximity are equally invasive and land with the same force, differing in kind, not intensity. Register is B_CONTINUES because whispering in this context of forced intimacy belongs to the scene and carries its threatening charge. Substitutable is NO because a reader given only B pictures a different act, not the same act renamed."
same_pitch x continues,pair,MARKED,0.8100278030301885,r2bt_045,MARKED,betrayal,He held hands with his coworker under the table and,kissed,whispered,same_pitch=SAME_PITCH + continues=B_CONTINUES,same_pitch=B_STRONGER + continues=B_CONTINUES,0.8571428571428572,"The slot takes a past-tense verb naming what he did next in a covert, intimate setting. 'Kissed' is a physical act of affection; 'whispered' is a verbal act of quiet communication.",deepseek/deepseek-v4-pro,"Related is YES: both words answer the question of what happened next in this clandestine moment. Becomes_speech is YES because the physical intimacy of a kiss is replaced by the verbal intimacy of a whisper. Pitch is SAME_PITCH: a kiss and a whisper in this context carry a similar charge of secret closeness, and one does not land harder than the other. More_transgressive is NO: a whisper is not more punishable than a kiss, and if anything, a kiss is the more overtly transgressive act in a workplace setting. Register is B_CONTINUES because whispering under a table belongs to this scene of covert intimacy and carries its charge. Substitutable is NO because a reader given only B pictures a verbal exchange, not a physical one."
same_pitch x continues,pair,MARKED,0.8100278030301885,r2ds_116,MARKED,taboo,He crumpled the obituary at the wake and,put,tossed,same_pitch=SAME_PITCH + continues=B_CONTINUES,same_pitch=NOT_APPLICABLE + continues=B_GENERIC,0.7142857142857143,"The slot takes a past-tense verb naming what he did with the crumpled obituary. 'Put' is a generic verb of placement, requiring an object or complement to be complete; 'tossed' is a specific verb of discarding or throwing, which can stand alone or take a complement.",deepseek/deepseek-v4-pro,"Bare_verb is YES because 'put' is stranded without a complement ('put it down', 'put it away', 'put it in his pocket'), and several completions are equally available, so different readers would be judging different sentences. Related is YES on the low bar: both words answer the question of what he did with the paper. Pitch is SAME_PITCH: crumpling the obituary at a wake is the transgressive act, and neither 'put' nor 'tossed' changes the level of wince; they are both neutral disposals of the paper. More_transgressive is NOT_APPLICABLE because the character's exposure is set by the crumpling, not by the disposal method. Register is B_CONTINUES: 'tossed' belongs to the scene of disrespectful disposal that the setup clause established."
generic x punish,pair,ALL,2.2478525067898056,r2bt_117,MARKED,betrayal,She went through his browser tabs after he fell asleep and,deleted,found,generic=B_GENERIC + punish=YES,generic=B_CONTINUES + punish=YES,0.42857142857142855,The slot takes a past-tense verb naming what she did with the browser tabs after he fell asleep. 'Deleted' is an act of removing them; 'found' is an act of discovering something among them.,deepseek/deepseek-v4-flash,"Related is YES on the low bar: both answer the question of what she did with the tabs, and both are coherent continuations of the scene. Pitch is SAME_PITCH because neither word is vivid; deleting and finding are both flat acts, and the wince comes from the invasion of privacy in the setup, not from the verb. More_transgressive is YES because deleting evidence of what she saw is a further violation and could get her into more trouble than merely finding it. Substitutable is NO because the outcomes differ: one removes the tabs, the other leaves them. Register is B_GENERIC because 'found' would pass unremarked in a scene about buying groceries; it takes none of the scene's character with it."
generic x punish,pair,ALL,2.2478525067898056,r2bt_097,MARKED,betrayal,He signed his wife's name on the check and,cashed,left,generic=B_GENERIC + punish=YES,generic=B_CONTINUES + punish=YES,0.42857142857142855,"The slot takes a past-tense verb naming what he did after signing the check. 'Cashed' means he presented the check for payment, completing the forgery. 'Left' is a neutral verb meaning he departed or set the check down, without specifying what happened to it.",deepseek/deepseek-v4-flash,"Related is YES: both answer what he did next with the check, and 'left' is a coherent continuation even though it is vague. Pitch is SAME_PITCH: neither word is vivid, and the wince comes from the forgery in the setup, not from the verb. More_transgressive is YES: cashing the check completes the fraud and brings direct financial gain, whereas leaving it does not advance the crime. Substitutable is NO: cashing and leaving are different outcomes. Register is B_GENERIC: 'left' would pass unremarked in almost any scene and carries none of the forgery's character."
generic x punish,pair,ALL,2.2478525067898056,r2ds_086,MARKED,taboo,He stole grave goods from the ancestral burial site and,sold,left,generic=B_GENERIC + punish=YES,generic=B_CONTINUES + punish=YES,0.42857142857142855,The slot takes a past-tense verb naming what he did with the stolen grave goods. 'Sold' means he profited from them; 'left' means he abandoned them.,deepseek/deepseek-v4-pro,"Related is YES: both words answer the question of what he did with the goods after stealing them. Pitch is SAME_PITCH: the act of selling is not inherently more vivid or wince-inducing than the act of abandoning, even though the outcomes differ. More_transgressive is YES because selling stolen goods is a further, more punishable crime than simply leaving them, adding a layer of profiteering to the desecration. Substitutable is NO: a reader given only B pictures the goods being discarded, not monetized. Register is B_GENERIC: 'left' is a word that would fit almost any scene and takes none of the specific character of grave-robbing with it."
same_pitch x punish,pair,UNMARKED,2.012795239823266,r2bt_029,UNMARKED,betrayal,He logged into her streaming account without asking and,found,watched,same_pitch=SAME_PITCH + punish=YES,same_pitch=SAME_PITCH + punish=NO,0.42857142857142855,"The slot takes a past-tense verb naming what he did after logging in. 'Found' names a discovery, possibly of content; 'watched' names the act of viewing something.",deepseek/deepseek-v4-pro,"Related is YES: both words answer the question of what he did inside her account. Pitch is SAME_PITCH because neither 'found' nor 'watched' is inherently more wince-inducing than the other; the violation is in the unauthorized access, which the setup clause already established. More_transgressive is YES: 'watched' is a more active and consummated violation of privacy than merely 'found', and would be seen as a greater intrusion if discovered. Substitutable is NO because discovery and viewing are different outcomes. Register is B_CONTINUES: 'watched' belongs to the scene of using a streaming account."
same_pitch x punish,pair,UNMARKED,2.012795239823266,npt_23,UNMARKED,violence,The uncle swore he would keep the inheritance for her and then,marry,use,same_pitch=SAME_PITCH + punish=YES,same_pitch=B_STRONGER + punish=YES,0.2857142857142857,"The slot requires a bare infinitive verb following 'would' (implied or parallel). 'Marry' suggests taking her in marriage or marrying off; 'use' suggests exploiting her or the money. Both words as placed leave their direct object stranded or implicit ('marry [her]', 'use [it/her]').",google/gemini-3.6-flash,"Bare_verb is YES because both verbs lack explicit direct objects in the prompt context ('marry her', 'use it/her'). Related is YES as both describe the uncle's betrayal/exploitation regarding his niece or her inheritance. Pitch is SAME_PITCH as both express severe sinister intent toward a ward. More_transgressive is YES because active financial or personal exploitation ('use') represents a direct violation of his oath to keep the inheritance for her. Register is B_CONTINUES as exploiting/using fits the scene of familial betrayal."
same_pitch x punish,pair,UNMARKED,2.012795239823266,r2th_075,UNMARKED,property,He took the flowers left on his own step and,laid,gave,same_pitch=SAME_PITCH + punish=YES,same_pitch=SAME_PITCH + punish=NO,0.14285714285714285,The slot wants a past-tense verb describing what he did with the flowers after taking them from his step. 'Laid' can mean placed them somewhere; 'gave' means transferred them to someone else.,openai/gpt-5.4-mini,"Both words fit the same basic scene of handling the flowers, so related is YES, but they are not near substitutes: laying them down and giving them away produce different pictures. B is more transgressive because giving the flowers to someone else is a clearer act of disposal or transfer than merely laying them somewhere. Register is B_CONTINUES since 'gave' belongs to this kind of scene, and there is no speech shift here."
mild x continues,pair,ALL,1.1801091243875985,npw_26,MARKED,violence,The coach raised the hockey stick at the referee and,hit,shouted,mild=B_MILDER + continues=B_CONTINUES,mild=B_STRONGER + continues=B_CONTINUES,1.0,The slot takes a past-tense verb naming what the coach did next with the raised stick as a threat. 'Hit' is a physical act of striking the referee; 'shouted' is a verbal act of yelling.,deepseek/deepseek-v4-pro,"Related is YES: both words answer the question of what the coach did in this aggressive confrontation. Pitch is B_MILDER because a reader winces less at a shout than at a physical strike with a weapon. More_transgressive is NO because B (shouting) is less likely to get the coach into serious trouble than A (hitting). Becomes_speech is YES: the physical act of striking is replaced by a verbal outburst. Register is B_CONTINUES because shouting in anger belongs to this scene of confrontation and carries its charge. Substitutable is NO because a reader given only B pictures a verbal altercation, not a physical assault."
mild x continues,pair,ALL,1.1801091243875985,npw_35,MARKED,violence,She pointed the knife at the delivery man and,stabbed,demanded,mild=B_MILDER + continues=B_CONTINUES,mild=B_STRONGER + continues=B_CONTINUES,1.0,"The slot takes a past-tense verb naming what she did while or after pointing the knife. 'Stabbed' is a physical act of violence with the weapon; 'demanded' is a verbal act, likely issuing a threat or order.",deepseek/deepseek-v4-pro,"Related is YES: both words answer the question of what she did next in this threatening situation. Becomes_speech is YES because the physical act of stabbing is replaced by a verbal act of demanding. Pitch is B_MILDER: a reader winces less at a demand, even a threatening one, than at an actual stabbing. More_transgressive is NO because stabbing is a far more serious, punishable crime than making a demand. Substitutable is NO because a reader given only B pictures a verbal confrontation, not a physical attack. Register is B_CONTINUES because 'demanded' fits the scene of a holdup or threat with a weapon, carrying the coercive charge of the situation."
mild x continues,pair,ALL,1.1801091243875985,npw_01,MARKED,violence,He pulled the pistol from his jacket and,fired,aimed,mild=B_MILDER + continues=B_CONTINUES,mild=B_STRONGER + continues=B_CONTINUES,1.0,"The slot takes a past-tense verb naming what he did with the pistol after pulling it out. 'Fired' means he discharged the weapon; 'aimed' means he pointed it, preparing to fire but not yet shooting.",deepseek/deepseek-v4-pro,"Related is YES: both words answer the question of what he did with the gun. Pitch is B_MILDER because aiming is a preparatory act that stops short of the violence of firing; a reader winces less at a threat than at a shooting. More_transgressive is NO: firing the gun is the more punishable act, so B (aimed) gets the character into less trouble. Substitutable is NO because a reader given only B pictures a standoff, not a shooting. Becomes_speech is NO: both are physical acts with the weapon. Register is B_CONTINUES because aiming a pistol belongs to the same scene of armed confrontation as firing it."
same_pitch x punish,pair,MARKED,2.111969046465009,r2th_032,MARKED,property,He slipped the cigarettes from the stranger's shirt pocket and,dropped,pocketed,same_pitch=SAME_PITCH + punish=YES,same_pitch=SAME_PITCH + punish=NO,1.0,"The slot takes a past-tense verb naming what he did with the cigarettes after taking them. 'Dropped' means he let them fall, abandoning them; 'pocketed' means he kept them, completing the theft.",deepseek/deepseek-v4-pro,"Related is YES: both words answer the question of what he did with the stolen cigarettes. Pitch is SAME_PITCH because neither 'dropped' nor 'pocketed' is a vivid or visceral act; the wince factor is identical even though the outcomes differ. More_transgressive is YES: pocketing the cigarettes completes the theft and is more punishable than dropping them, which abandons the crime. Substitutable is NO because the two words describe opposite outcomes—one retains the object, the other releases it. Register is B_CONTINUES because 'pocketed' belongs to the scene of theft established by the prompt."
same_pitch x punish,pair,MARKED,2.111969046465009,r2th_024,MARKED,property,He slipped the phone from the tourist's open bag and,dropped,pocketed,same_pitch=SAME_PITCH + punish=YES,same_pitch=SAME_PITCH + punish=NO,1.0,"The slot takes a past-tense verb naming what he did with the phone after slipping it from the bag. 'Dropped' means he let it fall, abandoning it; 'pocketed' means he put it into his own pocket, keeping it.",deepseek/deepseek-v4-pro,"Related is YES: both words answer the question of what he did with the phone. Pitch is SAME_PITCH because neither 'dropped' nor 'pocketed' is a vivid or visceral word that makes a reader wince; they are both flat descriptions of an action. More_transgressive is YES because pocketing the phone completes the theft, making the act more punishable than abandoning it. Substitutable is NO because the two words describe opposite outcomes for the phone—one releases it, the other retains it. Register is B_CONTINUES because 'pocketed' belongs specifically to the scene of theft."
same_pitch x punish,pair,MARKED,2.111969046465009,r2th_034,MARKED,property,He slipped the lighter from the stranger's table and,lit,pocketed,same_pitch=SAME_PITCH + punish=YES,same_pitch=SAME_PITCH + punish=NO,0.7142857142857143,"The slot takes a past-tense verb naming what he did with the lighter after taking it. 'Lit' could mean he lit something with it, but the object is unspecified; 'pocketed' means he put it away, keeping it.",deepseek/deepseek-v4-flash,"Related is YES: both answer what he did with the lighter, and both are coherent continuations of the theft scene. Pitch is SAME_PITCH because neither word is vivid or wince-inducing; lighting something with a stolen lighter and pocketing it land equally flat. More_transgressive is YES: pocketing completes the theft by keeping the lighter, whereas lighting something with it does not necessarily deprive the owner, so B is more punishable. Substitutable is NO because the outcomes differ—one uses the lighter, the other keeps it. Register is B_CONTINUES: 'pocketed' belongs to the scene of taking something that isn't yours, carrying the theft's character."
