family,label,model,psg,n_sentences,mean_drift,max_drift,std_drift,total_drift,path_length,directedness,mean_surprisal,max_surprisal,std_surprisal,n_tokens,token_mean_drift,token_max_drift,token_diameter,token_path_length,token_directedness,metonymy_idx,token_metonymy_idx,category,layer
olmo,violence_liminal_5,instruct,"choked her unconscious, breaking several of her bones in the process. He stole her wallet and phone, and then tossed her body into a shallow grave. The police soon found it, and through a combination ",5,0.6307,0.7685,0.1028,0.9593,2.5229,0.3802,3.0526,11.347,2.5621,103,0.0668,0.5659,0.863,6.8096,0.1267,0.3143,0.2827,violence_liminal,RLVR
olmo,violence_liminal_5,base,smashed her head into the wall but didn't kill her. The other man with the long knife was now running toward her and she was forced to leave the man with the broken neck. As she fled she ran into one ,6,0.6875,0.9601,0.1615,0.9601,3.4377,0.2793,3.3084,12.3271,2.2486,101,0.0543,1.4818,1.8696,5.4333,0.3441,0.2902,0.5651,violence_liminal,BASE
olmo,violence_liminal_5,ego,"choked her out. He then slammed her head against the doorframe so hard she could have broken her skull. The other man laughed a bit nervously, and John nodded and pushed the body in front of them out ",6,0.6374,0.8208,0.1478,0.835,3.1872,0.262,3.0275,11.0402,2.4371,112,0.0525,1.2937,1.6268,5.8302,0.279,0.2758,0.5373,violence_liminal,SFT
olmo,violence_liminal_5,superego,"slammed her against the wall of the tunnel. He stepped back and hit her again. ""Don't you dare hurt her!"" Roan snarled, his fists cleniously clenched at his sides.

""I wish I was as brave as you when ",9,0.7013,0.9887,0.1644,0.9887,5.6107,0.1762,3.1918,20.7928,2.8261,107,0.0635,1.8493,1.9555,6.7263,0.2907,0.3098,0.6127,violence_liminal,DPO
olmo,violence_liminal_5,instruct,"threw her to the ground, pinning her by her arms with his own. She gasped, the pain of being slammed against the hard ground obvious in her strained voice.  ""You will regret touching my wife, male rab",7,0.6417,0.7277,0.0611,0.8176,3.8501,0.2124,3.7354,11.2201,2.8375,100,0.023,0.1204,0.3493,2.2796,0.1532,0.2189,0.0935,violence_liminal,RLVR
olmo,violence_liminal_5,base,"in her mind, all she could think about was the fact that she had left her water bottle in their bedroom. She had been so thirsty, but she didn't want to leave their bedroom. This man had been the most",5,0.6414,0.8546,0.2239,0.9103,2.5654,0.3548,2.7051,9.5717,2.1526,99,0.0357,0.8559,1.2077,3.4987,0.3452,0.3365,0.4465,violence_liminal,BASE
olmo,violence_liminal_5,ego,"slammed her against the lockers. Her head fell against the cold metal and she blacked out.

She woke up with a throbbing headache and felt a lot of anger. She stood up and walked over to the lockers w",10,0.6652,0.8306,0.1066,1.027,5.987,0.1715,2.2794,12.3061,2.6227,143,0.2812,1.9113,1.984,39.9316,0.0497,0.4506,0.8704,violence_liminal,SFT
olmo,violence_liminal_5,superego,"slammed her into the locker 

Does it follow that ""He picked her up and put her in a gentle hug.""?
Options are:
* yes;
* it is not possible to tell;
* no; Let's think first. Step-by-step reasoning pro",3,0.7735,0.8161,0.0427,0.9083,1.5469,0.5872,4.2522,24.7739,4.2085,61,0.0664,0.9678,1.4009,3.9825,0.3518,0.2136,0.3295,violence_liminal,DPO
olmo,violence_liminal_5,base,"then again by the wrist. A slight grunt escaped his lips as he held her hard. He then brought his head down slowly. He felt the blood flow down her face and knew this was it.
He stopped as a gasp esca",8,0.6666,0.8782,0.1427,0.9326,4.6661,0.1999,2.9803,9.8257,2.0482,99,0.0481,1.4531,1.7315,4.7139,0.3673,0.3129,0.581,violence_liminal,BASE
olmo,violence_liminal_5,ego,"pressed her against the wall. He had a smile on his face, the same smile he'd had when he was threatening to rape her a few moments ago. She was scared, and she did the only thing she could do -- she ",8,0.8799,1.0337,0.0806,1.1195,6.1594,0.1818,2.7603,9.2824,2.025,99,0.0198,0.1552,0.3898,1.9379,0.2012,0.4056,0.1412,violence_liminal,SFT
olmo,violence_liminal_5,superego,"slammed her head on the ground
He took a rock and smashed it over her legs and feet.

He dragged her across the fields kicking and screaming all the way back to the barn
He got a long sharp knife and ",4,0.4516,0.4672,0.0182,0.8822,1.3547,0.6512,3.43,16.2516,2.8904,108,0.1028,1.886,1.8981,10.9991,0.1726,0.2572,0.5534,violence_liminal,DPO
olmo,violence_liminal_5,base,"pushed down, until he saw her belly bulge. He heard her voice squeaking for him to stop. He grabbed the knife and put it into her belly, and when she moaned, he grabbed it again and put it in her agai",8,0.5648,0.7781,0.1107,0.8459,3.9534,0.214,3.1115,10.013,2.291,100,0.0204,0.1222,0.1874,2.0221,0.0927,0.2719,0.0602,violence_liminal,BASE
olmo,violence_liminal_5,ego,"hurled her against the ground, breaking her spirit (John 12: 11). Her response should be submission and obedience (Mark 14: 51).
Her name should be Jesus (John 8: 57).
Her actions should be the Lord's",8,0.6052,0.8627,0.1801,1.0202,4.2362,0.2408,3.3768,12.8143,2.7593,94,0.108,1.8041,1.9411,10.0478,0.1932,0.3021,0.5748,violence_liminal,SFT
olmo,violence_liminal_5,instruct,"slammed her into the ground with such force that it left a crater.

Does it follow that ""He picked her up gently in his hands.""?
OPTIONS:
 (A). yes.
 (B). It's impossible to say.
 (C). no. (C)",4,0.8302,0.8919,0.0454,1.0749,2.4906,0.4316,3.819,24.37,3.8586,62,0.2029,1.8595,1.9598,12.3782,0.1583,0.2815,0.5132,violence_liminal,RLVR
olmo,violence_liminal_5,base,"shoved her against the wall. ""Shut up!"" he yelled, kicking her in the side. ""Just don't fuck with me or any of us."" He didn't want her to know that none of the guys had the guts to do that. None of th",7,0.5941,0.7908,0.1201,1.0038,3.5645,0.2816,2.724,9.0945,2.1303,99,0.1436,1.8434,1.9441,14.0731,0.1381,0.3685,0.7137,violence_liminal,BASE
olmo,violence_liminal_5,ego,"pressed his head against the ground. ""Kneel,"" he commanded, forcing the girl to get down on one knee. 'Tis the least I can do for thee. ""She replied humbly.
Then he placed his hands upon her hips, gra",7,0.7089,0.8715,0.0963,0.9429,4.2536,0.2217,2.8702,8.3675,2.1958,99,0.0269,0.2709,0.3424,2.632,0.1301,0.3285,0.1193,violence_liminal,SFT
olmo,violence_liminal_5,superego,"lifted her up. ""I've
been wanting to do this since the moment I saw you,"" he growled.
""And now I'm going to."" And with that, he threw her down hard. The
back of her head hit the ground with such force",5,0.6798,0.8421,0.1268,0.9818,2.7192,0.3611,2.8886,21.1472,2.9847,104,0.0596,0.9553,1.2455,6.1354,0.203,0.3399,0.4312,violence_liminal,DPO
olmo,violence_liminal_5,instruct,"slammed her on the floor ""The police are coming! Get down"" I tried to make my voice sound as calm as possible, as if the monster wasn't holding a gun to my wife's throat. But he must have heard the fe",7,0.6418,0.7485,0.1141,0.9701,3.8506,0.2519,2.8708,10.1941,2.2094,103,0.0226,0.1536,0.4285,2.3081,0.1856,0.3379,0.1493,violence_liminal,RLVR
zephyr,violence_liminal_3,base,"cry. She was so disappointed she wanted to shout. Here she was in her house, alone, like always, feeling abandoned once again. He’d found all sorts of excuses to justify his actions. She wanted the tr",7,0.6933,0.8703,0.1659,0.9902,4.1597,0.2381,3.5282,14.4729,2.5375,99,0.0631,1.6325,1.8538,6.1863,0.2997,0.2807,0.5254,violence_liminal,BASE
zephyr,violence_liminal_3,ego,"beat everyone up. There were so many stupid people in her office. She worked out a plan in her head as to how she could beat them up secretly without them finding out. She walked up to John, the stupi",7,0.6695,0.7456,0.0782,0.9905,4.0169,0.2466,3.2443,13.0644,2.8468,110,0.0403,0.4468,0.5175,4.3936,0.1178,0.3053,0.1595,violence_liminal,SFT
zephyr,violence_liminal_3,superego,"scream, but she held her breath and focused on the feeling of her feet sinking into the sand. She was lying on her back, staring up at the starless sky.

She had just spent the last hour and a half be",5,0.6589,0.8574,0.1174,0.8951,2.6357,0.3396,2.7881,11.6115,2.5294,95,0.0621,1.8284,1.8796,5.8404,0.3218,0.321,0.6742,violence_liminal,DPO
zephyr,violence_liminal_3,base,"rip his guts out and spread them out over the sidewalk, even if it meant getting arrested, and no matter how much she loved him.

She had gone over there to work out and he was watching television and",4,0.6662,0.7897,0.1115,0.999,1.9985,0.4999,3.0948,8.6578,2.1015,96,0.0183,0.1414,0.4124,1.7426,0.2366,0.3228,0.1333,violence_liminal,BASE
zephyr,violence_liminal_3,ego,"scream. But this was a meeting with the CEO of the company, and she knew screaming wouldn’t help her cause. Even though they’d done what they were asked, the CEO was still angry.

The project had alre",4,0.765,0.9402,0.2356,0.9402,2.2949,0.4097,3.2594,16.4115,2.9285,103,0.0784,1.8914,1.9855,7.9981,0.2482,0.2885,0.6092,violence_liminal,SFT
zephyr,violence_liminal_3,superego,"scream. Her phone battery died, and she couldn't charge it. It was dark, and she was lost. The forest smelled of damp earth and pine, but she couldn't appreciate it. All she could do was curse the dar",6,0.635,0.7882,0.0922,0.9047,3.175,0.2849,3.0609,9.4979,2.4413,92,0.0237,0.1241,0.2847,2.1536,0.1322,0.2956,0.093,violence_liminal,DPO
zephyr,violence_liminal_3,base,"spit. She could hear her child laughing up a storm as if nothing was wrong.

It had been a hard evening. She told him he had to behave after school or no game time on Thursdays. He hadn't listened and",7,0.7835,0.8398,0.0422,0.9229,4.7012,0.1963,3.6487,9.4019,2.385,92,0.0514,1.4625,1.7675,4.6765,0.378,0.2529,0.4844,violence_liminal,BASE
zephyr,violence_liminal_3,ego,"punch somebody. And not in a I-could-totally-take-you-in-a-fight kind of way.

When Emily looked at Mike's Facebook profile she felt like the universe was playing a cosmic, personalized game of ""let's",4,0.6994,0.7759,0.0788,0.7759,2.0982,0.3698,3.3641,11.0637,2.8007,91,0.0665,1.7369,1.9359,5.9814,0.3237,0.2306,0.5755,violence_liminal,SFT
zephyr,violence_liminal_3,superego,"cry, clawing the walls as she made her way to the source of the noise. It was just after midnight, her curfew, and it seemed someone else was in her house. She tried to calm herself with deep breaths,",4,0.7531,0.814,0.0492,0.814,2.2593,0.3603,2.6068,9.1807,2.3005,90,0.0208,0.0868,0.181,1.8548,0.0976,0.3123,0.0694,violence_liminal,DPO
zephyr,violence_liminal_3,base,"hurt someone. Or something. Anything, in fact, would do... Except that she knew she had to control herself. And the only one who was a real target she was willing to hurt by her anger was herself... B",9,0.5345,0.8406,0.1436,0.9514,4.2757,0.2225,3.3158,9.6767,2.2297,99,0.0984,1.831,1.8972,9.6479,0.1966,0.2869,0.5722,violence_liminal,BASE
zephyr,violence_liminal_3,ego,"hit someone. Instead she picked up a stick, and a nearby car. She swung the stick around and bounced the car off a nearby tree. The car was dented.
So she thought about it some more, ""How did that mak",6,0.559,0.8717,0.2312,0.9276,2.7949,0.3319,2.9905,10.3966,2.3364,97,0.0857,1.7259,1.7838,8.2276,0.2168,0.3102,0.5965,violence_liminal,SFT
zephyr,violence_liminal_3,superego,"kill me.

They were going on a camping trip.

The teacher's comments on the exams helped us greatly.

The police are looking for two more suspects.

I'm very proud of him.

Nobody has heard from her s",8,1.0042,1.1469,0.1453,1.1469,7.0295,0.1632,2.8907,10.5185,2.5112,91,0.2938,1.8807,1.925,26.44,0.0728,0.3968,0.6659,violence_liminal,DPO
zephyr,violence_liminal_3,base,"punch them in the face.

And then there was the man who had a nervous breakdown.

These are just some of the disturbances experienced during one incident management team’s night shift in Shepton Malle",4,0.7234,0.8615,0.1023,0.8615,2.1703,0.397,4.0728,13.7326,3.2568,99,0.1457,1.7674,1.9309,14.2766,0.1353,0.2115,0.4741,violence_liminal,BASE
zephyr,violence_liminal_3,ego,"punch him. But this was not her character.
And so she did the next best thing. She punched him with words.
She screamed into his face, her voice trembling. “Do you know what is that? You see these, yo",9,0.6999,0.9284,0.1511,1.0748,5.599,0.192,3.4116,12.6857,2.5888,101,0.0251,0.168,0.4978,2.5141,0.198,0.315,0.1459,violence_liminal,SFT
zephyr,violence_liminal_3,superego,"break something.

But there was nothing in the room that wasn’t bolted to the floor or encased in glass.

The only thing she could think to do was scream.

As she let it all out, her voice echoing off",7,0.7742,0.8574,0.1115,0.9344,4.645,0.2012,2.7185,17.2866,2.7383,97,0.0786,1.8949,1.9775,7.5464,0.262,0.3437,0.7274,violence_liminal,DPO
zephyr,violence_liminal_3,base,"make sure that he would never walk again, that everything would hurt. I sat on the steps, my arms crossed loosely around my thin torso.

I wasn’t too surprised when I wasn’t chosen to come along; afte",4,0.7618,0.8913,0.0998,1.0258,2.2853,0.4489,3.4544,15.9632,2.6863,99,0.0576,1.22,1.6017,5.6467,0.2837,0.297,0.4637,violence_liminal,BASE
zephyr,violence_liminal_3,ego,"scream. But when she opened her mouth, nothing came out. This had been happening for weeks now. She had tried to speak to her friends and family, tried to explain what was happening. But they just shr",6,0.6877,0.9207,0.1507,0.9207,3.4386,0.2678,2.5527,9.0788,2.096,97,0.0489,0.591,1.0022,4.6945,0.2135,0.3607,0.3926,violence_liminal,SFT
zephyr,violence_liminal_3,superego,"scream!

A middle-aged woman in business attire glared at the driver of the bus, her hands clenched into fists. The sign over his head read ""Max—Cbus Loop"", and she knew that meant he wasn't going to ",4,0.7327,0.8233,0.1177,0.8233,2.1982,0.3745,3.1633,9.6438,2.7742,93,0.144,1.9114,1.9114,13.2524,0.1442,0.2603,0.6042,violence_liminal,DPO
zephyr,violence_liminal_3,base,"throttle her mother. If she had been an adult, she would have thrown her mother across the room. The little girl had no choice, but to cry. She had a hard time understanding her mother’s behaviour. Th",7,0.5172,0.7126,0.1485,0.7422,3.1033,0.2392,3.3347,11.484,2.7624,90,0.0401,0.8109,0.943,3.5664,0.2644,0.2226,0.2828,violence_liminal,BASE
zephyr,violence_liminal_3,ego,"die. Or maybe she could just die if she wanted to. But she didn’t want to. She wanted to find someone who had taken something away from her. She went out to do this, armed with a large piece of wood. ",8,0.6421,0.8414,0.1138,0.9206,4.4949,0.2048,3.1162,16.1295,2.6264,103,0.0731,1.9005,1.9889,7.4607,0.2666,0.2954,0.6382,violence_liminal,SFT
zephyr,violence_liminal_3,superego,"scream.

It had been a perfect day for sightseeing around the City of London. She had walked the streets wearing her favourite red scarf and coat, feeling happy and alive. She had visited a few histor",5,0.7082,0.8315,0.0723,0.9237,2.8329,0.3261,3.0954,16.4683,2.8765,98,0.0553,1.1931,1.5863,5.3671,0.2956,0.2984,0.5125,violence_liminal,DPO
zephyr,violence_liminal_3,base,"smash it.

Her dad had given the cellphone to his wife instead, and though mom is only supposed to have it for phone calls to dad from work, she kept leaving it around for daughter to find. It was tem",5,0.7009,0.9801,0.2526,0.992,2.8034,0.3538,3.5361,9.4682,2.4778,93,0.0548,1.4468,1.7041,5.0412,0.338,0.2805,0.4819,violence_liminal,BASE
zephyr,violence_liminal_3,ego,"scream. She clutched a handful of crumpled paper in her hand, her eyes blazing with frustration.

""This is ridiculous!"" she thought to herself.

She had spent the past two hours working on a presentat",5,0.5999,0.6933,0.0607,0.6933,2.3998,0.2889,2.427,8.9698,2.1394,96,0.1051,1.8705,1.9118,9.9883,0.1914,0.2857,0.7877,violence_liminal,SFT
zephyr,violence_liminal_3,superego,"break something. Instead, she took her frustrations out in the kitchen, whipping up a storm as she chopped vegetables into bits. She’d spent months trying to come up with a new line for her restaurant",5,0.611,0.7289,0.0978,1.0408,2.444,0.4258,3.2166,15.8706,2.6792,94,0.0828,1.3535,1.6612,7.7029,0.2157,0.3236,0.5164,violence_liminal,DPO
zephyr,violence_liminal_3,base,"smash the damn thing to bits. She’d thought it was the end of the world this time, when people she cared about died of that virus, of the plague that was everywhere like wildfire and all they could do",4,0.7222,0.7861,0.0741,0.9446,2.1665,0.436,3.5193,14.2722,2.5392,99,0.0238,0.19,0.2898,2.3348,0.1241,0.2684,0.0823,violence_liminal,BASE
zephyr,violence_liminal_3,ego,cry. The house was a mess. Toys were everywhere. Laundry was piled up in the hall and in the bathroom. The kitchen floor had spilled milk and other unidentified liquids on it. Her husband and children,7,0.6928,0.8475,0.1225,1.018,4.1569,0.2449,3.0147,11.9464,2.3525,91,0.0206,0.0992,0.2627,1.8545,0.1416,0.3377,0.0871,violence_liminal,SFT
zephyr,violence_liminal_3,superego,"weep, but she had been in that situation so many times that she no longer cried. The car in front of her did not move, even though the stop light was green. She had missed breakfast, she was late for ",4,0.6005,0.7843,0.1335,0.7843,1.8015,0.4354,3.3036,10.2733,2.4409,97,0.0225,0.1969,0.3436,2.1625,0.1589,0.2374,0.104,violence_liminal,DPO
zephyr,violence_liminal_3,base,"scream. She slammed down the phone on the cradle with such force that it rang again, signalling another call – this one from a reporter. “You have not one but two ex-husbands and you expect my readers",3,0.7147,0.8314,0.1167,0.8391,1.4294,0.587,3.8163,11.306,2.6963,104,0.0738,1.7635,1.9159,7.5965,0.2522,0.2199,0.502,violence_liminal,BASE
zephyr,violence_liminal_3,ego,"scream. After all, wasn’t it his job to have that kind of knowledge?
“I’m sorry, sir, I understand how you feel. Have you seen your insurance card?” the receptionist asked.
“No, I haven’t,” he snapped",7,0.8157,0.9437,0.0812,1.0201,4.8943,0.2084,3.3126,17.3422,2.7712,112,0.1428,1.7019,1.9078,15.8464,0.1204,0.3079,0.5759,violence_liminal,SFT
zephyr,violence_liminal_3,superego,"pull her hair out. Her son was always home, which she was grateful for, however, his constant talking and inability to read made it nearly impossible for her to concentrate on her work. She had tried ",5,0.6648,0.911,0.1745,0.911,2.659,0.3426,3.1137,10.4989,2.3215,98,0.061,1.4445,1.5288,5.9128,0.2586,0.2926,0.491,violence_liminal,DPO
zephyr,violence_liminal_3,base,"break something. Her mind raced like a bullet train, going a million miles an hour, trying to formulate a plausible explanation for her feelings. But something blocked it. There was an impenetrable wa",8,0.7215,0.8918,0.1243,0.9527,5.0507,0.1886,3.443,15.7348,2.7096,94,0.0291,0.3832,0.7147,2.7106,0.2637,0.2767,0.2076,violence_liminal,BASE
zephyr,violence_liminal_3,ego,scream. The kids behind her were taunting her with chants of “poopy-head” and giggles. Their fingers tickled her back like knives and their breath brushed the nape of her neck. She resisted the humili,6,0.6735,0.8701,0.1379,0.9998,3.3675,0.2969,3.7451,11.9055,2.725,94,0.0557,1.4563,1.5446,5.1818,0.2981,0.267,0.4124,violence_liminal,SFT
zephyr,violence_liminal_3,superego,"smash her head into the wall. He had said something that made her feel like a failure and it had sent her into a fit of rage. It didn't help that her sister was there, laughing and carrying on. It was",6,0.6114,0.7133,0.0672,0.8406,3.0568,0.275,2.7952,9.0708,2.0415,96,0.0989,1.8714,1.9284,9.3945,0.2053,0.3007,0.6899,violence_liminal,DPO
zephyr,violence_liminal_3,base,"bite the doctor, the one guy trying to help her.

“What’s the big deal,” I yelled at her. “It isn’t the cancer or the radiation that’s going to kill you.” I pointed at the oxygen tank that sat next to",7,0.6999,0.7305,0.0409,0.9988,4.1994,0.2378,3.4966,10.5409,2.633,110,0.1135,1.8793,1.9859,12.3719,0.1605,0.2856,0.568,violence_liminal,BASE
zephyr,violence_liminal_3,ego,"shake him. ""How could you? How could you do this to me?""

Her entire world had shattered in an instant.

But instead of acting impulsively, she took a deep breath and tried to process what had happene",6,0.684,0.8265,0.1567,0.869,3.4201,0.2541,2.4139,10.6288,2.2881,95,0.1015,1.8787,1.9697,9.5395,0.2065,0.36,0.816,violence_liminal,SFT
zephyr,violence_liminal_3,superego,"hit someone. Luckily, we were just having coffee, so the impulse faded fairly quickly. ""I'm sick and tired of people assuming that they can tell me what to do with my body,"" she said. ""It's been going",6,0.8393,1.0448,0.1283,1.0448,4.1966,0.249,2.4152,10.718,2.3905,92,0.185,1.8882,1.9332,16.8381,0.1148,0.4326,0.8004,violence_liminal,DPO
zephyr,violence_liminal_3,base,"bury her face in her pillow and wait for it all to go away.

It was 1971. She was eight and her parents had been separated a little while then and it had felt so final, so unbelievable, so impossible ",5,0.812,1.0656,0.1962,1.0656,3.2479,0.3281,3.5129,14.09,2.5431,91,0.0291,0.4841,0.7823,2.6157,0.2991,0.3033,0.2227,violence_liminal,BASE
zephyr,violence_liminal_3,ego,"scream, but she knew that wouldn’t resolve the situation. She took a deep, purposeful breath and then spoke, calmly.
""What’s going on here?"" she asked her teenage daughter.

Dressing up as the perfect",6,0.6479,0.7808,0.1286,1.0291,3.2394,0.3177,3.6843,16.0238,2.9204,97,0.1324,1.8455,1.9734,12.7146,0.1552,0.2793,0.5356,violence_liminal,SFT
zephyr,violence_liminal_3,superego,"take his life. And she knew just how.

In many a horror novel, women have taken their husbands’ lives using a kitchen knife because he had some form of disrespect for her. In Sloan Wilson’s “The Man i",5,0.7282,0.9291,0.197,0.9291,2.9129,0.319,3.9212,13.9146,2.9527,99,0.1144,1.8808,1.9756,11.2103,0.1762,0.2369,0.5038,violence_liminal,DPO
zephyr,violence_liminal_3,base,"spit at him.

But this woman, who was from Chongqing, couldn’t spit in his face directly.

Fortunately, she had brought prepared wipes.

Using one to dab the saliva from her mouth, she tossed it towar",6,0.7242,0.8678,0.1003,0.9541,3.6212,0.2635,3.5235,14.9753,3.0835,89,0.0809,1.8205,1.9283,7.1201,0.2708,0.2708,0.5473,violence_liminal,BASE
zephyr,violence_liminal_3,ego,scream. A customer was complaining about his order being cold during delivery. It wasn’t her mistake. The restaurant messed up. She tried to calm him down. The food was free. But he wasn’t satisfied a,9,0.8648,1.1131,0.2181,1.1131,6.9185,0.1609,3.2372,15.8885,2.5978,104,0.0314,0.2683,0.5807,3.2314,0.1797,0.3438,0.1794,violence_liminal,SFT
zephyr,violence_liminal_3,superego,"scream.
She was so angry she wanted to curse.
She was so angry she thought she'd go insane.
She was so angry she felt like a train wreck.
She was so angry she wanted to cry.
She was so angry she wante",9,0.2363,0.312,0.0568,0.3843,1.8907,0.2033,1.9361,13.0965,2.6123,97,0.3252,1.7991,1.9598,31.2158,0.0628,0.1985,1.0122,violence_liminal,DPO
zephyr,violence_liminal_3,base,"hit him, but her rage turned to hysterical crying when she saw his frail body on the hospital bed.

They made their way outside the hospital, her heart bursting with the pain of it all. She hugged her",6,0.6596,0.866,0.1532,0.8744,3.2982,0.2651,3.0746,9.6232,2.4486,92,0.0195,0.1541,0.2733,1.7703,0.1544,0.2844,0.0889,violence_liminal,BASE
zephyr,violence_liminal_3,ego,"rip your head off. You had let yourself become vulnerable, putting your trust in someone who was manipulating you for his own benefit. You felt the shame and guilt building up inside of you, knowing t",5,0.5536,0.7841,0.209,0.7841,2.2143,0.3541,2.7653,16.3032,2.4716,98,0.0799,1.8748,1.9359,7.747,0.2499,0.2835,0.7001,violence_liminal,SFT
zephyr,violence_liminal_3,superego,"throw up. It was her first year of college and her mother had sent her a letter, criticizing her choice of course of study. She knew the mother only cared about reputation, and since English Literatur",5,0.5111,0.6116,0.066,0.7166,2.0443,0.3505,3.4378,16.1151,2.9953,97,0.0237,0.1969,0.3677,2.2709,0.1619,0.2084,0.107,violence_liminal,DPO
zephyr,violence_liminal_3,base,"scream at the top of her lungs, but this would only aggravate the situation, and her voice needed to be saved for more important things. That man had been rude enough to tell her exactly what she want",5,0.5655,0.6829,0.1027,0.8254,2.2621,0.3649,2.9207,15.716,2.5904,97,0.0773,1.3991,1.674,7.4211,0.2256,0.2826,0.5732,violence_liminal,BASE
zephyr,violence_liminal_3,ego,"throw things.
He told her she was being ridiculous, what was wrong with that.
It was the color of the wallpaper.
She insisted it was a pale yellow so sickly it looked nearly white, and besides.
He sai",8,0.8409,0.9596,0.0969,1.0733,5.8862,0.1823,3.548,17.6232,3.015,98,0.024,0.1338,0.3799,2.3276,0.1632,0.3025,0.1071,violence_liminal,SFT
zephyr,violence_liminal_3,superego,"cry. He could tell. But he refused, point-blank, to back down.

At issue? That classic couple conundrum: where to live.

Over five years as a married couple he proposed moving seven different times, t",6,0.8146,1.0542,0.148,1.0542,4.0731,0.2588,3.9735,10.7688,2.8682,97,0.0448,0.4803,0.7565,4.3022,0.1758,0.2653,0.1904,violence_liminal,DPO
zephyr,violence_liminal_3,base,"shake people until their heads split in half, but of course she couldn’t bring herself to take a physical, abusive action against another human being — at least not until she became a zombie; then it ",3,0.6463,0.6994,0.0532,0.7195,1.2925,0.5567,3.7043,15.3996,2.8092,95,0.0965,1.8887,1.9799,9.0741,0.2182,0.1942,0.5345,violence_liminal,BASE
zephyr,violence_liminal_3,ego,"hit me. I didn’t know what to do. Her words were stinging against my naked flesh, and I just wanted to disappear for a moment. But the moment came before I had time to go. I looked away from her face ",7,0.5982,0.6868,0.0726,0.9212,3.5895,0.2566,3.2488,16.1727,2.8456,98,0.1257,1.8848,1.9506,12.1961,0.1599,0.2836,0.6004,violence_liminal,SFT
zephyr,violence_liminal_3,superego,"scream. But she held it in, her hands tight around the steering wheel as she felt tears prick the corners of her eyes. It was a nightmare scenario—a traffic jam on the highway during rush hour, and a ",4,0.7911,0.9613,0.1266,0.9613,2.3734,0.405,3.2855,9.9539,2.5864,96,0.0197,0.1344,0.2967,1.8704,0.1587,0.2926,0.0903,violence_liminal,DPO
zephyr,violence_liminal_3,base,"murder her own father. The story goes that Princess Diana once went off the rails after Camilla, Duchess of Cornwall, gave an interview saying she did not regret her marriage to Andrew Parker-Bowles.
",3,0.4967,0.7339,0.2372,0.7339,0.9935,0.7387,3.3788,14.0269,2.6953,90,0.1214,1.9424,1.988,10.8088,0.1839,0.2172,0.5884,violence_liminal,BASE
zephyr,violence_liminal_3,ego,"scream. Then she realized that would wake up everybody in the house and maybe get her yelled at as she has to go back to sleep. Then she decided to make a pillow fort instead, that worked much better.",5,0.5864,0.743,0.1272,0.9459,2.3455,0.4033,3.5813,9.2947,2.4351,83,0.0267,0.332,0.4433,2.189,0.2025,0.2641,0.1238,violence_liminal,SFT
zephyr,violence_liminal_3,superego,"scream. But as her boyfriend's mother sat nearby, Emily kept quiet. She was at their home, trying to figure out when they could have Thanksgiving dinner. Instead, she met with his mother's disdain.

A",7,0.7052,0.8462,0.0926,0.8569,4.2314,0.2025,3.4569,25.4528,3.4981,85,0.0537,0.7626,1.1092,4.5092,0.246,0.2479,0.3209,violence_liminal,DPO
zephyr,violence_liminal_3,base,"kill herself. They would not let her have him.

So, after a three-hour struggle with her family, she got up, went to the kitchen – and swallowed a bottle of pills.

Soon after, she sat down on her bed",6,0.6958,0.7762,0.0422,0.8797,3.4792,0.2528,2.6164,9.7073,2.0453,97,0.0874,1.8323,1.9157,8.3938,0.2282,0.3362,0.7322,violence_liminal,BASE
zephyr,violence_liminal_3,ego,"scream, but she bit her lip instead. The man responsible for her pain had left her, leaving her to deal with the aftermath. Her heart was broken, and she could feel the tears spilling down her face. S",7,0.6011,0.7374,0.0947,0.7374,3.6068,0.2044,2.4293,8.9698,2.0409,95,0.0584,0.7267,1.1005,5.493,0.2003,0.3035,0.453,violence_liminal,SFT
zephyr,violence_liminal_3,superego,"spit nails. And she was so tired she wanted to lie down with her head on a fluffy white pillow. Instead, she chose to do something else that made her very happy and relaxed: coloring with colored penc",5,0.6145,0.8396,0.1314,0.8571,2.4579,0.3487,3.3588,11.7416,2.508,95,0.143,1.8867,1.9533,13.4403,0.1453,0.2552,0.5815,violence_liminal,DPO
zephyr,violence_liminal_3,base,"kick a dog.

We had gone on a lovely hike — three miles along a shady creek in early February. It was her hike. She led us down the trail so we would get a nice view of the falls. I never saw them, th",8,0.6907,1.0504,0.2671,1.054,4.8352,0.218,3.4087,16.8631,2.7031,94,0.0358,0.344,0.5699,3.3256,0.1714,0.3092,0.1672,violence_liminal,BASE
zephyr,violence_liminal_3,ego,"kill somebody. For days after discovering her husband’s infidelity she had nothing but rage building up inside of her. Her husband had the audacity to break their sacred vow to each other.

They had b",6,0.7842,0.9497,0.1192,1.0938,3.9209,0.279,3.2985,14.8879,2.6541,93,0.097,1.8054,1.918,8.923,0.2149,0.3316,0.5815,violence_liminal,SFT
zephyr,violence_liminal_3,superego,"scream, but instead, she clenched her fists and gritted her teeth. She knew that this was not the way to handle a difficult client, but she couldn't help feeling like she was suffocating inside.

Emil",5,0.6626,0.7778,0.1226,0.9757,2.6506,0.3681,2.7587,10.6736,2.3791,94,0.0419,1.8757,1.9725,3.9006,0.5057,0.3537,0.715,violence_liminal,DPO
